"","Source","total_area","date","pd_or_md"
"87","B_2370_001.jpg.txt",50.09,"2022-05-04","md"
"88","B_2371_017.jpg.txt",57.954,"2022-05-04","md"
"89","B_2372_022.jpg.txt",46.363,"2022-05-04","md"
"90","B_2375_013.jpg.txt",60.489,"2022-05-04","md"
"91","B_2378_010.jpg.txt",71.863,"2022-05-04","md"
"92","B_2379_025.jpg.txt",60.197,"2022-05-04","md"
"93","B_2381_015.jpg.txt",91.077,"2022-05-04","md"
"94","B_2382_014.jpg.txt",89.193,"2022-05-04","md"
"95","B_2383_012.jpg.txt",93.429,"2022-05-04","md"
"96","B_2384_018.jpg.txt",68.007,"2022-05-04","md"
"97","L_2301_009.jpg.txt",88.51,"2022-05-04","md"
"98","L_2331_002.jpg.txt",50.358,"2022-05-04","md"
"99","L_2345_023.jpg.txt",59.972,"2022-05-04","md"
"100","L_2352_008.jpg.txt",68.813,"2022-05-04","md"
"101","L_2354_005.jpg.txt",66.967,"2022-05-04","md"
"102","L_2376_028.jpg.txt",89.884,"2022-05-04","md"
"103","L_2377_003.jpg.txt",36.384,"2022-05-04","md"
"104","L_2380_006.jpg.txt",101,"2022-05-04","md"
