"","tree","plot","site","species","week","time","timing","mpa","date_wp","rep","lwc_bulk","lwc_leaf","date_wc","lwc_mean","mean_swc_per_dry_g","mean_swc_g","date_rwc","date_lfm","type","X.x","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","X.y","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","X","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent"
"30",1478,"Low","Cucu Mesa","blue oak",33,"md","late",4.3,2022-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1478,"Low","Cucu Mesa","blue oak",15,"md","late",1.584,2022-04-13,4,1.10569763677566,0.944043321299639,2022-04-13,1.02487047903765,0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.531018238263
"32",1478,"Low","Cucu Mesa","blue oak",19,"md","late",2.506,2022-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2004,"High","Cucu Mesa","blue oak",10,"md","early",1.52,2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-11","leaf",81,NA,13.011,1.69468146798111,4.8284,169.468146798111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2004,"High","Cucu Mesa","blue oak",10,"md","early",1.76,2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-11","leaf",81,NA,13.011,1.69468146798111,4.8284,169.468146798111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2004,"High","Cucu Mesa","blue oak",10,"pd","early",0.3,2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-11","leaf",78,NA,4.3365,2.29321081409478,1.3168,229.321081409478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2004,"High","Cucu Mesa","blue oak",10,"pd","early",0.205,2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-11","leaf",78,NA,4.3365,2.29321081409478,1.3168,229.321081409478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2004,"High","Cucu Mesa","blue oak",10,"pd","early",0.29,2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-11","leaf",78,NA,4.3365,2.29321081409478,1.3168,229.321081409478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2004,"High","Cucu Mesa","blue oak",10,"pd","early",0.539,2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA,"2022-03-11","leaf",78,NA,4.3365,2.29321081409478,1.3168,229.321081409478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2004,"High","Cucu Mesa","blue oak",14,"md","early",2.35,2022-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2004,"High","Cucu Mesa","blue oak",14,"pd","early",0.475,2022-04-04,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-04","leaf",317,NA,7.4928,1.18124654304096,3.4351,118.124654304096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2004,"High","Cucu Mesa","blue oak",15,"md","late",2.2,2022-04-13,2,0.848285922684172,0.762755102040816,2022-04-13,0.805520512362494,0.874258675280442,0.3063,"2022-04-14","2022-04-12","leaf",545,NA,4.0305,0.994408431886783,2.0209,99.4408431886783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1375486613388
"42",2004,"High","Cucu Mesa","blue oak",15,"md","late",2.2,2022-04-13,1,0.848285922684172,0.757042253521127,2022-04-13,0.802664088102649,0.874258675280442,0.3063,"2022-04-14","2022-04-12","leaf",545,NA,4.0305,0.994408431886783,2.0209,99.4408431886783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8108233635969
"43",2004,"High","Cucu Mesa","blue oak",17,"md","late",2.6,2022-04-27,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-27","leaf",NA,NA,NA,NA,NA,NA,741,NA,8.6991,0.808619901035386,4.8098,80.8619901035386,NA,NA,NA,NA,NA,NA,NA,NA
"44",2004,"High","Cucu Mesa","blue oak",17,"md","late",2.744,2022-04-27,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-27","leaf",NA,NA,NA,NA,NA,NA,741,NA,8.6991,0.808619901035386,4.8098,80.8619901035386,NA,NA,NA,NA,NA,NA,NA,NA
"45",2004,"High","Cucu Mesa","blue oak",17,"md","late",2.518,2022-04-27,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-27","leaf",NA,NA,NA,NA,NA,NA,741,NA,8.6991,0.808619901035386,4.8098,80.8619901035386,NA,NA,NA,NA,NA,NA,NA,NA
"46",2004,"High","Cucu Mesa","blue oak",17,"pd","late",0.799,2022-04-27,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-27","leaf",738,"check",4.623,0.81010180109632,2.554,81.010180109632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2004,"High","Cucu Mesa","blue oak",17,"pd","late",0.918,2022-04-27,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-27","leaf",738,"check",4.623,0.81010180109632,2.554,81.010180109632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2004,"High","Cucu Mesa","blue oak",17,"pd","late",0.984,2022-04-27,NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-27","leaf",738,"check",4.623,0.81010180109632,2.554,81.010180109632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
