Date.Time,Sensor,Sapflow,Tree,Loc,Sapflow.st
2022-03-24T23:54:27Z,SAP.FLOW.TOTAL.1,-0.34,2384,RT,-0.06727344677483182
2022-03-24T23:54:27Z,SAP.FLOW.TOTAL.2,0.159,2382,RT,0.024613003095975233
2022-03-24T23:54:27Z,SAP.FLOW.TOTAL.3,1.305,2010,RT,0.07846320346320346
2022-03-25T00:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T00:09:27Z,SAP.FLOW.TOTAL.1,0.064,2384,RT,0.012663237039968342
2022-03-25T00:09:27Z,SAP.FLOW.TOTAL.2,0.04,2382,RT,0.006191950464396285
2022-03-25T00:09:27Z,SAP.FLOW.TOTAL.3,1.146,2010,RT,0.0689033189033189
2022-03-25T00:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T00:24:27Z,SAP.FLOW.TOTAL.1,0.034,2384,RT,0.006727344677483182
2022-03-25T00:24:27Z,SAP.FLOW.TOTAL.2,0.043,2382,RT,0.0066563467492260055
2022-03-25T00:24:27Z,SAP.FLOW.TOTAL.3,1.049,2010,RT,0.06307118807118806
2022-03-25T00:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T00:39:27Z,SAP.FLOW.TOTAL.1,0.101,2384,RT,0.019984170953700038
2022-03-25T00:39:27Z,SAP.FLOW.TOTAL.2,0.047,2382,RT,0.007275541795665635
2022-03-25T00:39:27Z,SAP.FLOW.TOTAL.3,1.072,2010,RT,0.06445406445406446
2022-03-25T00:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T00:54:27Z,SAP.FLOW.TOTAL.1,-0.219,2384,RT,-0.043332014246141665
2022-03-25T00:54:27Z,SAP.FLOW.TOTAL.2,0.071,2382,RT,0.010990712074303405
2022-03-25T00:54:27Z,SAP.FLOW.TOTAL.3,1.119,2010,RT,0.06727994227994227
2022-03-25T01:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T01:09:27Z,SAP.FLOW.TOTAL.1,0.121,2384,RT,0.023941432528690146
2022-03-25T01:09:27Z,SAP.FLOW.TOTAL.2,0.076,2382,RT,0.011764705882352941
2022-03-25T01:09:27Z,SAP.FLOW.TOTAL.3,1.09,2010,RT,0.06553631553631553
2022-03-25T01:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T01:24:27Z,SAP.FLOW.TOTAL.1,0.142,2384,RT,0.028096557182429753
2022-03-25T01:24:27Z,SAP.FLOW.TOTAL.2,0.033,2382,RT,0.0051083591331269355
2022-03-25T01:24:27Z,SAP.FLOW.TOTAL.3,1.012,2010,RT,0.06084656084656084
2022-03-25T01:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T01:39:27Z,SAP.FLOW.TOTAL.1,0.034,2384,RT,0.006727344677483182
2022-03-25T01:39:27Z,SAP.FLOW.TOTAL.2,0.052,2382,RT,0.00804953560371517
2022-03-25T01:39:27Z,SAP.FLOW.TOTAL.3,1.009,2010,RT,0.06066618566618565
2022-03-25T01:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T01:54:27Z,SAP.FLOW.TOTAL.1,0.058,2384,RT,0.01147605856747131
