"","tree","species","time","date_shift","date_wp","cwc","lwc_mean","lma_g_cm2","lwa_g_cm2","water_potential"
"80","2007","blue oak",NA,2022-02-24,NA,0.0226938,NA,NA,NA,NA
"81","2007","blue oak",NA,2022-02-28,NA,0.0512465,NA,NA,NA,NA
"82","2007","blue oak",NA,2022-05-17,NA,0.0159805,NA,NA,NA,NA
"83","2007","blue oak","pd",2022-09-14,2022-09-15,0,0.801886695231132,0.0182145063285762,0.0146059702850885,-1.29416666666667
"84","2007","blue oak","md",2022-09-14,2022-09-15,0,0.627936507936508,0.0182145063285762,0.0114375534977536,-3.4215
"85","2007","blue oak","md",2022-03-08,2022-03-08,0.0626829,1.39551551816434,NA,NA,-1.77
"86","2007","blue oak","pd",2022-03-08,2022-03-08,0.0626829,1.57849597787833,NA,NA,-0.815
"87","2007","blue oak",NA,2022-03-16,NA,0.0493797,NA,NA,NA,NA
"88","2007","blue oak",NA,2022-03-22,NA,0.0536918,NA,NA,NA,NA
"89","2007","blue oak","md",2022-04-05,2022-04-04,0.0630606,0.77519292537438,0.0149724590050347,0.0116065442961608,-2.1
"90","2007","blue oak","pd",2022-04-05,2022-04-04,0.0630606,0.871411718442784,0.0149724590050347,0.0130471762308914,-0.36675
"91","2007","blue oak","md",2022-04-12,2022-04-13,0.041694,0.856856312952281,0.0149724590050347,0.0128292460188832,-1.70666666666667
"92","2007","blue oak","md",2022-04-29,2022-04-27,0.0600799,0.859447004608295,0.0134836511858652,0.0115884836228749,-2.42633333333333
"93","2007","blue oak","pd",2022-04-29,2022-04-27,0.0600799,0.90597539543058,0.0134836511858652,0.0122158562149622,-0.989
"94","2007","blue oak",NA,2022-05-03,NA,0.050075,NA,NA,NA,NA
"95","2007","blue oak","md",2022-05-11,2022-05-09,0.0179101,0.777748060978871,NA,NA,-2.23766666666667
"96","2007","blue oak","pd",NA,2022-07-19,NA,0.643740095087163,0.015441296961097,0.00994018197400568,-2.32333333333333
"97","2007","blue oak","md",NA,2022-07-19,NA,0.579726651480638,0.015441296961097,0.0089517313817749,-4.23333333333333
