tree,date_wc,time,lwc_bulk,lwc_leaf,rep,dm_g
12,2022-05-23,md,0.609947643979058,NA,3,NA
12,2022-05-23,md,0.609947643979058,NA,4,NA
12,2022-05-23,md,0.609947643979058,NA,5,NA
12,2022-05-23,md,0.609947643979058,NA,6,NA
12,NA,md,NA,1.57395833333333,1,NA
12,NA,md,NA,1.67902097902098,2,NA
12,NA,md,NA,1.51530054644809,3,NA
12,NA,md,NA,1.51980198019802,4,NA
12,NA,md,NA,1.42359550561798,5,NA
12,NA,md,NA,1.45049504950495,6,NA
12,NA,md,NA,2.09237288135593,7,NA
1478,2022-04-04,pd,1.74375600384246,NA,1,NA
1478,2022-04-04,pd,1.74375600384246,NA,2,NA
1478,2022-04-04,pd,1.74375600384246,NA,3,NA
1478,2022-04-04,pd,1.74375600384246,NA,4,NA
1478,2022-04-04,pd,1.74375600384246,NA,5,NA
1478,2022-04-13,md,1.10569763677566,1.03095238095238,1,NA
1478,2022-04-13,md,1.10569763677566,0.96137339055794,2,NA
1478,2022-04-13,md,1.10569763677566,1.01223776223776,3,NA
1478,2022-04-13,md,1.10569763677566,0.944043321299639,4,NA
1478,2022-04-13,md,1.10569763677566,0.965648854961832,5,NA
1478,2022-04-27,md,1.0197904540163,NA,1,NA
1478,2022-04-27,pd,1.0767414403778,NA,1,NA
1478,2022-04-27,md,1.0197904540163,NA,2,NA
1478,2022-04-27,pd,1.0767414403778,NA,2,NA
1478,2022-04-27,md,1.0197904540163,NA,3,NA
1478,2022-04-27,pd,1.0767414403778,NA,3,NA
1478,2022-05-09,md,0.834794738939816,NA,1,NA
1478,2022-05-09,md,0.834794738939816,NA,2,NA
1478,2022-05-23,md,0.667808219178082,NA,1,NA
1478,2022-05-23,pd,0.846251790545917,NA,1,NA
1478,2022-05-23,md,0.667808219178082,NA,2,NA
1478,2022-05-23,pd,0.846251790545917,NA,2,NA
1478,2022-05-23,md,0.667808219178082,NA,3,NA
1478,2022-05-23,pd,0.846251790545917,NA,3,NA
1478,2022-05-23,md,0.667808219178082,NA,4,NA
1478,2022-07-19,md,0.585769230769231,NA,1,NA
1478,2022-07-19,md,0.585769230769231,NA,2,NA
1478,2022-07-19,md,0.585769230769231,NA,3,NA
1478,NA,md,NA,1.59337748344371,1,NA
1478,NA,md,NA,1.54553191489362,2,NA
1478,NA,md,NA,1.54615384615385,3,NA
1478,NA,pd,NA,1.74375600384246,NA,NA
20,2022-03-08,md,NA,1.40983606557377,1,NA
20,2022-03-08,pd,NA,2.26625,1,NA
20,2022-03-08,md,NA,1.08354430379747,2,NA
20,2022-03-08,pd,NA,2.63653846153846,2,NA
20,2022-03-08,md,NA,1.46666666666667,3,NA
20,2022-03-08,pd,NA,2.33626373626374,3,NA
20,2022-03-08,md,NA,1.04875,4,NA
20,2022-03-08,pd,NA,1.95285714285714,4,NA
20,2022-03-08,md,NA,0.902777777777778,5,NA
20,2022-03-08,pd,NA,2.21923076923077,5,NA
20,2022-03-08,md,NA,0.992063492063492,6,NA
20,2022-03-08,pd,NA,2.42658227848101,6,NA
20,2022-03-08,md,NA,0.320192307692308,7,NA
20,2022-03-08,pd,NA,2.23544303797468,7,NA
20,2022-03-08,pd,NA,2.14939759036145,8,NA
20,2022-04-04,md,1.15,NA,1,NA
20,2022-04-04,md,1.15,NA,2,NA
20,2022-04-13,md,NA,1.08720930232558,1,NA
20,2022-04-13,md,NA,1.09333333333333,2,NA
20,2022-04-13,md,NA,1.08049535603715,3,NA
20,2022-04-13,md,NA,1.20194174757282,4,NA
20,2022-04-13,md,NA,1.25650557620818,5,NA
20,2022-04-13,md,NA,0.942307692307692,6,NA
20,2022-05-09,md,0.874849578820698,NA,1,NA
20,2022-05-09,md,0.874849578820698,NA,2,NA
20,2022-05-09,md,0.874849578820698,NA,3,NA
20,2022-05-23,md,0.598615916955017,NA,1,NA
20,2022-05-23,md,0.598615916955017,NA,2,NA
20,2022-05-23,md,0.598615916955017,NA,3,NA
20,NA,md,NA,1.15,NA,NA
2004,2022-03-08,md,1.76186868686869,1.82105263157895,1,NA
2004,2022-03-08,pd,2.03,2.00769230769231,1,NA
2004,2022-03-08,md,1.76186868686869,1.77777777777778,2,NA
2004,2022-03-08,pd,2.03,2.13529411764706,2,NA
2004,2022-03-08,md,1.76186868686869,1.81578947368421,3,NA
2004,2022-03-08,pd,2.03,1.975,3,NA
2004,2022-03-08,pd,2.03,1.96153846153846,4,NA
2004,2022-04-04,md,NA,0.791634689178818,1,NA
2004,2022-04-04,pd,1.01301729162619,NA,1,NA
2004,2022-04-04,md,NA,0.824464831804281,2,NA
2004,2022-04-04,pd,1.01301729162619,NA,2,NA
2004,2022-04-04,md,NA,0.767843726521413,3,NA
2004,2022-04-04,pd,1.01301729162619,NA,3,NA
2004,2022-04-04,pd,1.01301729162619,NA,4,NA
2004,2022-04-13,md,0.848285922684172,0.757042253521127,1,NA
2004,2022-04-13,md,0.848285922684172,0.762755102040816,2,NA
2004,2022-04-13,md,0.848285922684172,0.869806094182826,3,NA
2004,2022-04-27,md,0.889679715302491,NA,1,NA
2004,2022-04-27,pd,0.957777777777778,NA,1,NA
2004,2022-04-27,md,0.889679715302491,NA,2,NA
2004,2022-04-27,pd,0.957777777777778,NA,2,NA
2004,2022-04-27,md,0.889679715302491,NA,3,NA
2004,2022-04-27,pd,0.957777777777778,NA,3,NA
2004,2022-04-27,pd,0.957777777777778,NA,4,NA
2004,2022-05-23,md,0.709677419354839,NA,1,NA
2004,2022-05-23,pd,0.795422935895815,NA,1,NA
2004,2022-05-23,md,0.709677419354839,NA,2,NA
2004,2022-05-23,pd,0.795422935895815,NA,2,NA
2004,2022-05-23,md,0.709677419354839,NA,3,NA
2004,2022-05-23,pd,0.795422935895815,NA,3,NA
2004,2022-05-23,md,0.709677419354839,NA,4,NA
2004,2022-05-23,md,0.709677419354839,NA,5,NA
2004,2022-07-19,pd,0.57945945945946,NA,1,NA
2004,2022-07-19,pd,0.57945945945946,NA,2,NA
2004,2022-07-19,pd,0.57945945945946,NA,3,NA
2004,2022-07-19,pd,0.57945945945946,NA,4,NA
2004,2022-07-19,pd,0.57945945945946,NA,5,NA
2004,NA,pd,NA,1.01301729162619,NA,NA
2005,2022-03-08,md,1.60197368421053,1.50810810810811,1,NA
2005,2022-03-08,pd,2.06253164556962,2.02631578947368,1,NA
2005,2022-03-08,md,1.60197368421053,1.73768115942029,2,NA
2005,2022-03-08,pd,2.06253164556962,2.09382716049383,2,NA
2005,2022-03-08,md,1.60197368421053,1.68771929824561,3,NA
2005,2022-04-04,md,NA,0.846014492753623,1,NA
2005,2022-04-04,pd,1.03670053795577,NA,1,NA
2005,2022-04-04,md,NA,0.852066715010878,2,NA
2005,2022-04-04,pd,1.03670053795577,NA,2,NA
2005,2022-04-04,md,NA,0.86,3,NA
2005,2022-04-13,md,0.94634555785124,0.889807162534435,1,NA
2005,2022-04-13,md,0.94634555785124,0.903225806451613,2,NA
2005,2022-04-13,md,0.94634555785124,0.893815635939323,3,NA
2005,2022-04-27,md,0.915650406504065,NA,1,NA
2005,2022-04-27,pd,1.00491883915396,NA,1,NA
2005,2022-04-27,md,0.915650406504065,NA,2,NA
2005,2022-04-27,pd,1.00491883915396,NA,2,NA
2005,2022-04-27,md,0.915650406504065,NA,3,NA
2005,2022-04-27,pd,1.00491883915396,NA,3,NA
2005,2022-05-09,md,0.819557254339863,NA,1,NA
2005,2022-05-09,md,0.819557254339863,NA,2,NA
2005,2022-05-09,md,0.819557254339863,NA,3,NA
2005,2022-05-23,md,0.755717255717256,NA,1,NA
2005,2022-05-23,pd,0.896278003175163,NA,1,NA
2005,2022-05-23,md,0.755717255717256,NA,2,NA
2005,2022-05-23,pd,0.896278003175163,NA,2,NA
2005,2022-05-23,md,0.755717255717256,NA,3,NA
2005,2022-05-23,pd,0.896278003175163,NA,3,NA
2005,2022-07-19,md,0.634094616639478,NA,1,NA
2005,2022-07-19,md,0.634094616639478,NA,2,NA
2005,2022-07-19,md,0.634094616639478,NA,3,NA
2005,NA,pd,NA,1.03670053795577,NA,NA
2006,2022-03-08,md,1.69872611464968,1.54782608695652,1,NA
2006,2022-03-08,pd,2.12273641851107,1.94,1,NA
2006,2022-03-08,md,1.69872611464968,1.74107142857143,2,NA
2006,2022-03-08,pd,2.12273641851107,2.01470588235294,2,NA
2006,2022-03-08,md,1.69872611464968,1.7537037037037,3,NA
2006,2022-04-04,md,NA,0.816842105263158,1,NA
2006,2022-04-04,pd,0.956377604714797,NA,1,NA
2006,2022-04-04,md,NA,0.818181818181818,2,NA
2006,2022-04-04,pd,0.956377604714797,NA,2,NA
2006,2022-04-04,md,NA,0.820588235294117,3,NA
2006,2022-04-04,pd,0.956377604714797,NA,3,NA
2006,2022-04-13,md,0.860544417661238,0.765845070422535,1,NA
2006,2022-04-13,md,0.860544417661238,0.768849206349206,2,NA
2006,2022-04-13,md,0.860544417661238,0.785992217898833,3,NA
2006,2022-04-27,pd,0.93878954607978,NA,1,NA
2006,2022-04-27,pd,0.93878954607978,NA,2,NA
2006,2022-04-27,pd,0.93878954607978,NA,3,NA
2006,2022-05-09,md,0.822525178088922,NA,1,NA
2006,2022-05-09,md,0.822525178088922,NA,2,NA
2006,2022-05-09,md,0.822525178088922,NA,3,NA
2006,2022-05-23,md,0.71007371007371,NA,1,NA
2006,2022-05-23,pd,0.876157500603913,NA,1,NA
2006,2022-05-23,md,0.71007371007371,NA,2,NA
2006,2022-05-23,pd,0.876157500603913,NA,2,NA
2006,2022-05-23,md,0.71007371007371,NA,3,NA
2006,2022-05-23,pd,0.876157500603913,NA,3,NA
2006,2022-07-19,md,0.637735849056604,NA,1,NA
2006,2022-07-19,pd,0.628070175438596,NA,1,NA
2006,2022-07-19,md,0.637735849056604,NA,2,NA
2006,2022-07-19,pd,0.628070175438596,NA,2,NA
2006,2022-07-19,md,0.637735849056604,NA,3,NA
2006,2022-07-19,pd,0.628070175438596,NA,3,NA
2006,2022-07-19,pd,0.628070175438596,NA,4,NA
2006,NA,pd,NA,0.956377604714797,NA,NA
2007,2022-03-08,md,1.46893203883495,1.27142857142857,1,NA
2007,2022-03-08,pd,1.59406060606061,1.45681818181818,1,NA
2007,2022-03-08,md,1.46893203883495,22.475,2,NA
2007,2022-03-08,pd,1.59406060606061,1.7025641025641,2,NA
2007,2022-03-08,md,1.46893203883495,1.34736842105263,3,NA
2007,2022-03-08,pd,1.59406060606061,1.52941176470588,3,NA
2007,2022-04-04,md,NA,0.751912568306011,1,NA
2007,2022-04-04,pd,0.871411718442784,NA,1,NA
2007,2022-04-04,md,NA,0.798473282442748,2,NA
2007,2022-04-04,pd,0.871411718442784,NA,2,NA
2007,2022-04-04,pd,0.871411718442784,NA,3,NA
2007,2022-04-04,pd,0.871411718442784,NA,4,NA
2007,2022-04-13,md,0.968197278911565,17382.9662447257,1,NA
2007,2022-04-13,md,0.968197278911565,0.745798319327731,2,NA
