"","tag","date","new_leaves_0_10","new_pheno","tree"
"256","2339.0",2022-03-15,NA,NA,2339
"257","2340.0",2022-03-15,NA,NA,2340
"258","2341.0",2022-03-15,NA,NA,2341
"259","2342.0",2022-03-15,NA,NA,2342
"260","2343.0",2022-03-15,"3","3",2343
"261","missing",2022-03-15,NA,NA,NA
"262","2344.0",2022-03-15,NA,NA,2344
"263","missing",2022-03-15,NA,NA,NA
"264","2345.0",2022-03-15,NA,NA,2345
"265","2346.0",2022-03-15,NA,NA,2346
"266","2347.0",2022-03-15,"1","1",2347
"267","2348.0",2022-03-15,NA,NA,2348
"268","2349.0",2022-03-15,"2","2",2349
"269","2350.0",2022-03-15,NA,NA,2350
"270","2351.0",2022-03-15,NA,NA,2351
"271","2375.0",2022-03-15,NA,NA,2375
"272","2310.0",2022-03-15,NA,NA,2310
"273","2311.0",2022-03-15,NA,NA,2311
"274","2312.0",2022-03-15,NA,NA,2312
"275","2313.0",2022-03-15,NA,NA,2313
"276","2314.0",2022-03-15,NA,NA,2314
"277","2315.0",2022-03-15,NA,NA,2315
"278","2316.0",2022-03-15,NA,NA,2316
"279","2317.0",2022-03-15,NA,NA,2317
"280","2318.0",2022-03-15,NA,NA,2318
"281","2319.0",2022-03-15,NA,NA,2319
"282","2320.0",2022-03-15,NA,NA,2320
"283","2321.0",2022-03-15,NA,NA,2321
"284","2322.0",2022-03-15,NA,NA,2322
"285","2323.0",2022-03-15,NA,NA,2323
"286","2324.0",2022-03-15,NA,NA,2324
"287","2325.0",2022-03-15,NA,NA,2325
"288","2327.0",2022-03-15,NA,NA,2327
"289","2326.0",2022-03-15,NA,NA,2326
"290","2328.0",2022-03-15,NA,NA,2328
"291","2329.0",2022-03-15,NA,NA,2329
"292","2330.0",2022-03-15,NA,NA,2330
"293","2331.0",2022-03-15,NA,NA,2331
"294","2332.0",2022-03-15,NA,NA,2332
"295","2333.0",2022-03-15,NA,NA,2333
"296","2334.0",2022-03-15,NA,NA,2334
"297","2336.0",2022-03-15,NA,NA,2336
"298","2335.0",2022-03-15,NA,NA,2335
"299","2374.0",2022-03-15,NA,NA,2374
"300","2301.0",2022-03-15,NA,NA,2301
"301","2302.0",2022-03-15,NA,NA,2302
"302","2303.0",2022-03-15,NA,NA,2303
"303","2304.0",2022-03-15,NA,NA,2304
"304","2305.0",2022-03-15,NA,NA,2305
"305","2306.0",2022-03-15,NA,NA,2306
"306","2307.0",2022-03-15,NA,NA,2307
"307","2308.0",2022-03-15,NA,NA,2308
"308","2309.0",2022-03-15,NA,NA,2309
"309","2370.0",2022-03-15,NA,NA,2370
"310","2371.0",2022-03-15,"1","1",2371
"311","2372.0",2022-03-15,"2","2",2372
"312","2373.0",2022-03-15,"2","2",2373
"313","2381.0",2022-03-15,"8","8",2381
"314","2382.0",2022-03-15,"8","8",2382
"315","2383.0",2022-03-15,NA,NA,2383
"316","2384.0",2022-03-15,"7","7",2384
"317","2004.0",2022-03-15,"8","8",2004
"318","2005.0",2022-03-15,"9","9",2005
"319","2006.0",2022-03-15,"8","8",2006
"320","2007.0",2022-03-15,"7","7",2007
"321","Cucu-LEU",2022-03-15,NA,NA,NA
"322","Chamise-ARCA",2022-03-15,NA,NA,NA
"323","Cucu-ARCA",2022-03-15,NA,NA,NA
"324","2093.0",2022-03-15,NA,NA,2093
"325","2092.0",2022-03-15,NA,NA,2092
"326","2091.0",2022-03-15,NA,NA,2091
"327","2090.0",2022-03-15,"4","4",2090
"328","2089.0",2022-03-15,NA,NA,2089
"329","2088.0",2022-03-15,"4","4",2088
"330","2087.0",2022-03-15,"3","3",2087
"331","2086.0",2022-03-15,"2","2",2086
"332","2085.0",2022-03-15,"1","1",2085
"333","2020.0",2022-03-15,"7","7",2020
"334","2021.0",2022-03-15,"6","6",2021
"335","2022.0",2022-03-15,NA,NA,2022
"336","2023.0",2022-03-15,NA,NA,2023
"337","2024.0",2022-03-15,"8","8",2024
"338","2025.0",2022-03-15,"7","7",2025
"339","2026.0",2022-03-15,"6","6",2026
"340","2027.0",2022-03-15,"7","7",2027
"341","2028.0",2022-03-15,NA,NA,2028
"342","2029.0",2022-03-15,NA,NA,2029
"343","2030.0",2022-03-15,NA,NA,2030
"344","2031.0",2022-03-15,NA,NA,2031
"345","2012.0",2022-03-15,NA,NA,2012
"346","2013.0",2022-03-15,NA,NA,2013
"347","2014.0",2022-03-15,NA,NA,2014
"348","2015.0",2022-03-15,NA,NA,2015
"349","1478.0",2022-03-15,NA,NA,1478
"350","2352.0",2022-03-25,"7","7",2352
"351","2353.0",2022-03-25,"9","9",2353
"352","2354.0",2022-03-25,"2","2",2354
"353","2355.0",2022-03-25,"7","7",2355
"354","ot",2022-03-25,NA,NA,NA
"355","2356.0",2022-03-25,"8","8",2356
"356","2357.0",2022-03-25,"10","10",2357
"357","ot",2022-03-25,NA,NA,NA
"358","2358.0",2022-03-25,"7","7",2358
"359","2359.0",2022-03-25,"9","9",2359
"360","ot",2022-03-25,NA,NA,NA
"361","2360.0",2022-03-25,"10","10",2360
"362","2361.0",2022-03-25,"10","10",2361
"363","ot",2022-03-25,NA,NA,NA
"364","2362.0",2022-03-25,"10","10",2362
"365","2363.0",2022-03-25,"10","10",2363
"366","2364.0",2022-03-25,"9","9",2364
"367","2365.0",2022-03-25,"9","9",2365
"368","2366.0",2022-03-25,"8","8",2366
"369","ot",2022-03-25,NA,NA,NA
"370","2367.0",2022-03-25,"9","9",2367
"371","ot",2022-03-25,NA,NA,NA
"372","ot",2022-03-25,NA,NA,NA
"373","2369.0",2022-03-25,"9","9",2369
"374","2376.0",2022-03-25,"1","1",2376
"375","2377.0",2022-03-25,"5","5",2377
"376","2378.0",2022-03-25,"9","9",2378
"377","2379.0",2022-03-25,"10","10",2379
"378","2380.0",2022-03-25,"3","3",2380
"379","2337.0",2022-03-25,"6","6",2337
"380","2338.0",2022-03-25,"6","6",2338
"381","2339.0",2022-03-25,"5","5",2339
"382","2340.0",2022-03-25,"4","4",2340
"383","2341.0",2022-03-25,"5","5",2341
"384","2342.0",2022-03-25,"5","5",2342
"385","2343.0",2022-03-25,"7","7",2343
"386","missing",2022-03-25,NA,NA,NA
"387","2344.0",2022-03-25,"5","5",2344
"388","missing",2022-03-25,NA,NA,NA
"389","2345.0",2022-03-25,"0","0",2345
"390","2346.0",2022-03-25,"4","4",2346
"391","2347.0",2022-03-25,"6","6",2347
"392","2348.0",2022-03-25,"6","6",2348
"393","2349.0",2022-03-25,"6","6",2349
"394","2350.0",2022-03-25,"4","4",2350
"395","2351.0",2022-03-25,NA,NA,2351
"396","2375.0",2022-03-25,"5","5",2375
"397","2310.0",2022-03-25,"7","7",2310
"398","2311.0",2022-03-25,"8","8",2311
"399","2312.0",2022-03-25,"5","5",2312
"400","2313.0",2022-03-25,"5","5",2313
"401","2314.0",2022-03-25,"5","5",2314
"402","2315.0",2022-03-25,"0","0",2315
"403","2316.0",2022-03-25,"7","7",2316
"404","2317.0",2022-03-25,"6","6",2317
"405","2318.0",2022-03-25,"7","7",2318
"406","2319.0",2022-03-25,"6","6",2319
"407","2320.0",2022-03-25,"4","4",2320
"408","2321.0",2022-03-25,"7","7",2321
"409","2322.0",2022-03-25,"5","5",2322
"410","2323.0",2022-03-25,"0","0",2323
"411","2324.0",2022-03-25,"5","5",2324
"412","2325.0",2022-03-25,"7","7",2325
"413","2327.0",2022-03-25,"7","7",2327
"414","2326.0",2022-03-25,"6","6",2326
"415","2328.0",2022-03-25,"2","2",2328
"416","2329.0",2022-03-25,"7","7",2329
"417","2330.0",2022-03-25,"7","7",2330
"418","2331.0",2022-03-25,"6","6",2331
"419","2332.0",2022-03-25,"7","7",2332
"420","2333.0",2022-03-25,"4","4",2333
"421","2334.0",2022-03-25,"4","4",2334
"422","2336.0",2022-03-25,"4","4",2336
"423","2335.0",2022-03-25,"5","5",2335
"424","2374.0",2022-03-25,NA,NA,2374
"425","2301.0",2022-03-25,"0","0",2301
"426","2302.0",2022-03-25,"4","4",2302
"427","2303.0",2022-03-25,"3","3",2303
"428","2304.0",2022-03-25,"2","2",2304
"429","2305.0",2022-03-25,"4","4",2305
"430","2306.0",2022-03-25,"6","6",2306
"431","2307.0",2022-03-25,"7","7",2307
"432","2308.0",2022-03-25,"3","3",2308
"433","2309.0",2022-03-25,"4","4",2309
"434","2370.0",2022-03-25,"3","3",2370
"435","2371.0",2022-03-25,"5","5",2371
"436","2372.0",2022-03-25,"7","7",2372
"437","2373.0",2022-03-25,"5","5",2373
"438","2381.0",2022-03-25,"10","10",2381
"439","2382.0",2022-03-25,"10","10",2382
"440","2383.0",2022-03-25,"10","10",2383
"441","2384.0",2022-03-25,"10","10",2384
"442","2004.0",2022-03-25,NA,NA,2004
"443","2005.0",2022-03-25,NA,NA,2005
"444","2006.0",2022-03-25,NA,NA,2006
"445","2007.0",2022-03-25,NA,NA,2007
"446","Cucu-LEU",2022-03-25,NA,NA,NA
"447","Chamise-ARCA",2022-03-25,NA,NA,NA
"448","Cucu-ARCA",2022-03-25,NA,NA,NA
"449","2093.0",2022-03-25,NA,NA,2093
"450","2092.0",2022-03-25,NA,NA,2092
"451","2091.0",2022-03-25,NA,NA,2091
"452","2090.0",2022-03-25,NA,NA,2090
"453","2089.0",2022-03-25,NA,NA,2089
"454","2088.0",2022-03-25,NA,NA,2088
"455","2087.0",2022-03-25,NA,NA,2087
"456","2086.0",2022-03-25,NA,NA,2086
"457","2085.0",2022-03-25,NA,NA,2085
"458","2020.0",2022-03-25,NA,NA,2020
"459","2021.0",2022-03-25,NA,NA,2021
"460","2022.0",2022-03-25,NA,NA,2022
"461","2023.0",2022-03-25,NA,NA,2023
"462","2024.0",2022-03-25,NA,NA,2024
"463","2025.0",2022-03-25,NA,NA,2025
"464","2026.0",2022-03-25,NA,NA,2026
"465","2027.0",2022-03-25,NA,NA,2027
"466","2028.0",2022-03-25,NA,NA,2028
"467","2029.0",2022-03-25,NA,NA,2029
"468","2030.0",2022-03-25,NA,NA,2030
"469","2031.0",2022-03-25,NA,NA,2031
"470","2012.0",2022-03-25,NA,NA,2012
"471","2013.0",2022-03-25,NA,NA,2013
"472","2014.0",2022-03-25,NA,NA,2014
"473","2015.0",2022-03-25,NA,NA,2015
"474","1478.0",2022-03-25,NA,NA,1478
"475","2009.0",2022-03-25,"8","8",2009
"476","2010.0",2022-03-25,"10","10",2010
"477","2352.0",2022-04-13,NA,NA,2352
"478","2353.0",2022-04-13,NA,NA,2353
"479","2354.0",2022-04-13,NA,NA,2354
"480","2355.0",2022-04-13,NA,NA,2355
"481","ot",2022-04-13,NA,NA,NA
"482","2356.0",2022-04-13,NA,NA,2356
"483","2357.0",2022-04-13,NA,NA,2357
"484","ot",2022-04-13,NA,NA,NA
"485","2358.0",2022-04-13,NA,NA,2358
"486","2359.0",2022-04-13,NA,NA,2359
"487","ot",2022-04-13,NA,NA,NA
"488","2360.0",2022-04-13,NA,NA,2360
"489","2361.0",2022-04-13,NA,NA,2361
"490","ot",2022-04-13,NA,NA,NA
"491","2362.0",2022-04-13,NA,NA,2362
"492","2363.0",2022-04-13,NA,NA,2363
"493","2364.0",2022-04-13,NA,NA,2364
"494","2365.0",2022-04-13,"10","10",2365
"495","2366.0",2022-04-13,NA,NA,2366
"496","ot",2022-04-13,NA,NA,NA
"497","2367.0",2022-04-13,"10","10",2367
"498","ot",2022-04-13,NA,NA,NA
"499","ot",2022-04-13,NA,NA,NA
"500","2369.0",2022-04-13,"10","10",2369
"501","2376.0",2022-04-13,NA,NA,2376
"502","2377.0",2022-04-13,NA,NA,2377
"503","2378.0",2022-04-13,NA,NA,2378
"504","2379.0",2022-04-13,NA,NA,2379
"505","2380.0",2022-04-13,NA,NA,2380
"506","2337.0",2022-04-13,NA,NA,2337
"507","2338.0",2022-04-13,NA,NA,2338
"508","2339.0",2022-04-13,NA,NA,2339
"509","2340.0",2022-04-13,NA,NA,2340
"510","2341.0",2022-04-13,NA,NA,2341
"511","2342.0",2022-04-13,NA,NA,2342
"512","2343.0",2022-04-13,"10","10",2343
"513","missing",2022-04-13,NA,NA,NA
"514","2344.0",2022-04-13,NA,NA,2344
"515","missing",2022-04-13,NA,NA,NA
"516","2345.0",2022-04-13,NA,NA,2345
"517","2346.0",2022-04-13,"10","10",2346
"518","2347.0",2022-04-13,"10","10",2347
"519","2348.0",2022-04-13,NA,NA,2348
"520","2349.0",2022-04-13,NA,NA,2349
"521","2350.0",2022-04-13,NA,NA,2350
"522","2351.0",2022-04-13,NA,NA,2351
"523","2375.0",2022-04-13,NA,NA,2375
"524","2310.0",2022-04-13,NA,NA,2310
"525","2311.0",2022-04-13,NA,NA,2311
"526","2312.0",2022-04-13,NA,NA,2312
"527","2313.0",2022-04-13,NA,NA,2313
"528","2314.0",2022-04-13,NA,NA,2314
"529","2315.0",2022-04-13,NA,NA,2315
"530","2316.0",2022-04-13,NA,NA,2316
"531","2317.0",2022-04-13,NA,NA,2317
"532","2318.0",2022-04-13,NA,NA,2318
"533","2319.0",2022-04-13,NA,NA,2319
"534","2320.0",2022-04-13,NA,NA,2320
"535","2321.0",2022-04-13,NA,NA,2321
"536","2322.0",2022-04-13,NA,NA,2322
"537","2323.0",2022-04-13,NA,NA,2323
"538","2324.0",2022-04-13,NA,NA,2324
"539","2325.0",2022-04-13,NA,NA,2325
"540","2327.0",2022-04-13,NA,NA,2327
"541","2326.0",2022-04-13,NA,NA,2326
"542","2328.0",2022-04-13,NA,NA,2328
"543","2329.0",2022-04-13,NA,NA,2329
"544","2330.0",2022-04-13,NA,NA,2330
"545","2331.0",2022-04-13,NA,NA,2331
"546","2332.0",2022-04-13,NA,NA,2332
"547","2333.0",2022-04-13,NA,NA,2333
"548","2334.0",2022-04-13,NA,NA,2334
"549","2336.0",2022-04-13,NA,NA,2336
"550","2335.0",2022-04-13,NA,NA,2335
"551","2374.0",2022-04-13,NA,NA,2374
"552","2301.0",2022-04-13,NA,NA,2301
"553","2302.0",2022-04-13,NA,NA,2302
"554","2303.0",2022-04-13,NA,NA,2303
"555","2304.0",2022-04-13,NA,NA,2304
"556","2305.0",2022-04-13,NA,NA,2305
"557","2306.0",2022-04-13,NA,NA,2306
"558","2307.0",2022-04-13,NA,NA,2307
"559","2308.0",2022-04-13,NA,NA,2308
"560","2309.0",2022-04-13,NA,NA,2309
"561","2370.0",2022-04-13,NA,NA,2370
"562","2371.0",2022-04-13,NA,NA,2371
"563","2372.0",2022-04-13,NA,NA,2372
"564","2373.0",2022-04-13,NA,NA,2373
"565","2381.0",2022-04-13,NA,NA,2381
"566","2382.0",2022-04-13,NA,NA,2382
"567","2383.0",2022-04-13,NA,NA,2383
"568","2384.0",2022-04-13,NA,NA,2384
"569","2004.0",2022-04-13,NA,NA,2004
"570","2005.0",2022-04-13,NA,NA,2005
"571","2006.0",2022-04-13,NA,NA,2006
"572","2007.0",2022-04-13,NA,NA,2007
"573","LL-LEU",2022-04-13,NA,NA,NA
"574","Chamise-LEU",2022-04-13,NA,NA,NA
"575","Cucu-LEU",2022-04-13,NA,NA,NA
"576","LL-ARCA",2022-04-13,NA,NA,NA
"577","Chamise-ARCA",2022-04-13,NA,NA,NA
"578","Cucu-ARCA",2022-04-13,NA,NA,NA
"579","2093.0",2022-04-13,NA,NA,2093
"580","2092.0",2022-04-13,NA,NA,2092
"581","2091.0",2022-04-13,NA,NA,2091
"582","2090.0",2022-04-13,NA,NA,2090
"583","2089.0",2022-04-13,NA,NA,2089
"584","2088.0",2022-04-13,NA,NA,2088
"585","2087.0",2022-04-13,NA,NA,2087
"586","2086.0",2022-04-13,NA,NA,2086
"587","2085.0",2022-04-13,NA,NA,2085
"588","2020.0",2022-04-13,NA,NA,2020
"589","2021.0",2022-04-13,NA,NA,2021
