"","species","tree_id","branch","sub_branch","year","week","area_cm2","area_stem_mm2","alas_cm2_per_mm2","sla_cm_g","lma_g_cm2","ldm_g","lma_old"
"122","L","2010","2",NA,0,37,32.619,3.13374358069434,10.4089563041953,69.2841971112999,0.0144333057420522,0.4708,0.0144333057420522
"123","B","2010","3",NA,0,17,30.164,2.0295130328657,14.8626786384358,62.1938144329897,0.0160787693939796,0.485,0.0160787693939796
"124","B","2010","3",NA,0,21,40.646,1.94209821727956,20.9289106175772,67.294701986755,0.0148600108251734,0.604,0.0148600108251734
"125","B","2010","3",NA,0,29,30.399,1.82654160375119,16.6429277808779,57.9028571428571,0.0172703049442416,0.525,0.0172703049442416
"126","B","2010","3",NA,0,29,30.399,3.14159265358979,9.67630223010105,48.7945425361156,0.0204940952005,0.623,0.0204940952005
"127","B","2010","3",NA,0,37,11.86,3.39794661412272,3.4903432416233,78.8039867109635,0.0126897133220911,0.1505,0.0126897133220911
"128","B","2010","4",NA,0,29,25.553,2.46752958859245,10.3557015559745,58.2072892938497,0.017179978867452,0.439,0.017179978867452
"129","B","2010","5",NA,0,29,22.885,2.76116541819415,8.2881669635596,58.0837563451777,0.017216517369456,0.394,0.017216517369456
"130",NA,"2010","6",NA,0,29,36.141,NA,NA,NA,NA,NA,NA
"131","B","2011","1",NA,0,17,27.748,1.03868907109313,26.7144430149802,64.3805104408353,0.015532651001874,0.431,0.015532651001874
"132","B","2011","1",NA,0,21,21.451,1.40500368324022,15.267575634058,63.8422619047619,0.0156636054263205,0.336,0.0156636054263205
"133","B","2011","1",NA,0,29,23.136,1.24689812420979,18.5548438567603,61.368700265252,0.0162949515905947,0.377,0.0162949515905947
"134","B","2011","1",NA,0,37,25.013,2.1512252044997,11.6273275097747,69.5191773207337,0.0143845200495742,0.3598,0.0143845200495742
"135","B","2011","2",NA,0,17,20.709,1.04321001927118,19.8512280532619,63.9166666666667,0.015645371577575,0.324,0.015645371577575
"136","B","2011","2",NA,0,21,15.039,0.797223314495101,18.8642250252359,63.9957446808511,0.0156260389653567,0.235,0.0156260389653567
"137","B","2011","2",NA,0,29,18.519,1.13569065301123,16.3063770498575,56.6330275229358,0.0176575409039365,0.327,0.0176575409039365
"138","B","2011","2",NA,0,37,31.633,2.17076689255273,14.5722694171003,72.7864703175334,0.0137388170581355,0.4346,0.0137388170581355
"139","B","2011","3",NA,0,17,28.311,1.34268233897463,21.0854043269984,66.1471962616822,0.0151177987354738,0.428,0.0151177987354738
"140","B","2011","3",NA,0,21,18.489,0.958990792462369,19.2796428759513,61.8361204013378,0.0161717778138353,0.299,0.0161717778138353
"141","B","2011","3",NA,0,29,25.467,1.55591794033704,16.3678297805882,60.4916864608076,0.0165311972356383,0.421,0.0165311972356383
"142","B","2011","7",NA,0,37,13.668,0.980810135189255,13.9354188029089,72.0886075949367,0.0138718173836699,0.1896,0.0138718173836699
"143","B","2012","1",NA,0,14,13.289,NA,NA,94.2482269503546,0.0106102791782677,0.141,0.0106102791782677
"144","B","2012","1",NA,0,17,16.266,0.870029724242045,18.6959129633998,57.9893048128342,0.017244559203246,0.2805,0.017244559203246
"145","B","2012","1",NA,0,29,28.44,1.50113641844006,18.9456465452713,62.0960698689956,0.0161040787623066,0.458,0.0161040787623066
"146","B","2012","1",NA,0,37,4.153,0.198317944996377,20.941120583293,68.6446280991735,0.0145677823260294,0.0605,0.0145677823260294
"147","B","2012","2",NA,0,14,13.729,0.339532534775238,40.4350057619316,108.960317460317,0.00917765314298201,0.126,0.00917765314298201
"148","B","2012","2",NA,0,17,12.928,0.468691262745948,27.5831896764151,85.2208305866842,0.0117342202970297,0.1517,0.0117342202970297
"149","B","2012","2",NA,0,29,14.727,0.777563816717559,18.9399245224259,59.6234817813765,0.0167719155292999,0.247,0.0167719155292999
"150","B","2012","2",NA,0,37,16.17,0.226906438144044,71.262852355626,69.518486672399,0.0143846629560915,0.2326,0.0143846629560915
"151","B","2012","3",NA,0,14,5.928,NA,NA,123.5,0.00809716599190283,0.048,0.00809716599190283
"152","B","2012","3",NA,0,17,15.298,0.44769658809063,34.1704636732749,76.6432865731463,0.0130474571839456,0.1996,0.0130474571839456
"153","B","2012","3",NA,0,29,18.08,1.07973103386916,16.7449109388022,64.3416370106761,0.0155420353982301,0.281,0.0155420353982301
"154","B","2012","3",NA,0,37,10.73,0.229022104446696,46.8513728223878,69.1365979381443,0.0144641192917055,0.1552,0.0144641192917055
"155","B","2013","1",NA,0,14,21.807,0.750452853864783,29.0584543555206,123.203389830508,0.00811665978814142,0.177,0.00811665978814142
"156","B","2013","1",NA,0,29,14.733,1.75538453014738,8.39303283524039,57.1046511627907,0.0175117084096925,0.258,0.0175117084096925
"157","B","2013","1",NA,0,37,23.469,0.560793923619863,41.8495975286433,64.0704340704341,0.0156078230857727,0.3663,0.0156078230857727
"158","B","2013","2",NA,0,14,13.067,NA,NA,103.706349206349,0.00964261115787863,0.126,0.00964261115787863
"159","B","2013","2",NA,0,29,NA,2.09313028410089,NA,NA,NA,0.627,NA
"160","B","2013","2",NA,0,37,19.706,0.738981131940659,26.6664453911692,67.417037290455,0.0148330457728611,0.2923,0.0148330457728611
"161","B","2013","3",NA,0,14,24.131,0.916088417786784,26.3413438391668,115.459330143541,0.0086610583896233,0.209,0.0086610583896233
"162","B","2013","3",NA,0,29,32.635,2.46057390610787,13.2631659301069,59.3363636363636,0.01685307185537,0.55,0.01685307185537
"163","B","2013","3",NA,0,37,16.88,0.769768739945839,21.9286639272825,66.4305391578119,0.015053317535545,0.2541,0.015053317535545
"164","B","2014","1",NA,0,14,29.365,1.24195502451891,23.6441734364536,85.3633720930233,0.0117146262557466,0.344,0.0117146262557466
"165","B","2014","2",NA,0,14,26.01,0.785398163397448,33.1169605585616,86.4119601328904,0.0115724721261053,0.301,0.0115724721261053
"166","B","2014","3",NA,0,14,26.735,0.84948665353068,31.4719482511969,87.9440789473684,0.0113708621657004,0.304,0.0113708621657004
"167","B","2015","1",NA,0,14,27.126,1.15465801865728,23.4926701773951,65.0503597122302,0.015372705153727,0.417,0.015372705153727
"168","B","2015","1",NA,0,17,20.585,0.833228911548353,24.7050957002294,65.8298688839143,0.0151906728200146,0.3127,0.0151906728200146
"169","B","2015","1",NA,0,29,17.122,0.998442323957527,17.1487121380567,55.2322580645161,0.0181053615231865,0.31,0.0181053615231865
"170","B","2015","1",NA,0,37,11.961,0.339532534775238,35.2278464504672,72.4909090909091,0.0137948332079258,0.165,0.0137948332079258
"171","B","2015","2",NA,0,14,20.048,0.690291354548539,29.0428090514211,67.2751677852349,0.0148643256185156,0.298,0.0148643256185156
"172","B","2015","2",NA,0,17,16.392,0.911852176442959,17.9765979875636,66.2035541195477,0.0151049292337726,0.2476,0.0151049292337726
"173","B","2015","2",NA,0,29,20.286,1.28177471140316,15.8264941721256,57.143661971831,0.0174997535245982,0.355,0.0174997535245982
"174","B","2015","2",NA,0,37,21.266,1.24689812420979,17.0551222967611,61.1091954022989,0.0163641493463745,0.348,0.0163641493463745
"175","B","2015","3",NA,0,14,20.566,0.762012933082289,26.9890432394788,68.0993377483444,0.0146844306136342,0.302,0.0146844306136342
"176","B","2015","3",NA,0,17,9.982,0.693977817177985,14.3837450606003,66.6800267201069,0.0149969945902625,0.1497,0.0149969945902625
