"","week","time","tree","plot","site","species","water_potential","lwc_mean","lma_g_cm2","ldmc","alas_cm2_per_mm2","lwa_g_cm2","leaf_count","swc_per_dry_g_mean","rwc","date_wp","week_alas_link","time_season","lwc"
"99",17,"pd","2011","Weathertop","LL","blue oak",-1.253,NA,0.0154319404383076,NA,22.5503584650802,NA,6.33333333333333,NA,NA,2022-04-25,17,"before leafout",NA
"100",14,"pd","2012","Low","Cucu Mesa","blue oak",-0.505,1.67787916741218,0.00929503277105085,0.0740855287088386,40.4350057619316,0.0155959418469597,5.33333333333333,1.25625654106178,134.202099234503,2022-04-04,14,"before leafout",1.67787916741218
"101",19,"md","2012","Low","Cucu Mesa","blue oak",-2.45666666666667,NA,NA,NA,NA,NA,NA,1.24319564132436,NA,2022-05-09,21,"after leafout",NA
"102",21,"md","2012","Low","Cucu Mesa","blue oak",-2.97216666666667,NA,NA,NA,NA,NA,NA,0.869824098249789,NA,2022-05-25,21,"after leafout",NA
"103",21,"pd","2012","Low","Cucu Mesa","blue oak",-2.607,NA,NA,NA,NA,NA,NA,0.869824098249789,NA,2022-05-25,21,"after leafout",NA
"104",17,"md","2012","Low","Cucu Mesa","blue oak",-2.50333333333333,NA,0.0140087455614071,NA,26.8165221043633,NA,7.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"105",17,"pd","2012","Low","Cucu Mesa","blue oak",-1.2195,NA,0.0140087455614071,NA,26.8165221043633,NA,7.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"106",37,"pd","2012","Low","Cucu Mesa","blue oak",-2.4035,NA,0.0144721881912755,0.145462520146475,46.3517819204356,NA,5.33333333333333,0.942009317059417,NA,2022-09-15,37,"after leafout",NA
"107",37,"md","2012","Low","Cucu Mesa","blue oak",-4.1735,NA,0.0144721881912755,0.145462520146475,46.3517819204356,NA,5.33333333333333,0.942009317059417,NA,2022-09-15,37,"after leafout",NA
"108",14,"pd","2013","Low","Cucu Mesa","blue oak",-0.7244,1.56633183235192,0.00880677644521445,0.089106151039712,27.6998990973437,0.0137943342865465,8.66666666666667,1.59457189317842,100.388782829137,2022-04-04,14,"before leafout",1.56633183235192
"109",21,"pd","2013","Low","Cucu Mesa","blue oak",-2.104,NA,NA,NA,NA,NA,NA,1.13014547497937,NA,2022-05-25,21,"after leafout",NA
"110",17,"pd","2013","Low","Cucu Mesa","blue oak",-1.198,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-27,17,"before leafout",NA
"111",14,"md","2013","Low","Cucu Mesa","blue oak",-1.6,1.29703712607908,0.00880677644521445,0.089106151039712,27.6998990973437,0.0114227160105219,8.66666666666667,1.59457189317842,83.129242272863,2022-04-04,14,"before leafout",1.29703712607908
"112",19,"md","2013","Low","Cucu Mesa","blue oak",-2.11233333333333,NA,NA,NA,NA,NA,NA,1.14590263216991,NA,2022-05-09,21,"after leafout",NA
"113",17,"md","2013","Low","Cucu Mesa","blue oak",-2.29,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-27,17,"before leafout",NA
"114",37,"pd","2013","Low","Cucu Mesa","blue oak",-2.0305,NA,0.0151647287980596,0.248901425981695,30.1482356156983,NA,7,0.909065625683783,NA,2022-09-15,37,"after leafout",NA
"115",14,"pd","2014","Low","Cucu Mesa","blue oak",-0.787,1.3767539498398,0.0115526535158508,NA,29.411027415404,0.0159051613590782,7,NA,NA,2022-04-04,14,"before leafout",1.3767539498398
"116",37,"md","2014","Low","Cucu Mesa","blue oak",-3.63933333333333,NA,NA,NA,NA,NA,NA,NA,NA,2022-09-15,37,"after leafout",NA
