"","tree","plot","site","species","week","time","mpa_mean","date_wp","lwc_mean_combined","mean_swc_per_dry_g_y0","mean_swc_g_y0","date_rwc","swc_dw_g_y0","swc_ww_g_y0","date_lfm","type","X.x","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","X.y","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","X","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent_y0"
"50",2006,"High","Cucu Mesa","blue oak",29,"pd",2.775,2022-07-19,0.628070175438596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2006,"High","Cucu Mesa","blue oak",33,"md",4.46666666666667,2022-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2006,"High","Cucu Mesa","blue oak",33,"pd",2.775,2022-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2006,"High","Cucu Mesa","blue oak",19,"md",2.36066666666667,2022-05-09,NA,1.02403614991339,0.550833333333333,"2022-05-09",0.7881,0.7881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2006,"High","Cucu Mesa","blue oak",21,"pd",1.767,2022-05-25,0.876157500603913,NA,NA,NA,NA,NA,"2022-05-25","leaf",1243,NA,3.09,0.840819730727987,1.6786,84.0819730727987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2006,"High","Cucu Mesa","blue oak",29,"md",4.46666666666667,2022-07-19,0.637735849056604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2006,"High","Cucu Mesa","blue oak",21,"md",3.19933333333333,2022-05-25,0.71007371007371,NA,NA,NA,NA,NA,"2022-05-25","leaf",1191,NA,4.1554,0.873489630297566,2.218,87.3489630297566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2007,"High","Cucu Mesa","blue oak",10,"md",1.77,2022-03-08,1.38916526753778,NA,NA,NA,NA,NA,"2022-03-08","leaf",46,NA,8.78,1.46844162051224,3.5569,146.844162051224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2007,"High","Cucu Mesa","blue oak",14,"pd",0.36675,2022-04-04,0.871411718442784,NA,NA,NA,NA,NA,"2022-04-04","leaf",335,NA,5.6478,0.9453036200186,2.9033,94.5303620018599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2007,"High","Cucu Mesa","blue oak",10,"md",1.77,2022-03-08,1.38916526753778,NA,NA,NA,NA,NA,"2022-03-08","leaf",93,NA,9.8548,1.23799791070536,4.4034,123.799791070536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2007,"High","Cucu Mesa","blue oak",14,"md",2.1,2022-04-04,0.77519292537438,NA,NA,NA,NA,NA,"2022-04-04","leaf",422,NA,2.6413,0.937573356807512,1.3632,93.7573356807512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2007,"High","Cucu Mesa","blue oak",21,"md",3.4,2022-05-25,0.698162729658793,NA,NA,NA,NA,NA,"2022-05-25","leaf",1201,NA,1.9423,0.828391226583827,1.0623,82.8391226583827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2007,"High","Cucu Mesa","blue oak",21,"pd",1.67233333333333,2022-05-25,NA,NA,NA,NA,NA,NA,"2022-05-25","leaf",1315,NA,2.23,0.878685762426285,1.187,87.8685762426285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2007,"High","Cucu Mesa","blue oak",10,"pd",0.815,2022-03-08,1.57849597787833,NA,NA,NA,NA,NA,"2022-03-08","leaf",99,NA,6.8348,1.81348536615486,2.4293,181.348536615486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2007,"High","Cucu Mesa","blue oak",29,"pd",2.32333333333333,2022-07-19,0.643740095087163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2007,"High","Cucu Mesa","blue oak",33,"md",4.23333333333333,2022-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2007,"High","Cucu Mesa","blue oak",33,"pd",2.32333333333333,2022-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2007,"High","Cucu Mesa","blue oak",29,"md",4.23333333333333,2022-07-19,0.579726651480638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2007,"High","Cucu Mesa","blue oak",15,"md",1.70666666666667,2022-04-13,0.858635993582386,1.01270497455335,0.74665,"2022-04-14",1.9765,1.9765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7863904254135
"69",2007,"High","Cucu Mesa","blue oak",17,"md",2.42633333333333,2022-04-27,0.859447004608295,NA,NA,NA,NA,NA,"2022-04-27","leaf",814,NA,7.68,0.789125471742068,4.2926,78.9125471742068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2007,"High","Cucu Mesa","blue oak",17,"pd",0.989,2022-04-27,0.90597539543058,NA,NA,NA,NA,NA,"2022-04-27","leaf",732,NA,3.577,0.860114404576183,1.923,86.0114404576183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2007,"High","Cucu Mesa","blue oak",19,"md",2.23766666666667,2022-05-09,NA,0.846320882492383,0.289133333333333,"2022-05-09",0.9165,0.9165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2007,"High","Cucu Mesa","blue oak",19,"md",2.23766666666667,2022-05-09,NA,0.846320882492383,0.289133333333333,"2022-05-09",0.4449,0.4449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2007,"High","Cucu Mesa","blue oak",15,"md",1.70666666666667,2022-04-13,0.858635993582386,1.01270497455335,0.74665,"2022-04-14",1.0131,1.0131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7863904254135
"74",2007,"High","Cucu Mesa","blue oak",19,"md",2.23766666666667,2022-05-09,NA,0.846320882492383,0.289133333333333,"2022-05-09",0.53,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2008,"High","Cucu Mesa","blue oak",14,"md",1.88333333333333,2022-04-04,0.809241286132183,NA,NA,NA,NA,NA,"2022-04-04","leaf",434,NA,3.0939,1.03546052631579,1.52,103.546052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2008,"High","Cucu Mesa","blue oak",21,"md",3.3,2022-05-25,0.692063492063492,NA,NA,NA,NA,NA,"2022-05-25","leaf",1205,NA,3.0319,0.701880437833286,1.7815,70.1880437833286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2008,"High","Cucu Mesa","blue oak",21,"pd",1.736,2022-05-25,0.865671641791045,NA,NA,NA,NA,NA,"2022-05-25","leaf",1325,NA,2.62,0.801554012239566,1.4543,80.1554012239566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2008,"High","Cucu Mesa","blue oak",14,"pd",0.6765,2022-04-04,0.933194154488518,NA,NA,NA,NA,NA,"2022-04-04","leaf",315,NA,7.8112,0.996523872814641,3.9124,99.6523872814641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2008,"High","Cucu Mesa","blue oak",14,"pd",0.6765,2022-04-04,0.933194154488518,NA,NA,NA,NA,NA,"2022-04-04","leaf",293,NA,5.5536,1.56056065286551,2.1689,156.056065286551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2009,"Hobbiton","LL","blue oak",13,"md",2.0625,2022-03-25,1.13333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2009,"Hobbiton","LL","blue oak",13,"pd",1.195,2022-03-25,1.32787517531557,NA,NA,NA,NA,NA,"2022-03-30","leaf",199,NA,3.9193,1.52939657954179,1.5495,152.939657954179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2009,"Hobbiton","LL","blue oak",14,"pd",NA,NA,NA,NA,NA,NA,NA,NA,"2022-04-04","leaf",508,NA,5.8315,1.04901616303584,2.846,104.901616303584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
