"","tree","plot","site","species","week","time","mpa","date_wp","rep","lwc_bulk","lwc_leaf","date_wc","lwc_mean","timing","mean_swc_per_dry_g","mean_swc_g","date_rwc","date_lfm","type","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent"
"39",1478,"Low","Cucu Mesa","blue oak",15,"md",1.822,2022-04-13,4,1.10569763677566,0.944043321299639,2022-04-13,1.02487047903765,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.531018238263
"40",1478,"Low","Cucu Mesa","blue oak",15,"md",1.584,2022-04-13,3,1.10569763677566,1.01223776223776,2022-04-13,1.05896769950671,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.44124994343
"41",1478,"Low","Cucu Mesa","blue oak",15,"md",1.295,2022-04-13,1,1.10569763677566,1.03095238095238,2022-04-13,1.06832500886402,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.514335878901
"42",1478,"Low","Cucu Mesa","blue oak",15,"md",1.822,2022-04-13,1,1.10569763677566,1.03095238095238,2022-04-13,1.06832500886402,"late",0.872,0.0436,"2022-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.514335878901
"43",1478,"Low","Cucu Mesa","blue oak",14,"pd",0.29,2022-04-04,2,1.74375600384246,NA,2022-04-04,1.74375600384246,"early",NA,NA,NA,"2022-04-04","leaf",NA,4.7483,1.75311648402621,1.7247,175.311648402621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1478,"Low","Cucu Mesa","blue oak",17,"md",NA,NA,2,1.0197904540163,NA,2022-04-27,1.0197904540163,NA,NA,NA,NA,"2022-04-27","leaf",NA,7.06,0.198641765704584,5.89,19.8641765704584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1478,"Low","Cucu Mesa","blue oak",17,"md",NA,NA,3,1.0197904540163,NA,2022-04-27,1.0197904540163,NA,NA,NA,NA,"2022-04-27","leaf",NA,7.06,0.198641765704584,5.89,19.8641765704584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1478,"Low","Cucu Mesa","blue oak",17,"md",NA,NA,1,1.0197904540163,NA,2022-04-27,1.0197904540163,NA,NA,NA,NA,"2022-04-27","leaf",NA,7.06,0.198641765704584,5.89,19.8641765704584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1478,"Low","Cucu Mesa","blue oak",17,"pd",NA,NA,1,1.0767414403778,NA,2022-04-27,1.0767414403778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1478,"Low","Cucu Mesa","blue oak",17,"pd",NA,NA,3,1.0767414403778,NA,2022-04-27,1.0767414403778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
