date,species,site,plot,tree,time,water_potential,lma_g_cm2,alas_cm2_per_mm2,year
2023-04-14,blue oak,LL,Hobbiton,2346,md,1.0666666666666667,0.009832771619781014,72.36282869516529,2023
2023-04-14,blue oak,LL,Hobbiton,2347,md,1.028,0.0076615735426509134,71.81465732098674,2023
2023-04-14,blue oak,LL,Hobbiton,2347,pd,0.3156666666666667,0.0076615735426509134,71.81465732098674,2023
2023-04-14,blue oak,LL,Hobbiton,2348,pd,0.26666666666666666,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2349,pd,0.25,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2350,pd,0.35,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2351,pd,0.27,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2370,pd,0.44666666666666666,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2370,md,1.015,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2371,md,0.9656666666666666,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2371,pd,0.32,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2372,pd,0.3833333333333333,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2372,md,0.9,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2373,md,0.9443333333333334,NA,NA,2023
2023-04-14,blue oak,LL,Hobbiton,2375,pd,0.2966666666666667,0.00820708772879728,20.2773182367053,2023
2023-04-14,blue oak,LL,MiddleEarth,2358,pd,0.50375,NA,NA,2023
2023-04-14,blue oak,LL,MiddleEarth,2360,pd,0.16,0.011430630126038826,49.639504975812436,2023
2023-04-14,blue oak,LL,MiddleEarth,2360,md,1.48825,0.011430630126038826,49.639504975812436,2023
2023-04-14,blue oak,LL,MiddleEarth,2366,pd,0.7066666666666667,NA,NA,2023
2023-04-14,blue oak,LL,MiddleEarth,2367,md,1.0666666666666667,0.008085240249527217,38.44174644104072,2023
2023-04-14,blue oak,LL,MiddleEarth,2367,pd,0.446,0.008085240249527217,38.44174644104072,2023
2023-04-14,blue oak,LL,MiddleEarth,2369,pd,0.33666666666666667,0.008082673772450217,81.04678224735869,2023
2023-04-14,blue oak,LL,MiddleEarth,2369,md,1.3695,0.008082673772450217,81.04678224735869,2023
2023-04-14,blue oak,LL,Ridge,2333,pd,0.25333333333333335,NA,NA,2023
2023-04-14,blue oak,LL,Rohan,2378,md,0.9166666666666666,NA,NA,2023
2023-04-14,blue oak,LL,Rohan,2378,pd,0.2833333333333333,NA,NA,2023
2023-04-14,blue oak,LL,Rohan,2379,pd,0.23333333333333334,NA,NA,2023
2023-04-14,blue oak,LL,Rohan,2379,md,1.052,NA,NA,2023
2023-04-14,blue oak,LL,Weathertop,2010,pd,0.182,0.011561928457935506,43.094085389651966,2023
2023-04-14,blue oak,LL,Weathertop,2010,md,0.736,0.011561928457935506,43.094085389651966,2023
2023-04-14,blue oak,LL,Weathertop,2011,pd,0.20833333333333334,0.01147020038933148,29.619011380226873,2023
2023-04-14,blue oak,LL,Weathertop,2011,md,1.08925,0.01147020038933148,29.619011380226873,2023
2023-04-14,blue oak,LL,Weathertop,2381,md,1.1835,0.01114984447066395,49.86520594650672,2023
2023-04-14,blue oak,LL,Weathertop,2381,pd,0.225,0.01114984447066395,49.86520594650672,2023
2023-04-14,blue oak,LL,Weathertop,2382,md,1.0481666666666667,0.010974300409002045,38.37790613141752,2023
2023-04-14,blue oak,LL,Weathertop,2382,pd,0.23333333333333334,0.010974300409002045,38.37790613141752,2023
2023-04-14,blue oak,LL,Weathertop,2383,pd,0.18333333333333332,0.011220833306521554,51.92481395593266,2023
2023-04-14,blue oak,LL,Weathertop,2384,md,1.086,0.01223084054130634,38.13686140705283,2023
2023-04-14,blue oak,LL,Weathertop,2384,pd,0.16666666666666666,0.01223084054130634,38.13686140705283,2023
2023-04-14,live oak,Chamise,Chamise,2022,pd,0.225,0.023578920078331064,23.071205936917718,2023
2023-04-14,live oak,Chamise,Chamise,2022,md,0.74375,0.023578920078331064,23.071205936917718,2023
2023-04-14,live oak,Chamise,Chamise,2023,md,1.01875,0.021909764135333794,30.44240088993101,2023
2023-04-14,live oak,Chamise,Chamise,2023,pd,0.175,0.021909764135333794,30.44240088993101,2023
2023-04-14,live oak,Chamise,Shedd,2029,pd,0.3,0.01856482019447939,43.506075898947955,2023
2023-04-14,live oak,Chamise,Shedd,2029,md,0.8625,0.01856482019447939,43.506075898947955,2023
2023-04-14,live oak,Chamise,Shedd,2030,pd,0.3,0.019467153150645008,22.545097512556485,2023
2023-04-14,live oak,Chamise,Shedd,2030,md,1.5583333333333333,0.019467153150645008,22.545097512556485,2023
2023-04-14,live oak,LL,Hobbiton,2301,md,1.2113333333333334,0.009192174582116996,96.90339467718441,2023
2023-04-14,live oak,LL,Hobbiton,2345,md,0.7008,0.01205323033687764,50.563435547792594,2023
2023-04-14,live oak,LL,Hobbiton,2345,pd,0.19,0.01205323033687764,50.563435547792594,2023
2023-04-14,live oak,LL,MiddleEarth,2352,md,0.8333333333333334,0.012966447076582883,34.33853318349962,2023
2023-04-14,live oak,LL,MiddleEarth,2352,pd,0.19375,0.012966447076582883,34.33853318349962,2023
2023-04-14,live oak,LL,MiddleEarth,2354,pd,0.31666666666666665,0.009985232565302636,36.36411889856748,2023
2023-04-14,live oak,LL,MiddleEarth,2376,md,0.87,0.014025379400752262,15.795717181060711,2023
2023-04-14,live oak,LL,MiddleEarth,2376,pd,0.5143333333333333,0.014025379400752262,15.795717181060711,2023
2023-04-14,live oak,LL,Ridge,2331,md,1.0723333333333334,0.017555053912191854,26.99193679616636,2023
2023-04-14,live oak,LL,Ridge,2331,pd,0.23125,0.017555053912191854,26.99193679616636,2023
2023-04-14,live oak,LL,Rohan,2377,pd,0.19166666666666668,NA,NA,2023
2023-04-14,live oak,LL,Rohan,2377,md,1.117,NA,NA,2023
2023-04-14,live oak,LL,Rohan,2380,pd,0.3333333333333333,NA,NA,2023
2023-04-14,live oak,LL,Rohan,2380,md,1.327,NA,NA,2023
2023-05-12,blue oak,Chamise,Chamise,2020,pd,0.2632,0.014577405916756797,29.323186660247842,2023
2023-05-12,blue oak,Chamise,Chamise,2020,md,1.2666666666666666,0.014577405916756797,29.323186660247842,2023
2023-05-12,blue oak,Chamise,Chamise,2021,md,1.5733333333333335,0.014240763671449164,38.749591673761316,2023
2023-05-12,blue oak,Chamise,Chamise,2021,pd,0.302,0.014240763671449164,38.749591673761316,2023
2023-05-12,blue oak,Chamise,Chamise,2024,pd,0.34275,0.013668119860707734,28.36257057319836,2023
2023-05-12,blue oak,Chamise,Chamise,2025,md,1.575,0.013655418952522227,19.728092106424523,2023
2023-05-12,blue oak,Chamise,Chamise,2025,pd,0.26333333333333336,0.013655418952522227,19.728092106424523,2023
2023-05-12,blue oak,Chamise,Shedd,2026,pd,0.46275,0.014290679187081124,25.078675737253132,2023
2023-05-12,blue oak,Chamise,Shedd,2026,md,1.3333333333333333,0.014290679187081124,25.078675737253132,2023
2023-05-12,blue oak,Chamise,Shedd,2027,pd,0.3586666666666667,0.012867146178469846,42.209014635372654,2023
2023-05-12,blue oak,Chamise,Shedd,2028,pd,0.26,0.01629260587639517,24.45404294816057,2023
2023-05-12,blue oak,Chamise,Shedd,2028,md,1.1166666666666667,0.01629260587639517,24.45404294816057,2023
2023-05-12,blue oak,Chamise,Shedd,2031,pd,0.38066666666666665,0.012273116718660828,28.95466224475906,2023
2023-05-12,blue oak,Cucu Mesa,High,2004,md,1.8125,0.01228010543503389,24.09301629313033,2023
2023-05-12,blue oak,Cucu Mesa,High,2005,md,1.6600000000000001,0.01707116622961879,33.52354000284195,2023
2023-05-12,blue oak,Cucu Mesa,High,2005,pd,0.35833333333333334,0.01707116622961879,33.52354000284195,2023
2023-05-12,blue oak,Cucu Mesa,High,2006,pd,0.26666666666666666,0.014385403969604464,25.997669753368793,2023
2023-05-12,blue oak,Cucu Mesa,High,2006,md,1.15,0.014385403969604464,25.997669753368793,2023
2023-05-12,blue oak,Cucu Mesa,High,2007,pd,0.395,0.013643727740789662,10.990033719910143,2023
2023-05-12,blue oak,Cucu Mesa,High,2007,md,1.937,0.013643727740789662,10.990033719910143,2023
2023-05-12,blue oak,Cucu Mesa,High,2008,md,1.25,0.0151543715045739,28.384589856940696,2023
2023-05-12,blue oak,Cucu Mesa,High,2008,pd,0.31333333333333335,0.0151543715045739,28.384589856940696,2023
2023-05-12,blue oak,Cucu Mesa,Low,1478,pd,0.375,0.01482004192575016,22.770283984696373,2023
2023-05-12,blue oak,Cucu Mesa,Low,2013,md,1.53,0.011938397175105033,33.66462538306766,2023
2023-05-12,blue oak,Cucu Mesa,Low,2015,pd,0.17333333333333334,NA,NA,2023
2023-05-12,blue oak,Cucu Mesa,Low,2016,md,1.29,NA,NA,2023
2023-05-12,blue oak,Cucu Mesa,Low,2016,pd,0.218,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2009,md,1.9166666666666667,0.01021110032288777,50.746331981424156,2023
2023-05-12,blue oak,LL,Hobbiton,2306,pd,0.29033333333333333,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2306,md,1.5466666666666666,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2337,md,2.0866666666666664,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2339,md,1.4683333333333333,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2340,md,1.655,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2370,md,1.3333333333333333,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2370,pd,0.412,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2371,md,1.056,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2371,pd,0.33999999999999997,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2372,md,1.44,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2372,pd,0.14666666666666667,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2373,md,1.2583333333333333,NA,NA,2023
2023-05-12,blue oak,LL,Hobbiton,2375,md,1.8314285714285714,0.014167359302882694,13.823848031624149,2023
2023-05-12,blue oak,LL,Hobbiton,2375,pd,0.21,0.014167359302882694,13.823848031624149,2023
2023-05-12,blue oak,LL,MiddleEarth,2355,md,2.875,NA,NA,2023
2023-05-12,blue oak,LL,MiddleEarth,2356,md,2.3,NA,NA,2023
2023-05-12,blue oak,LL,MiddleEarth,2357,md,2.5,NA,NA,2023
2023-05-12,blue oak,LL,MiddleEarth,2358,md,2.3,NA,NA,2023
2023-05-12,blue oak,LL,MiddleEarth,2359,md,3,NA,NA,2023
2023-05-12,blue oak,LL,MiddleEarth,2361,pd,0.44183333333333336,0.01212895147477514,54.032179766386584,2023
2023-05-12,blue oak,LL,MiddleEarth,2362,md,2.6833333333333336,NA,NA,2023
2023-05-12,blue oak,LL,MiddleEarth,2363,md,1.4416666666666667,NA,NA,2023
2023-05-12,blue oak,LL,MiddleEarth,2364,md,1.3666666666666667,0.01071108893546678,24.06673368071993,2023
2023-05-12,blue oak,LL,MiddleEarth,2364,pd,0.24333333333333335,0.01071108893546678,24.06673368071993,2023
2023-05-12,blue oak,LL,MiddleEarth,2366,pd,0.21333333333333332,0.01257220823332169,42.177804209129796,2023
2023-05-12,blue oak,LL,MiddleEarth,2366,md,1.6400000000000001,0.01257220823332169,42.177804209129796,2023
2023-05-12,blue oak,LL,MiddleEarth,2367,pd,0.21666666666666667,0.012629704751269503,40.62805402192251,2023
2023-05-12,blue oak,LL,MiddleEarth,2369,md,4.008333333333333,0.013086425270949031,41.10078697843468,2023
2023-05-12,blue oak,LL,Ridge,2332,pd,0.225,NA,NA,2023
2023-05-12,blue oak,LL,Ridge,2333,pd,0.254,NA,NA,2023
2023-05-12,blue oak,LL,Ridge,2334,pd,0.4425,NA,NA,2023
2023-05-12,blue oak,LL,Ridge,2335,pd,0.34800000000000003,NA,NA,2023
2023-05-12,blue oak,LL,Ridge,2336,md,1.3933333333333333,NA,NA,2023
2023-05-12,blue oak,LL,Rohan,2378,md,1.5583333333333333,NA,NA,2023
2023-05-12,blue oak,LL,Rohan,2379,md,0.8033333333333333,NA,NA,2023
2023-05-12,blue oak,LL,Weathertop,2010,md,1.9041666666666668,0.013362590926649227,24.97014241821875,2023
2023-05-12,blue oak,LL,Weathertop,2010,pd,0.195,0.013362590926649227,24.97014241821875,2023
2023-05-12,blue oak,LL,Weathertop,2011,pd,0.345,NA,NA,2023
2023-05-12,blue oak,LL,Weathertop,2381,md,1.78,0.014027955232477556,34.40159315863941,2023
2023-05-12,blue oak,LL,Weathertop,2381,pd,0.2833333333333333,0.014027955232477556,34.40159315863941,2023
2023-05-12,blue oak,LL,Weathertop,2382,pd,0.19625,0.01528742036685294,29.769799724247058,2023
2023-05-12,blue oak,LL,Weathertop,2383,pd,0.4366666666666667,0.015646017801066,20.677546371922645,2023
2023-05-12,blue oak,LL,Weathertop,2383,md,2.087625,0.015646017801066,20.677546371922645,2023
2023-05-12,blue oak,LL,Weathertop,2384,pd,0.3,0.012721998779808034,34.06886439795776,2023
2023-05-12,live oak,Chamise,Chamise,2022,pd,0.25285714285714284,0.021532933762960435,25.839389366109227,2023
2023-05-12,live oak,Chamise,Chamise,2022,md,1.4166666666666665,0.021532933762960435,25.839389366109227,2023
2023-05-12,live oak,Chamise,Shedd,2029,md,1.0999999999999999,0.017442474222149073,22.9933769344799,2023
2023-05-12,live oak,Chamise,Shedd,2030,md,0.9333333333333333,0.016957176318686422,25.6278322113412,2023
2023-05-12,live oak,Chamise,Shedd,2030,pd,0.25033333333333335,0.016957176318686422,25.6278322113412,2023
2023-05-12,live oak,LL,Hobbiton,2345,md,1.085,0.016899174705310976,18.907392544861466,2023
2023-05-12,live oak,LL,MiddleEarth,2352,md,1.4333333333333333,0.012502106790697444,46.96346355023162,2023
2023-05-12,live oak,LL,MiddleEarth,2353,md,1.13375,0.013433924005780026,33.84702829502623,2023
2023-05-12,live oak,LL,MiddleEarth,2354,md,1.61,0.014348219070919026,27.513094608318063,2023
2023-05-12,live oak,LL,Rohan,2377,md,1.0416666666666667,NA,NA,2023
2023-05-12,live oak,LL,Rohan,2380,md,1.435,NA,NA,2023
2023-07-28,blue oak,Chamise,Chamise,2020,pd,0.6883333333333334,0.018282866599686455,13.45264457388634,2023
2023-07-28,blue oak,Chamise,Chamise,2020,md,3.1136666666666666,0.018282866599686455,13.45264457388634,2023
2023-07-28,blue oak,Chamise,Chamise,2021,pd,0.915625,0.02084749136457179,3.9184072619585577,2023
2023-07-28,blue oak,Chamise,Chamise,2021,md,2.550333333333333,0.02084749136457179,3.918407261958558,2023
2023-07-28,blue oak,Chamise,Chamise,2024,md,2.5096666666666665,0.01606300166894647,9.991552272555856,2023
2023-07-28,blue oak,Chamise,Chamise,2024,pd,1.3399999999999999,0.01606300166894647,9.991552272555856,2023
2023-07-28,blue oak,Chamise,Chamise,2025,md,2.9185,0.01710113367359523,12.730295992130515,2023
2023-07-28,blue oak,Chamise,Chamise,2025,pd,1.45,0.01710113367359523,12.730295992130515,2023
2023-07-28,blue oak,Chamise,Shedd,2026,pd,0.9199999999999999,0.0170825301399258,8.974653714890264,2023
2023-07-28,blue oak,Chamise,Shedd,2026,md,3.4165,0.0170825301399258,8.974653714890264,2023
2023-07-28,blue oak,Chamise,Shedd,2027,pd,2.7,0.015197546827367108,13.497857348432195,2023
2023-07-28,blue oak,Chamise,Shedd,2027,md,3.0355,0.015197546827367108,13.497857348432195,2023
2023-07-28,blue oak,Chamise,Shedd,2028,md,3.6913333333333336,0.017885557997332345,13.812784627283119,2023
2023-07-28,blue oak,Chamise,Shedd,2028,pd,1.4975,0.017885557997332345,13.812784627283119,2023
2023-07-28,blue oak,Chamise,Shedd,2031,md,3.0443333333333333,0.016085385040956357,8.3770912026117,2023
2023-07-28,blue oak,Chamise,Shedd,2031,pd,1.4336666666666666,0.016085385040956357,8.3770912026117,2023
2023-07-28,blue oak,Cucu Mesa,High,2004,md,2.5153333333333334,0.019180966370869044,7.528701021672669,2023
2023-07-28,blue oak,Cucu Mesa,High,2004,pd,1.1055,0.019180966370869044,7.528701021672669,2023
2023-07-28,blue oak,Cucu Mesa,High,2005,md,2.5865,0.019934293900575814,9.552922252231939,2023
2023-07-28,blue oak,Cucu Mesa,High,2005,pd,0.6866666666666666,0.019934293900575814,9.552922252231939,2023
2023-07-28,blue oak,Cucu Mesa,High,2006,md,2.8703333333333334,0.01791342548642211,12.046760202617216,2023
2023-07-28,blue oak,Cucu Mesa,High,2007,md,1.9249999999999998,0.019199636494098785,13.406531161232657,2023
2023-07-28,blue oak,Cucu Mesa,Low,1478,pd,0.515,0.01834065389890347,9.217599826128168,2023
2023-07-28,blue oak,Cucu Mesa,Low,1478,md,2.5380000000000003,0.01834065389890347,9.217599826128168,2023
2023-07-28,blue oak,Cucu Mesa,Low,2012,md,2.112,0.012931459729854523,6.266852412748576,2023
2023-07-28,blue oak,Cucu Mesa,Low,2012,pd,0.854,0.012931459729854523,6.266852412748576,2023
2023-07-28,blue oak,Cucu Mesa,Low,2013,md,2.509333333333333,0.017251649310480684,8.053764075624803,2023
2023-07-28,blue oak,Cucu Mesa,Low,2013,pd,0.6333333333333333,0.017251649310480684,8.053764075624803,2023
2023-07-28,blue oak,Cucu Mesa,Low,2015,pd,2.1666666666666665,0.015911139465283726,8.35059336609527,2023
2023-07-28,blue oak,Cucu Mesa,Low,2015,md,2.60625,0.015911139465283726,8.35059336609527,2023
2023-07-28,blue oak,Cucu Mesa,Low,2016,md,2.648,NA,NA,2023
2023-07-28,blue oak,Cucu Mesa,Low,2016,pd,2.24,NA,NA,2023
2023-07-28,blue oak,LL,Hobbiton,2009,md,3.6270000000000002,0.018261634060718613,17.12881249445625,2023
2023-07-28,blue oak,LL,Hobbiton,2009,pd,0.9446666666666667,0.018261634060718613,17.12881249445625,2023
2023-07-28,blue oak,LL,Hobbiton,2343,pd,1.0733333333333333,0.015040863468677184,25.52407989721625,2023
2023-07-28,blue oak,LL,Hobbiton,2343,md,2.8566,0.015040863468677184,25.52407989721625,2023
2023-07-28,blue oak,LL,Hobbiton,2346,md,3.402,0.016235821873351687,19.351162116382724,2023
2023-07-28,blue oak,LL,Hobbiton,2346,pd,0.597,0.016235821873351687,19.351162116382724,2023
2023-07-28,blue oak,LL,Hobbiton,2347,md,3.0238,0.016398411073309437,18.27109996763337,2023
2023-07-28,blue oak,LL,Hobbiton,2347,pd,0.8333333333333333,0.016398411073309437,18.27109996763337,2023
2023-07-28,blue oak,LL,Hobbiton,2370,pd,0.43542000000000003,NA,NA,2023
2023-07-28,blue oak,LL,Hobbiton,2370,md,3.31875,NA,NA,2023
2023-07-28,blue oak,LL,Hobbiton,2371,md,2.5135,NA,NA,2023
2023-07-28,blue oak,LL,Hobbiton,2371,pd,0.36533333333333334,NA,NA,2023
2023-07-28,blue oak,LL,Hobbiton,2372,md,2.729,NA,NA,2023
2023-07-28,blue oak,LL,Hobbiton,2372,pd,0.868,NA,NA,2023
2023-07-28,blue oak,LL,Hobbiton,2375,pd,1.3596666666666666,0.017611764185540373,5.209779928148241,2023
2023-07-28,blue oak,LL,Hobbiton,2375,md,2.3136666666666668,0.017611764185540373,5.209779928148241,2023
2023-07-28,blue oak,LL,MiddleEarth,2360,pd,0.8646666666666667,0.013397876777720483,16.64454379513734,2023
2023-07-28,blue oak,LL,MiddleEarth,2364,md,3.902,NA,NA,2023
2023-07-28,blue oak,LL,MiddleEarth,2365,pd,0.5583333333333333,0.01276379299857172,19.617735272123536,2023
2023-07-28,blue oak,LL,MiddleEarth,2365,md,3.375,0.01276379299857172,19.617735272123536,2023
2023-07-28,blue oak,LL,MiddleEarth,2367,md,3.2525,0.012733258098371843,22.808156054808048,2023
2023-07-28,blue oak,LL,MiddleEarth,2367,pd,0.9256666666666666,0.012733258098371843,22.808156054808048,2023
2023-07-28,blue oak,LL,MiddleEarth,2369,pd,0.8325,0.01484855108898648,21.854207891571335,2023
2023-07-28,blue oak,LL,MiddleEarth,2369,md,3.3606000000000003,0.01484855108898648,21.854207891571335,2023
2023-07-28,blue oak,LL,Rohan,2378,pd,0.8416666666666667,NA,NA,2023
2023-07-28,blue oak,LL,Rohan,2378,md,2.5675,NA,NA,2023
2023-07-28,blue oak,LL,Rohan,2379,md,3.32,NA,NA,2023
2023-07-28,blue oak,LL,Rohan,2379,pd,0.75,NA,NA,2023
2023-07-28,blue oak,LL,Weathertop,2010,pd,1.1,0.018296434433347743,7.149368913166329,2023
2023-07-28,blue oak,LL,Weathertop,2010,md,2.7203333333333335,0.018296434433347743,7.149368913166329,2023
2023-07-28,blue oak,LL,Weathertop,2011,md,3.405,0.017058739837510252,10.472166858987945,2023
2023-07-28,blue oak,LL,Weathertop,2011,pd,0.8,0.017058739837510252,10.472166858987945,2023
2023-07-28,blue oak,LL,Weathertop,2381,md,3.8375,0.016474006332698354,11.555049590908203,2023
2023-07-28,blue oak,LL,Weathertop,2381,pd,1.125,0.016474006332698354,11.555049590908203,2023
2023-07-28,blue oak,LL,Weathertop,2382,pd,1.6333333333333333,0.014978497102740823,20.05620108794337,2023
2023-07-28,blue oak,LL,Weathertop,2382,md,3.5786666666666664,0.014978497102740823,20.05620108794337,2023
2023-07-28,blue oak,LL,Weathertop,2383,pd,1.1166666666666667,0.01768202915777918,11.195214443578116,2023
2023-07-28,blue oak,LL,Weathertop,2383,md,2.7956666666666665,0.01768202915777918,11.195214443578116,2023
2023-07-28,blue oak,LL,Weathertop,2384,pd,1.3666666666666667,0.016940419662380173,11.94795091377562,2023
2023-07-28,blue oak,LL,Weathertop,2384,md,3.1189999999999998,0.016940419662380173,11.94795091377562,2023
2023-07-28,live oak,Chamise,Chamise,2022,md,1.8323333333333334,0.020769470799699177,21.5343270453114,2023
2023-07-28,live oak,Chamise,Chamise,2022,pd,0.36933333333333335,0.020769470799699177,21.5343270453114,2023
2023-07-28,live oak,Chamise,Chamise,2023,md,2.2185,0.024725401081346562,11.559906074314524,2023
2023-07-28,live oak,Chamise,Chamise,2023,pd,0.43333333333333335,0.024725401081346562,11.559906074314524,2023
2023-07-28,live oak,Chamise,Shedd,2029,pd,0.408,0.01829833304966579,28.568002147713845,2023
2023-07-28,live oak,Chamise,Shedd,2029,md,2.25725,0.01829833304966579,28.568002147713845,2023
2023-07-28,live oak,Chamise,Shedd,2030,pd,0.2813333333333333,0.020932243894236677,19.643897760275863,2023
2023-07-28,live oak,Chamise,Shedd,2030,md,2.7723333333333335,0.020932243894236677,19.643897760275863,2023
2023-07-28,live oak,LL,Hobbiton,2301,pd,0.381,0.018680646585175507,13.670979327567249,2023
2023-07-28,live oak,LL,Hobbiton,2301,md,2.3766666666666665,0.018680646585175507,13.670979327567249,2023
2023-07-28,live oak,LL,Hobbiton,2345,md,2.425,0.02060137144083351,18.25289363938282,2023
2023-07-28,live oak,LL,Hobbiton,2345,pd,0.2833333333333333,0.02060137144083351,18.25289363938282,2023
2023-07-28,live oak,LL,MiddleEarth,2352,md,2.4375,0.015510633718593028,32.76612785783526,2023
2023-07-28,live oak,LL,MiddleEarth,2352,pd,1.0699999999999998,0.015510633718593028,32.76612785783526,2023
2023-07-28,live oak,LL,MiddleEarth,2354,pd,1.0666666666666667,0.0198408221880075,10.42140899617712,2023
2023-07-28,live oak,LL,MiddleEarth,2354,md,2.933333333333333,0.0198408221880075,10.42140899617712,2023
2023-07-28,live oak,LL,MiddleEarth,2376,md,2.9238,0.01913655495640785,20.95059569615631,2023
