tree,time,rep,date_wc,dry_scan_area,dm_leaf_g,wm_leaf_g,dm_bulk_g,wm_bulk_g
2004,md,3,2022-03-08,NA,0.019,0.0535,0.396,1.0937
2004,pd,1,2022-03-08,NA,0.013,0.0391,0.63,1.9089
2004,pd,2,2022-03-08,NA,0.017,0.0533,0.63,1.9089
2004,pd,3,2022-03-08,NA,0.016,0.0476,0.63,1.9089
2004,pd,4,2022-03-08,NA,0.013,0.0385,0.63,1.9089
2004,md,NA,2022-03-11,27.975,NA,NA,NA,NA
2004,pd,NA,2022-03-11,44.275,NA,NA,NA,NA
2004,md,1,2022-04-04,NA,0.2606,0.4669,NA,NA
2004,md,2,2022-04-04,NA,0.327,0.5966,NA,NA
2004,md,3,2022-04-04,NA,0.1331,0.2353,NA,NA
2004,pd,1,2022-04-04,NA,NA,NA,1.5441,3.1083
2004,pd,2,2022-04-04,NA,NA,NA,1.5441,3.1083
2004,pd,3,2022-04-04,NA,NA,NA,1.5441,3.1083
2004,pd,4,2022-04-04,NA,NA,NA,1.5441,3.1083
2004,md,1,2022-04-13,40.793,0.0284,0.0499,0.5484,1.0136
2004,md,2,2022-04-13,40.793,0.0392,0.0691,0.5484,1.0136
2004,md,3,2022-04-13,40.793,0.0361,0.0675,0.5484,1.0136
2004,md,1,2022-04-27,36.066,NA,NA,0.562,1.062
2004,md,2,2022-04-27,36.066,NA,NA,0.562,1.062
2004,md,3,2022-04-27,36.066,NA,NA,0.562,1.062
2004,pd,1,2022-04-27,59.183,NA,NA,0.9,1.762
2004,pd,2,2022-04-27,59.183,NA,NA,0.9,1.762
2004,pd,3,2022-04-27,59.183,NA,NA,0.9,1.762
2004,pd,4,2022-04-27,59.183,NA,NA,0.9,1.762
2004,md,NA,2022-05-09,19.676,NA,NA,NA,NA
2004,md,1,2022-05-23,NA,NA,NA,0.527,0.901
2004,md,2,2022-05-23,NA,NA,NA,0.527,0.901
2004,md,3,2022-05-23,NA,NA,NA,0.527,0.901
2004,md,4,2022-05-23,NA,NA,NA,0.527,0.901
2004,md,5,2022-05-23,NA,NA,NA,0.527,0.901
2004,pd,1,2022-05-23,NA,NA,NA,0.7909,1.42
2004,pd,2,2022-05-23,NA,NA,NA,0.7909,1.42
2004,pd,3,2022-05-23,NA,NA,NA,0.7909,1.42
2004,pd,1,2022-07-19,NA,NA,NA,0.185,0.2922
2004,pd,2,2022-07-19,NA,NA,NA,0.185,0.2922
2004,pd,3,2022-07-19,NA,NA,NA,0.185,0.2922
2004,pd,4,2022-07-19,NA,NA,NA,0.185,0.2922
2004,pd,5,2022-07-19,NA,NA,NA,0.185,0.2922
2004,pd,NA,2022-09-12,NA,NA,NA,0.4084,0.6825
2004,md,NA,2022-09-16,NA,NA,NA,0.369,0.5814
2004,pd,NA,2022-09-16,NA,NA,NA,0.6191,1.0809
2004,md,1,NA,NA,NA,NA,NA,NA
2004,md,2,NA,NA,NA,NA,NA,NA
2004,md,3,NA,NA,NA,NA,NA,NA
2004,md,4,NA,NA,NA,NA,NA,NA
2004,md,5,NA,NA,NA,NA,NA,NA
2004,md,NA,NA,NA,NA,NA,NA,NA
2004,pd,1,NA,NA,NA,NA,NA,NA
2004,pd,2,NA,NA,NA,NA,NA,NA
2004,pd,3,NA,NA,NA,NA,NA,NA
2004,pd,4,NA,NA,NA,NA,NA,NA
2004,pd,5,NA,NA,NA,NA,NA,NA
2004,pd,NA,NA,NA,1.5441,3.1083,NA,NA
2005,md,1,2022-03-08,NA,0.111,0.2784,0.152,0.3955
2005,md,2,2022-03-08,NA,0.069,0.1889,0.152,0.3955
2005,md,3,2022-03-08,NA,0.057,0.1532,0.152,0.3955
2005,pd,1,2022-03-08,NA,0.076,0.23,0.395,1.2097
2005,pd,2,2022-03-08,NA,0.081,0.2506,0.395,1.2097
2005,md,NA,2022-03-11,30.202,NA,NA,NA,NA
2005,pd,NA,2022-03-11,39.689,NA,NA,NA,NA
2005,md,1,2022-04-04,NA,0.1104,0.2038,NA,NA
2005,md,2,2022-04-04,NA,0.1379,0.2554,NA,NA
2005,md,3,2022-04-04,NA,0.17,0.3162,NA,NA
2005,pd,1,2022-04-04,NA,NA,NA,0.8365,1.7037
2005,pd,2,2022-04-04,NA,NA,NA,0.8365,1.7037
2005,md,1,2022-04-13,NA,0.1089,0.2058,1.5488,3.0145
2005,md,2,2022-04-13,NA,0.0713,0.1357,1.5488,3.0145
2005,md,3,2022-04-13,NA,0.0857,0.1623,1.5488,3.0145
2005,md,1,2022-04-27,62.015,NA,NA,0.984,1.885
2005,md,2,2022-04-27,62.015,NA,NA,0.984,1.885
2005,md,3,2022-04-27,62.015,NA,NA,0.984,1.885
2005,pd,1,2022-04-27,125.453,NA,NA,2.033,4.076
2005,pd,2,2022-04-27,125.453,NA,NA,2.033,4.076
2005,pd,3,2022-04-27,125.453,NA,NA,2.033,4.076
2005,md,1,2022-05-09,36.497,NA,NA,0.6279,1.1425
2005,md,2,2022-05-09,36.497,NA,NA,0.6279,1.1425
2005,md,3,2022-05-09,36.497,NA,NA,0.6279,1.1425
2005,md,1,2022-05-23,NA,NA,NA,0.962,1.689
2005,md,2,2022-05-23,NA,NA,NA,0.962,1.689
2005,md,3,2022-05-23,NA,NA,NA,0.962,1.689
2005,pd,1,2022-05-23,NA,NA,NA,1.1338,2.15
2005,pd,2,2022-05-23,NA,NA,NA,1.1338,2.15
2005,pd,3,2022-05-23,NA,NA,NA,1.1338,2.15
2005,md,1,2022-07-19,NA,NA,NA,0.613,1.0017
2005,md,2,2022-07-19,NA,NA,NA,0.613,1.0017
2005,md,3,2022-07-19,NA,NA,NA,0.613,1.0017
2005,pd,NA,2022-09-12,NA,NA,NA,1.5494,2.8249
2005,md,NA,2022-09-16,NA,NA,NA,0.6143,1.007
2005,md,NA,NA,NA,NA,NA,NA,NA
2005,pd,1,NA,NA,NA,NA,NA,NA
2005,pd,2,NA,NA,NA,NA,NA,NA
2005,pd,3,NA,NA,NA,NA,NA,NA
2005,pd,NA,NA,NA,0.8365,1.7037,NA,NA
2006,md,1,2022-03-08,NA,0.046,0.1172,0.157,0.4237
2006,md,2,2022-03-08,NA,0.056,0.1535,0.157,0.4237
2006,md,3,2022-03-08,NA,0.054,0.1487,0.157,0.4237
2006,pd,1,2022-03-08,NA,0.045,0.1323,0.497,1.552
2006,pd,2,2022-03-08,NA,0.034,0.1025,0.497,1.552
2006,md,NA,2022-03-11,25.605,NA,NA,NA,NA
2006,pd,NA,2022-03-11,41.242,NA,NA,NA,NA
2006,md,1,2022-04-04,NA,0.095,0.1726,NA,NA
2006,md,2,2022-04-04,NA,0.088,0.16,NA,NA
2006,md,3,2022-04-04,NA,0.068,0.1238,NA,NA
2006,pd,1,2022-04-04,NA,NA,NA,1.9004,3.7179
2006,pd,2,2022-04-04,NA,NA,NA,1.9004,3.7179
2006,pd,3,2022-04-04,NA,NA,NA,1.9004,3.7179
2006,md,1,2022-04-13,122.554,0.0568,0.1003,1.7009,3.1646
2006,md,2,2022-04-13,122.554,0.1008,0.1783,1.7009,3.1646
2006,md,3,2022-04-13,122.554,0.1028,0.1836,1.7009,3.1646
2006,md,1,2022-04-27,NA,NA,NA,NA,NA
2006,md,2,2022-04-27,NA,NA,NA,NA,NA
2006,md,3,2022-04-27,NA,NA,NA,NA,NA
2006,md,NA,2022-04-27,56.15,NA,NA,NA,NA
2006,pd,1,2022-04-27,93.983,NA,NA,1.454,2.819
2006,pd,2,2022-04-27,93.983,NA,NA,1.454,2.819
2006,pd,3,2022-04-27,93.983,NA,NA,1.454,2.819
2006,md,1,2022-05-09,48.116,NA,NA,0.8142,1.4839
2006,md,2,2022-05-09,48.116,NA,NA,0.8142,1.4839
2006,md,3,2022-05-09,48.116,NA,NA,0.8142,1.4839
2006,md,1,2022-05-23,NA,NA,NA,0.407,0.696
2006,md,2,2022-05-23,NA,NA,NA,0.407,0.696
2006,md,3,2022-05-23,NA,NA,NA,0.407,0.696
2006,pd,1,2022-05-23,NA,NA,NA,1.2419,2.33
2006,pd,2,2022-05-23,NA,NA,NA,1.2419,2.33
2006,pd,3,2022-05-23,NA,NA,NA,1.2419,2.33
2006,md,1,2022-07-19,NA,NA,NA,0.53,0.868
2006,md,2,2022-07-19,NA,NA,NA,0.53,0.868
2006,md,3,2022-07-19,NA,NA,NA,0.53,0.868
2006,pd,1,2022-07-19,NA,NA,NA,0.627,1.0208
2006,pd,2,2022-07-19,NA,NA,NA,0.627,1.0208
2006,pd,3,2022-07-19,NA,NA,NA,0.627,1.0208
2006,pd,4,2022-07-19,NA,NA,NA,0.627,1.0208
2006,pd,NA,2022-09-12,NA,NA,NA,0.8924,1.7101
2006,pd,NA,2022-09-12,NA,NA,NA,1.5046,2.4481
2006,md,NA,2022-09-16,NA,NA,NA,0.3778,0.6362
2006,pd,NA,2022-09-16,NA,NA,NA,0.5693,1.007
2006,md,4,NA,NA,NA,NA,NA,NA
2006,md,NA,NA,NA,NA,NA,NA,NA
2006,pd,1,NA,NA,NA,NA,NA,NA
2006,pd,2,NA,NA,NA,NA,NA,NA
2006,pd,3,NA,NA,NA,NA,NA,NA
2006,pd,NA,NA,NA,1.9004,3.7179,NA,NA
2007,md,1,2022-03-08,NA,0.028,0.0636,0.103,0.2543
2007,md,2,2022-03-08,NA,0.04,0.939,0.103,0.2543
2007,md,3,2022-03-08,NA,0.038,0.0892,0.103,0.2543
2007,pd,1,2022-03-08,NA,0.044,0.1081,0.825,2.1401
2007,pd,2,2022-03-08,NA,0.039,0.1054,0.825,2.1401
2007,pd,3,2022-03-08,NA,0.034,0.086,0.825,2.1401
2007,md,NA,2022-03-11,16.438,NA,NA,NA,NA
2007,pd,NA,2022-03-11,81.168,NA,NA,NA,NA
2007,md,1,2022-04-04,NA,0.183,0.3206,NA,NA
2007,md,2,2022-04-04,NA,0.131,0.2356,NA,NA
2007,pd,1,2022-04-04,NA,NA,NA,1.5258,2.8554
2007,pd,2,2022-04-04,NA,NA,NA,1.5258,2.8554
2007,pd,3,2022-04-04,NA,NA,NA,1.5258,2.8554
2007,pd,4,2022-04-04,NA,NA,NA,1.5258,2.8554
2007,md,1,2022-04-13,82.264,0.0474,824,1.176,2.3146
2007,md,2,2022-04-13,82.264,0.0476,0.0831,1.176,2.3146
2007,md,3,2022-04-13,82.264,0.0319,0.0559,1.176,2.3146
2007,md,1,2022-04-27,56.296,NA,NA,0.868,1.614
2007,md,2,2022-04-27,56.296,NA,NA,0.868,1.614
2007,md,3,2022-04-27,56.296,NA,NA,0.868,1.614
2007,pd,1,2022-04-27,72.861,NA,NA,1.138,2.169
2007,pd,2,2022-04-27,72.861,NA,NA,1.138,2.169
2007,pd,3,2022-04-27,72.861,NA,NA,1.138,2.169
2007,pd,4,2022-04-27,72.861,NA,NA,1.138,2.169
2007,md,1,2022-05-09,22.324,NA,NA,0.3739,0.6647
2007,md,2,2022-05-09,22.324,NA,NA,0.3739,0.6647
2007,md,3,2022-05-09,22.324,NA,NA,0.3739,0.6647
2007,md,1,2022-05-23,NA,NA,NA,0.381,0.647
2007,md,2,2022-05-23,NA,NA,NA,0.381,0.647
2007,md,3,2022-05-23,NA,NA,NA,0.381,0.647
2007,pd,1,2022-05-23,NA,NA,NA,NA,NA
2007,pd,2,2022-05-23,NA,NA,NA,NA,NA
2007,pd,3,2022-05-23,NA,NA,NA,NA,NA
2007,md,1,2022-07-19,NA,NA,NA,0.439,0.6935
2007,md,2,2022-07-19,NA,NA,NA,0.439,0.6935
2007,md,3,2022-07-19,NA,NA,NA,0.439,0.6935
2007,pd,1,2022-07-19,NA,NA,NA,0.631,1.0372
2007,pd,2,2022-07-19,NA,NA,NA,0.631,1.0372
2007,pd,3,2022-07-19,NA,NA,NA,0.631,1.0372
2007,pd,NA,2022-09-12,NA,NA,NA,1.1087,2.0109
2007,md,NA,2022-09-16,NA,NA,NA,0.4725,0.7692
2007,pd,NA,2022-09-16,NA,NA,NA,0.3991,0.7144
2007,md,3,NA,NA,NA,NA,NA,NA
2007,md,4,NA,NA,NA,NA,NA,NA
2007,md,NA,NA,NA,NA,NA,NA,NA
2007,pd,1,NA,NA,NA,NA,NA,NA
2007,pd,2,NA,NA,NA,NA,NA,NA
2007,pd,3,NA,NA,NA,NA,NA,NA
2007,pd,NA,NA,NA,1.5258,2.8554,NA,NA
2008,md,1,2022-04-04,NA,0.083,0.1501,NA,NA
2008,md,2,2022-04-04,NA,0.081,0.145,NA,NA
2008,md,3,2022-04-04,NA,0.048,0.0878,NA,NA
2008,pd,1,2022-04-04,NA,NA,NA,0.5269,1.0186
2008,pd,2,2022-04-04,NA,NA,NA,0.5269,1.0186
2008,md,1,2022-05-23,NA,NA,NA,0.63,1.066
2008,md,2,2022-05-23,NA,NA,NA,0.63,1.066
2008,md,3,2022-05-23,NA,NA,NA,0.63,1.066
2008,pd,1,2022-05-23,NA,NA,NA,0.536,1
2008,pd,2,2022-05-23,NA,NA,NA,0.536,1
2008,pd,3,2022-05-23,NA,NA,NA,0.536,1
2008,md,NA,NA,NA,NA,NA,NA,NA
2008,pd,3,NA,NA,NA,NA,NA,NA
2008,pd,NA,NA,NA,0.5269,1.0186,NA,NA
2009,md,1,2022-03-25,NA,0.285,0.608,0.285,0.608
2009,md,2,2022-03-25,NA,0.285,0.608,0.285,0.608
2009,md,3,2022-03-25,NA,0.285,0.608,0.285,0.608
2009,md,4,2022-03-25,NA,0.285,0.608,0.285,0.608
2009,pd,1,2022-03-25,NA,1.395,3.228,1.395,3.228
2009,pd,2,2022-03-25,NA,1.395,3.228,1.395,3.228
2009,pd,3,2022-03-25,NA,1.395,3.228,1.395,3.228
2009,pd,1,2022-03-30,NA,NA,0.7187,0.161,0.3815
2009,pd,2,2022-03-30,NA,NA,0.9085,0.161,0.3815
2009,pd,3,2022-03-30,NA,NA,12544,0.161,0.3815
2009,md,1,2022-04-06,3.579,0.0506,0.1074,NA,NA
2009,md,2,2022-04-06,4.888,0.0681,0.1332,NA,NA
2009,md,3,2022-04-06,4.557,NA,NA,NA,NA
2009,pd,1,2022-04-11,45.649,0.06,0.111,0.439,0.8395
2009,pd,2,2022-04-11,45.649,0.071,0.1331,0.439,0.8395
2009,pd,3,2022-04-11,45.649,0.085,0.1577,0.439,0.8395
2009,md,1,2022-04-13,57.658,0.1283,0.2369,0.5266,0.9998
2009,md,2,2022-04-13,57.658,0.1406,0.2671,0.5266,0.9998
2009,md,3,2022-04-13,57.658,0.1134,0.2115,0.5266,0.9998
2009,md,1,2022-04-25,NA,NA,NA,0.733,1.35
2009,md,2,2022-04-25,NA,NA,NA,0.733,1.35
2009,md,3,2022-04-25,NA,NA,NA,0.733,1.35
2009,pd,1,2022-04-25,NA,NA,NA,1.1296,2.13
2009,pd,2,2022-04-25,NA,NA,NA,1.1296,2.13
2009,pd,3,2022-04-25,NA,NA,NA,1.1296,2.13
2009,md,1,2022-05-04,NA,NA,NA,1.2304,2.075
2009,md,2,2022-05-04,NA,NA,NA,1.2304,2.075
2009,md,3,2022-05-04,NA,NA,NA,1.2304,2.075
2009,md,4,2022-05-04,NA,NA,NA,1.2304,2.075
2009,md,5,2022-05-04,NA,NA,NA,1.2304,2.075
2009,md,1,2022-05-09,49.48,NA,NA,0.8239,1.4606
2009,md,2,2022-05-09,49.48,NA,NA,0.8239,1.4606
2009,md,3,2022-05-09,49.48,NA,NA,0.8239,1.4606
2009,pd,1,2022-05-09,44.655,NA,NA,0.726,1.24
2009,pd,2,2022-05-09,44.655,NA,NA,0.726,1.24
2009,pd,3,2022-05-09,44.655,NA,NA,0.726,1.24
2009,md,1,2022-05-23,NA,NA,NA,0.812,1.3847
2009,md,2,2022-05-23,NA,NA,NA,0.812,1.3847
2009,pd,1,2022-05-23,39.132,NA,NA,0.577,1.07
2009,pd,2,2022-05-23,39.132,NA,NA,0.577,1.07
2009,pd,3,2022-05-23,39.132,NA,NA,0.577,1.07
2009,md,1,2022-07-19,NA,NA,NA,0.643,1.0154
2009,md,2,2022-07-19,NA,NA,NA,0.643,1.0154
2009,md,3,2022-07-19,NA,NA,NA,0.643,1.0154
2009,md,1,2022-08-18,NA,NA,NA,NA,NA
2009,md,2,2022-08-18,NA,NA,NA,NA,NA
2009,md,NA,2022-08-18,NA,NA,NA,0.912,1.4513
2009,pd,1,2022-08-18,NA,NA,NA,NA,NA
2009,pd,2,2022-08-18,NA,NA,NA,NA,NA
2009,pd,3,2022-08-18,NA,NA,NA,NA,NA
2009,pd,NA,2022-08-18,NA,NA,NA,0.7632,1.26
2009,md,NA,2022-09-16,NA,NA,NA,0.5535,0.8324
2009,md,1,NA,NA,NA,NA,NA,NA
2009,md,2,NA,NA,NA,NA,NA,NA
2009,md,3,NA,NA,NA,NA,NA,NA
2009,md,3,NA,NA,0.0656,0.1271,NA,NA
2009,md,NA,NA,NA,NA,NA,NA,NA
2009,pd,1,NA,NA,NA,NA,NA,NA
2009,pd,2,NA,NA,NA,NA,NA,NA
2009,pd,3,NA,NA,NA,NA,NA,NA
2009,pd,4,NA,NA,NA,NA,NA,NA
2009,pd,5,NA,NA,NA,NA,NA,NA
2009,pd,NA,NA,NA,0.439,0.8395,NA,NA
2010,md,1,2022-03-25,NA,NA,NA,NA,NA
2010,md,2,2022-03-25,NA,NA,NA,NA,NA
2010,md,3,2022-03-25,NA,NA,NA,NA,NA
2010,pd,1,2022-03-25,NA,0.129,0.426,0.129,0.426
2010,pd,2,2022-03-25,NA,0.129,0.426,0.129,0.426
2010,pd,3,2022-03-25,NA,0.129,0.426,0.129,0.426
2010,pd,4,2022-03-25,NA,0.129,0.426,0.129,0.426
2010,pd,1,2022-03-30,NA,NA,NA,0.643,1.3442
2010,pd,2,2022-03-30,NA,NA,NA,0.643,1.3442
2010,pd,3,2022-03-30,NA,NA,NA,0.643,1.3442
2010,pd,1,2022-04-11,50.093,0.112,0.2034,0.391,0.7206
2010,pd,2,2022-04-11,50.093,0.099,0.1814,0.391,0.7206
2010,pd,3,2022-04-11,50.093,0.14,0.2556,0.391,0.7206
2010,pd,4,2022-04-11,50.093,0.072,0.1277,0.391,0.7206
2010,md,1,2022-04-13,NA,0.1129,0.2,0.8816,1.5848
2010,md,2,2022-04-13,NA,0.1074,0.1876,0.8816,1.5848
2010,md,1,2022-04-25,NA,NA,NA,0.826,1.56
2010,md,2,2022-04-25,NA,NA,NA,0.826,1.56
2010,md,3,2022-04-25,NA,NA,NA,0.826,1.56
2010,pd,1,2022-04-25,NA,NA,NA,0.859,1.62
2010,pd,2,2022-04-25,NA,NA,NA,0.859,1.62
2010,pd,3,2022-04-25,NA,NA,NA,0.859,1.62
2010,md,1,2022-05-04,NA,NA,NA,1.9549,3.455
2010,md,2,2022-05-04,NA,NA,NA,1.9549,3.455
2010,md,3,2022-05-04,NA,NA,NA,1.9549,3.455
2010,md,4,2022-05-04,NA,NA,NA,1.9549,3.455
2010,md,1,2022-05-09,168.994,NA,NA,2.8126,5.1695
2010,md,2,2022-05-09,168.994,NA,NA,2.8126,5.1695
2010,pd,1,2022-05-09,102.629,NA,NA,1.776,3.12
2010,pd,2,2022-05-09,102.629,NA,NA,1.776,3.12
2010,pd,3,2022-05-09,102.629,NA,NA,1.776,3.12
2010,pd,4,2022-05-09,102.629,NA,NA,1.776,3.12
2010,md,1,2022-05-23,NA,NA,NA,1.125,1.971
2010,md,2,2022-05-23,NA,NA,NA,1.125,1.971
2010,md,3,2022-05-23,NA,NA,NA,1.125,1.971
2010,pd,1,2022-05-23,40.132,NA,NA,0.596,1.08
2010,pd,2,2022-05-23,40.132,NA,NA,0.596,1.08
2010,md,1,2022-07-19,NA,NA,NA,0.415,0.6659
2010,md,2,2022-07-19,NA,NA,NA,0.415,0.6659
2010,md,3,2022-07-19,NA,NA,NA,0.415,0.6659
2010,pd,1,2022-07-19,NA,NA,NA,0.503,0.8474
2010,pd,2,2022-07-19,NA,NA,NA,0.503,0.8474
2010,pd,3,2022-07-19,NA,NA,NA,0.503,0.8474
2010,md,1,2022-08-18,NA,NA,NA,NA,NA
2010,md,2,2022-08-18,NA,NA,NA,NA,NA
2010,md,NA,2022-08-18,NA,NA,NA,0.9754,1.6375
2010,pd,1,2022-08-18,NA,NA,NA,NA,NA
2010,pd,2,2022-08-18,NA,NA,NA,NA,NA
2010,pd,3,2022-08-18,NA,NA,NA,NA,NA
2010,pd,NA,2022-08-18,NA,NA,NA,0.7594,1.29
2010,pd,NA,2022-09-12,NA,NA,NA,1.6322,2.8515
2010,md,1,NA,NA,NA,NA,NA,NA
2010,md,2,NA,NA,NA,NA,NA,NA
2010,md,3,NA,NA,NA,NA,NA,NA
2010,md,4,NA,NA,NA,NA,NA,NA
2010,md,NA,NA,NA,NA,NA,NA,NA
2010,pd,1,NA,NA,NA,NA,NA,NA
2010,pd,2,NA,NA,NA,NA,NA,NA
2010,pd,3,NA,NA,NA,NA,NA,NA
2010,pd,4,NA,NA,NA,NA,NA,NA
2010,pd,NA,NA,NA,0.391,0.7206,NA,NA
2011,pd,1,2022-04-04,NA,NA,NA,0.4686,0.925
2011,pd,2,2022-04-04,NA,NA,NA,0.4686,0.925
2011,pd,3,2022-04-04,NA,NA,NA,0.4686,0.925
2011,md,1,2022-04-06,2.665,0.038,0.0703,NA,NA
2011,md,2,2022-04-06,4.122,0.063,0.117,NA,NA
2011,md,3,2022-04-06,3.243,NA,NA,NA,NA
2011,pd,1,2022-04-11,52.254,0.07,0.124,0.613,1.1259
2011,pd,2,2022-04-11,52.254,0.072,0.1306,0.613,1.1259
2011,pd,3,2022-04-11,52.254,0.069,0.1235,0.613,1.1259
2011,md,1,2022-04-13,NA,0.1032,0.1871,0.4914,0.8877
2011,md,2,2022-04-13,NA,0.1013,0.1809,0.4914,0.8877
2011,md,3,2022-04-13,NA,0.068,0.1204,0.4914,0.8877
2011,md,1,2022-04-25,NA,NA,NA,0.6439,1.14
2011,md,2,2022-04-25,NA,NA,NA,0.6439,1.14
2011,md,3,2022-04-25,NA,NA,NA,0.6439,1.14
2011,pd,1,2022-04-25,NA,NA,NA,0.8406,1.55
2011,pd,2,2022-04-25,NA,NA,NA,0.8406,1.55
2011,md,1,2022-05-04,NA,NA,NA,1.1256,1.945
2011,md,2,2022-05-04,NA,NA,NA,1.1256,1.945
2011,md,3,2022-05-04,NA,NA,NA,1.1256,1.945
2011,md,4,2022-05-04,NA,NA,NA,1.1256,1.945
2011,md,1,2022-05-09,50.733,NA,NA,0.8041,1.4424
2011,md,2,2022-05-09,50.733,NA,NA,0.8041,1.4424
2011,pd,1,2022-05-09,61.914,NA,NA,1.071,1.82
2011,pd,2,2022-05-09,61.914,NA,NA,1.071,1.82
2011,pd,3,2022-05-09,61.914,NA,NA,1.071,1.82
2011,pd,4,2022-05-09,61.914,NA,NA,1.071,1.82
2011,md,1,2022-05-23,NA,NA,NA,NA,NA
2011,md,2,2022-05-23,NA,NA,NA,NA,NA
2011,md,3,2022-05-23,NA,NA,NA,NA,NA
2011,md,NA,2022-05-23,59.31,NA,NA,NA,NA
2011,pd,1,2022-05-23,44.463,NA,NA,0.708,1.27
2011,pd,2,2022-05-23,44.463,NA,NA,0.708,1.27
2011,pd,3,2022-05-23,44.463,NA,NA,0.708,1.27
2011,md,1,2022-07-19,NA,NA,NA,0.463,0.7236
2011,md,2,2022-07-19,NA,NA,NA,0.463,0.7236
2011,md,3,2022-07-19,NA,NA,NA,0.463,0.7236
2011,md,4,2022-07-19,NA,NA,NA,0.463,0.7236
2011,pd,1,2022-07-19,NA,NA,NA,0.661,1.0687
2011,pd,2,2022-07-19,NA,NA,NA,0.661,1.0687
2011,pd,3,2022-07-19,NA,NA,NA,0.661,1.0687
2011,md,1,2022-08-18,NA,NA,NA,NA,NA
2011,md,2,2022-08-18,NA,NA,NA,NA,NA
2011,md,NA,2022-08-18,NA,NA,NA,0.8304,1.2834
2011,pd,1,2022-08-18,NA,NA,NA,NA,NA
2011,pd,2,2022-08-18,NA,NA,NA,NA,NA
2011,pd,3,2022-08-18,NA,NA,NA,NA,NA
2011,pd,NA,2022-08-18,NA,NA,NA,0.5538,0.86
2011,pd,NA,2022-09-12,NA,NA,NA,2.4417,3.999
2011,md,NA,2022-09-15,NA,NA,NA,0.4819,0.755
2011,md,3,NA,NA,NA,NA,NA,NA
2011,md,3,NA,NA,0.0475,0.0897,NA,NA
2011,md,4,NA,NA,NA,NA,NA,NA
2011,md,NA,NA,NA,NA,NA,NA,NA
2011,pd,1,NA,NA,NA,NA,NA,NA
2011,pd,2,NA,NA,NA,NA,NA,NA
2011,pd,3,NA,NA,NA,NA,NA,NA
2011,pd,4,NA,NA,NA,NA,NA,NA
2011,pd,NA,NA,NA,0.4686,0.925,NA,NA
