"","X","date","tree","swc_g","swc_per_dry_g","swc_percent","year","week","swc_ww_g","swc_dw_g","type","rep","timing"
"149",149,"2022-03-30",2346,0.0213,1.775,177.5,0,13,0.0333,0.012,"stem",1,"early"
"150",150,"2022-03-30",2346,0.1639,1.78152173913043,178.152173913043,NA,13,0.2559,0.092,"leaf",2,"early"
"151",151,"2022-03-30",2009,0.5825,1.78680981595092,178.680981595092,NA,13,0.9085,0.326,"leaf",2,"early"
"152",152,"2022-03-30",2367,0.6102,1.82149253731343,182.149253731343,NA,13,0.9452,0.335,"leaf",1,"early"
"153",153,"2022-03-30",2343,0.2344,1.86031746031746,186.031746031746,NA,13,0.3604,0.126,"leaf",3,"early"
"154",154,"2022-03-30",2378,0.028,1.86666666666667,186.666666666667,0,13,0.043,0.015,"stem",3,"early"
"155",155,"2022-03-30",2346,0.3882,1.89365853658537,189.365853658537,NA,13,0.5932,0.205,"leaf",1,"early"
"156",156,"2022-03-30",2347,1.1007,1.9243006993007,192.43006993007,NA,13,1.6727,0.572,"leaf",1,"early"
"157",157,"2022-03-30",2343,0.0252,1.93846153846154,193.846153846154,0,13,0.0382,0.013,"stem",3,"early"
"158",158,"2022-03-30",2346,0.0039,1.95,195,0,13,0.0059,0.002,"stem",3,"early"
"159",159,"2022-03-30",2369,0.0117,1.95,195,0,13,0.0177,0.006,"stem",3,"early"
"160",160,"2022-03-30",2009,0.0429,1.95,195,0,13,0.0649,0.022,"stem",2,"early"
"161",161,"2022-03-30",2343,0.0858,1.95,195,0,13,0.1298,0.044,"stem",2,"early"
"162",162,"2022-03-30",2372,0.5068,1.97198443579767,197.198443579767,NA,13,0.7638,0.257,"leaf",1,"early"
"163",163,"2022-03-30",2375,0.0498,1.992,199.2,NA,13,0.0748,0.025,"stem",3,"early"
"164",164,"2022-03-30",2346,0.1218,1.99672131147541,199.672131147541,NA,13,0.1828,0.061,"leaf",3,"early"
"165",165,"2022-03-30",2347,0.7946,2.00151133501259,200.151133501259,NA,13,1.1916,0.397,"leaf",3,"early"
"166",166,"2022-03-30",2009,0.0524,2.01538461538462,201.538461538462,0,13,0.0784,0.026,"stem",3,"early"
"167",167,"2022-03-30",2372,0.5965,2.04280821917808,204.280821917808,NA,13,0.8885,0.292,"leaf",2,"early"
"168",168,"2022-03-30",2009,0.031,2.06666666666667,206.666666666667,0,13,0.046,0.015,"stem",1,"early"
"169",169,"2022-03-30",2364,0.052,2.08,208,0,13,0.077,0.025,"stem",3,"early"
"170",170,"2022-03-30",2367,0.0681,2.128125,212.8125,0,13,0.1001,0.032,"stem",1,"early"
"171",171,"2022-03-30",2360,0.066,2.12903225806452,212.903225806452,0,13,0.097,0.031,"stem",2,"early"
"172",172,"2022-03-30",2347,0.1115,2.18627450980392,218.627450980392,0,13,0.1625,0.051,"stem",1,"early"
"173",173,"2022-03-30",2375,0.0311,2.22142857142857,222.142857142857,0,13,0.0451,0.014,"stem",2,"early"
"174",174,"2022-03-30",2367,0.0848,2.23157894736842,223.157894736842,0,13,0.1228,0.038,"stem",1,"early"
"175",175,"2022-03-30",2347,0.0201,2.23333333333333,223.333333333333,0,13,0.0291,0.009,"stem",2,"early"
"176",176,"2022-03-30",2347,0.1149,2.25294117647059,225.294117647059,0,13,0.1659,0.051,"stem",3,"early"
"177",177,"2022-03-30",2375,0.0317,2.26428571428571,226.428571428571,0,13,0.0457,0.014,"stem",1,"early"
"178",178,"2022-03-30",2372,0.0432,2.27368421052632,227.368421052632,0,13,0.0622,0.019,"stem",1,"early"
"179",179,"2022-03-30",2347,0.3095,2.32706766917293,232.706766917293,NA,13,0.4425,0.133,"leaf",2,"early"
"180",180,"2022-03-30",2375,0.3421,2.35931034482759,235.931034482759,NA,13,0.4871,0.145,"leaf",1,"early"
"181",181,"2022-03-30",2375,0.5583,2.37574468085106,237.574468085106,NA,13,0.7933,0.235,"leaf",3,"early"
"182",182,"2022-03-30",2370,0.0216,2.4,240,0,13,0.0306,0.009,"stem",3,"early"
"183",183,"2022-03-30",2370,0.3621,2.414,241.4,NA,13,0.5121,0.15,"leaf",3,"early"
