Species,Tree_id,Branch,Year,Sub-branch,LWM_g,LDM_g,SWM_g,SDM_g,L_cm,D_mm,Date,Notes,Area Of Leaf from scan ,Leaf Count,
L,2026,1,0,,0.5381,0.263,0.0972,0.026,1.93,0.7775,3/15/23,,,8,
B,2005,1,0,,1.97,0.819,0.194,0.074,2.93,1.495,3/15/23,,,9,
L,2331,2,0,,0.2566,0.078,0.0255,0.009,1.22,NA,3/15/23,,,5,
L,2352,3,1,,0.194,0.117,0.037,0.02,1.92,0.8975,3/15/23,,,4,
B,2020,3,0,,0.477,0.216,0.031,0.012,1.2,0.8525,3/15/23,,,6,
L,2023,3,1,,1.359,0.826,0.241,0.127,4.62,1.685,3/15/23,,,7,
B,2379,3,0,,0.5032,0.224,0.0413,0.017,0.75,NA,3/15/23,,,5,
L,2093,2,1,,1.8806,0.124,0.0428,0.104,2.69,1.63,3/15/23,,,12,
B,2378,1,0,,0.615,0.279,0.124,0.05,2.75,1.015,3/15/23,,,7,
B,2006,3,0,,0.225,0.081,0.0264,0.01,0.78,NA,3/15/23,,,6,
L,2352,2,1,,0.41,0.242,0.034,0.018,1.37,0.92,3/15/23,,,5,
B,2025,2,0,,0.943,0.447,0.163,0.069,4.34,1.3975,3/15/23,,,11,
B,2021,1,0,,0.404,0.2,0.045,0.018,1.21,NA,3/15/23,,,5,
L,2352,1,1,,0.2,0.122,0.2,0.112,6.39,1.265,3/15/23,,,1,
B,2024,1,0,,1.72,0.714,0.208,0.078,3.63,1.6175,3/15/23,,,9,
B,2008,1,0,,0.505,0.173,0.03,0.011,0.9,NA,3/15/23,,,4,
L,2331,2,1,,0.5628,0.34,0.199,0.109,4.63,1.5025,3/15/23,,,3,
B,2024,4,0,,0.939,0.35,0.203,0.074,4.82,1.65,3/15/23,,,9,
B,2025,4,0,,0.657,0.322,0.098,0.043,3.21,1.2475,3/15/23,,,10,
L,2023,2,0,b,1.3048,0.65,0.1037,0.046,3.43,1.02,3/15/23,,,6,
L,2345,3,1,,2.0648,1.212,0.3191,0.177,5.41,1.76,3/15/23,,,11,
L,2023,4,0,a,1.513,0.742,0.176,0.076,5.03,1.285,3/15/23,,,6,
L,2345,1,1,a,2.5494,1.486,0.2795,0.147,4.39,1.775,3/15/23,,,8,
L,2089,2,1,,1.062,0.622,0.278,0.157,6.85,1.5625,3/15/23,,,6,
B,2008,3,0,,0.913,0.317,0.06,0.021,1.5,NA,3/15/23,,,9,
B,2381,1,0,,0.594,0.226,0.056,0.02,0.96,NA,3/15/23,,,5,
B,2004,2,0,,0.512,0.189,0.09,0.032,2.2,1.18,3/15/23,,,11,
L,2301,3,1,,1.9497,1.1,0.2815,0.148,7.56,1.4025,3/15/23,,,10,
L,2092,1,1,,0.3787,0.233,0.0811,0.043,2.04,1.4275,3/15/23,,,5,
L,2023,3,0,,1.058,0.548,0.088,0.041,1.84,1.2925,3/15/23,,,5,
L,2023,2,0,c,1.0261,0.52,0.112,0.05,4.41,1.0075,3/15/23,,,5,
L,2345,1,1,,2.4007,1.412,0.4181,0.227,7.02,2.0275,3/15/23,,,9,
L,2023,2,1,a,0.4375,0.269,0.1647,0.086,3.57,1.3525,3/15/23,,,4,
B,2027,2,0,,1.026,0.402,0.042,0.016,1.05,NA,3/15/23,,,7,
B,2379,2,0,,0.5888,0.27,0.0298,0.013,0.8,0.7775,3/15/23,,,7,
L,2301,2,1,,2.3277,1.344,0.3994,0.213,9.51,1.425,3/15/23,,,9,
L,2345,2,1,,1.6601,0.977,0.3092,0.173,5.59,1.6375,3/15/23,,,8,
L,2089,1,1,,2.377,1.421,NA,0.267,8.55,1.9725,3/15/23,,,8,
L,2023,1,0,c,0.256,0.133,0.0252,0.013,0.86,1.125,3/15/23,,,2,
B,2382,3,0,,1.123,0.485,0.082,0.032,2.19,1.15,3/15/23,,,7,
L,2089,4,0,,0.752,0.438,0.098,0.051,3.17,1.3375,3/15/23,,,8,
L,2377,1,1,,2.0381,1.258,0.466,0.259,7.75,1.905,3/15/23,,,11,
B,2006,2,0,,0.9156,0.326,0.0534,0.02,1.38,1.6475,3/15/23,,,8,
B,2384,3,0,,0.2467,0.106,0.0109,0.004,0.61,NA,3/15/23,Previous LWM 0.247 and LDM 0.109 ,,6,
B,2378,4,0,,0.452,0.208,0.086,0.035,2.21,0.99,3/15/23,,,7,
B,2378,3,0,,0.827,0.376,0.161,0.065,4.02,1.345,3/15/23,,,9,
B,2020,4,0,,0.277,0.124,0.018,0.007,0.7,0.71,3/15/23,,,3,
L,2022,3,0,,3.2876,1.546,0.2367,0.089,3.42,1.57,3/15/23,,,8,
B,2007,3,0,,0.29,0.133,NA,0.009,1.09,NA,3/15/23,,,7,
L,2092,3,1,,0.7635,0.445,0.1311,0.066,3.5,1.3525,3/15/23,,,12,
L,2022,2,0,,1.921,0.934,0.253,0.093,2.5,1.455,3/15/23,,,7,
L,2331,1,1,,2.0409,1.282,0.4136,0.245,7.13,1.9575,3/15/23,,,9,
L,2345,1,1,b,1.3859,0.824,NA,0.089,4.83,1.345,3/15/23,,,9,
B,2384,2,0,,0.3051,0.131,0.0271,0.011,0.86,NA,3/15/23,,,6,
L,2089,3,0,,0.756,0.453,0.075,0.044,3.22,1.1225,3/15/23,,,8,
B,2027,3,0,,0.315,0.135,0.012,0.005,0.5,NA,3/15/23,,,5,
L,2023,1,0,b,2.4075,1.259,0.2134,0.097,5.29,1.5125,3/15/23,,,7,
B,2381,2,0,,0.482,0.191,0.028,0.011,0.8,NA,3/15/23,,,6,
B,2025,1,0,,0.854,0.393,0.133,0.055,3.41,1.305,3/15/23,,,9,
L,2345,3,1,b,1.7134,1.066,0.1643,0.098,4.43,1.7575,3/15/23,,,9,
L,2345,1,0,b,0.237,0.131,0.0333,0.017,1.23,0.97,3/15/23,,,4,
L,2022,2,1,,0.6215,0.361,0.0565,0.098,3.61,1.7025,3/15/23,,,6,
L,2026,2,0,,0.2398,0.114,0.0302,0.013,1.48,0.6925,3/15/23,,,7,
L,2022,1,0,,1.172,0.567,0.108,0.046,2.01,1.28,3/15/23,,,8,
B,2005,3,0,,1.485,0.624,0.184,0.072,3.75,1.37,3/15/23,,,8,
L,2345,3,1,a,1.755,1.052,0.3197,0.182,7.55,2.0725,3/15/23,,,8,
L,2093,1,1,,1.357,0.806,0.174,0.093,3.24,1.5825,3/15/23,,,12,
B,2004,1,0,,0.656,0.238,0.129,0.043,3.55,1.21,3/15/23,,,13,
L,2345,2,1,a,1.2522,0.763,0.1533,0.088,5.39,1.595,3/15/23,,,8,
B,2381,3,0,,0.905,0.365,0.041,0.015,0.85,NA,3/15/23,,,6,
B,2021,3,0,,0.793,0.377,0.061,0.025,1.48,NA,3/15/23,,,12,
B,2021,3,0,,0.793,0.377,0.061,0.025,1.48,NA,3/15/23,,,9,
B,2384,1,0,,0.1294,0.114,0.0186,0.007,0.77,NA,3/15/23,,,5,
B,2007,2,0,,0.5294,0.245,0.0266,0.011,0.99,0.605,3/15/23,,,7,
L,2092,2,1,,0.4471,0.272,0.0492,0.027,1.6,1.4625,3/15/23,,,9,
B,2005,2,0,,2.143,0.893,0.275,0.104,4.21,1.6825,3/15/23,,,10,
L,2089,2,0,b,0.561,0.325,0.056,0.031,2.82,1.1875,3/15/23,,,7,
L,2377,2,1,,1.6459,1.005,0.2738,0.152,5.83,1.9225,3/15/23,,,10,
L,2345,2,1,b,1.6052,0.989,0.1212,0.066,3.33,1.52,3/15/23,,,8,
B,2024,2,0,,1.602,0.653,0.146,0.057,2.87,1.34,3/15/23,,,9,
B,2382,1,0,,1.272,0.562,0.279,0.106,6.41,1.305,3/15/23,,,9,
L,2380,3,1,,0.6676,0.407,0.0764,0.043,1.82,1.1125,3/15/23,,,7,
B,2021,2,0,,0.82,0.398,0.089,0.038,2.05,NA,3/15/23,,,10,
B,2004,3,0,,0.507,0.193,0.059,0.022,1.67,1.05,3/15/23,,,11,
L,2331,3,0,,0.4853,0.193,0.102,0.037,3.6,0.9625,3/15/23,,,8,
L,2089,4,1,,1.152,0.701,0.271,0.156,6.52,1.725,3/15/23,,,7,
B,2008,2,0,,0.802,0.291,0.033,0.012,1.16,NA,3/15/23,,,6,
L,2331,3,1,,1.0484,0.642,0.2059,0.111,4.83,1.4575,3/15/23,,,7,
B,2024,3,0,,1.128,0.43,0.26,0.094,5.23,1.5725,3/15/23,,,7,
L,2093,3,1,,1.3837,0.822,0.1204,0.067,2.58,1.4175,3/15/23,,,9,
L,2376,3,1,,2.062,1.192,0.254,0.14,15.29,1.585,3/30/23,,,10,
L,2377,2,1,,1.456,0.855,0.825,0.372,8.84,2.1975,3/30/23,,,12,
B,2009,6,0,,0.409,0.097,0.04,0.013,1.06,0.7475,3/30/23,,,5,
B,2372,1,0,,0.585,0.174,0.059,0.019,1.31,NA,3/30/23,,,7,
B,2371,3,0,,0.389,0.111,0.037,0.012,1.52,0.7,3/30/23,,,5,
B,2382,1,0,,1.004,0.499,0.167,0.075,4.24,1.1075,3/30/23,,,7,
B,2020,2,0,,1.515,0.69,0.281,0.104,3.19,1.6625,3/30/23,,,11,
L,2331,1,1,,1.168,0.977,0.296,0.168,7.75,1.685,3/30/23,,,10,
B,2379,3,0,,0.362,0.182,0.02,0.008,0.78,NA,3/30/23,,,6,
B,2360,3,0,,1.023,0.445,0.085,0.034,2.08,1.1375,3/30/23,,,8,
B,2384,3,0,,0.392,0.184,0.023,0.009,0.87,NA,3/30/23,,,6,
L,2380,2,0,,1.289,0.603,0.052,0.02,1.42,0.6475,3/30/23,,,7,
L,2377,3,1,,2.578,1.468,0.619,0.334,9.49,2.1975,3/30/23,,,11,
B,2373,2,0,,0.654,0.177,0.051,0.014,1.08,1,3/30/23,,,6,
B,2383,1,0,,0.488,0.239,0.038,0.017,0.9,1.015,3/30/23,,,4,
L,2301,3,1,,0.772,0.462,0.267,0.151,6.64,1.4425,3/30/23,,,5,
L,2376,1,1,,4.579,2.427,0.699,0.37,7.68,2.4625,3/30/23,,,9,
B,2371,1,0,,0.449,0.126,0.029,0.009,1.24,0.5125,3/30/23,,,5,
L,2377,1,0,,2.633,0.86,0.469,0.143,9.37,1.59,3/30/23,,,13,
L,2331,3,1,,1.136,0.659,0.156,0.088,4.87,1.2275,3/30/23,,,9,
L,2301,2,1,,1.453,0.867,0.123,0.065,3.35,1.17,3/30/23,,,9,
L,2354,1,1,,2.28,1.209,0.488,0.257,9.22,2.34,3/30/23,,,8,
L,2377,1,1,,8,0.792,0.91,0.4,7.78,2.2475,3/30/23,,,8,
L,2380,3,1,,0.656,0.374,0.067,0.034,1.7,1.0575,3/30/23,,,10,
L,2301,1,1,,3.336,1.967,0.218,0.128,4.83,1.7175,3/30/23,,,11,
L,2377,2,0,,2.961,1.044,0.489,0.16,9.55,1.5175,3/30/23,,,19,
B,2378,3,0,,1.254,0.581,0.17,0.073,2.33,1.085,3/30/23,,,9,
B,2379,2,0,,0.416,0.211,0.046,0.022,1.05,NA,3/30/23,,,6,
L,2345,1,1,,1.696,0.943,0.418,0.209,6.84,1.8325,3/30/23,,,10,
B,2347,2,0,,0.434,0.152,0.062,0.018,1.09,0.8175,3/30/23,,,4,
B,2009,5,0,,0.527,0.167,0.045,0.014,1.38,1.3825,3/30/23,,,5,
B,2343,2,0,,0.751,0.262,0.123,0.039,2.64,1.2125,3/30/23,,,6,
L,2380,2,1,,1.276,0.694,0.279,0.145,5.87,1.595,3/30/23,,,7,
L,2380,1,0,,0.379,0.101,0.033,0.01,1.32,NA,3/30/23,,,7,
L,2345,3,1,,2.008,1.122,0.618,0.33,10.37,1.945,3/30/23,,,11,
B,2009,3,0,,0.617,0.249,0.059,0.024,1.41,1.06,3/30/23,,,5,
B,2346,2,0,,0.742,0.326,0.093,0.038,2.52,1,3/30/23,,,6,
B,2373,1,0,,0.452,0.125,0.047,0.014,1.36,0.87,3/30/23,,,6,
B,2382,2,0,,0.812,0.411,0.15,0.069,3.37,0.995,3/30/23,,,7,
L,2376,2,1,,2.119,1.161,0.293,0.158,5.71,1.62,3/30/23,,,7,
L,2380,1,1,,0.534,0.287,0.073,0.034,1.9,0.8625,3/30/23,,,6,
L,2352,1,0,,0.606,0.27,0.032,0.013,1.86,NA,3/30/23,,,5,
B,2370,3,0,,0.218,0.065,0.02,0.007,0.84,NA,3/30/23,,,6,
L,2354,2,1,,2.269,1.259,0.313,0.17,7.09,1.8125,3/30/23,,,10,
B,2378,2,0,,1.068,0.506,0.294,0.125,4.11,1.575,3/30/23,,,7,
B,2382,3,0,,0.876,0.432,0.05,0.021,1.24,1.0875,3/30/23,,,6,
B,2381,1,0,,0.826,0.387,0.092,0.037,1.49,1.2825,3/30/23,,,7,
L,2352,2,0,,0.294,0.131,0.039,0.015,2.18,NA,3/30/23,,,4,
B,2347,1,0,,1.027,0.357,0.094,0.028,1.29,NA,3/30/23,,,7,
B,2370,2,0,,0.249,0.073,0.014,0.003,0.75,NA,3/30/23,,,7,
L,2354,3,0,,0.215,0.057,0.035,0.01,1.35,NA,3/30/23,,,4,
L,2352,2,1,,0.782,0.486,0.242,0.131,6,1.4775,3/30/23,,,3,
B,2360,2,0,,0.764,0.327,0.049,0.016,1.2,NA,3/30/23,,,7,
B,2020,1,0,,0.803,0.361,0.104,0.041,1.6,1.2475,3/30/23,,,7,
B,2381,2,0,,1.067,0.496,0.106,0.044,2.03,1.2675,3/30/23,,,9,
B,2384,1,0,,0.388,0.182,0.022,0.008,0.77,NA,3/30/23,,,5,
B,2343,1,0,,0.812,0.291,0.107,0.035,2.18,NA,3/30/23,,,6,
L,2352,3,1,,0.955,0.605,0.246,0.147,6.51,1.35,3/30/23,,,4,
B,2346,3,0,,0.637,0.295,0.146,0.058,2.83,1.0025,3/30/23,,,8,
B,2009,2,0,,0.674,0.271,0.08,0.032,1.33,0.8225,3/30/23,,,6,
L,2345,2,1,,2.153,1.148,0.625,0.339,10.37,1.97,3/30/23,,,12,
B,2383,2,0,,0.55,0.276,0.031,0.012,0.84,0.995,3/30/23,,,6,
L,2354,3,1,,3.496,1.903,0.522,0.273,7.98,2.2275,3/30/23,,,10,
L,2331,2,1,,1.453,0.815,0.304,0.167,8.12,1.44,3/30/23,,,8,
B,2009,4,0,,0.892,0.334,0.066,0.023,1.25,1.26,3/30/23,,,8,
B,2347,3,0,,0.627,0.22,0.088,0.027,1.08,NA,3/30/23,,,4,
B,2372,2,0,,0.325,0.099,0.03,0.007,0.88,NA,3/30/23,,,5,
B,2372,3,0,,0.876,0.258,0.058,0.016,1.26,NA,3/30/23,,,9,
B,2009,1,0,,0.502,0.195,0.049,0.019,1.28,0.865,3/30/23,,,5,
B,2370,1,0,,0.304,0.088,0.016,0.005,0.65,NA,3/30/23,,,7,
B,2346,1,0,,0.51,0.232,0.051,0.02,1.64,0.99,3/30/23,,,6,
B,2378,1,0,,1.182,0.526,0.167,0.07,3.38,1.2925,3/30/23,,,9,
B,2384,2,0,,0.587,0.277,0.035,0.015,0.98,1.025,3/30/23,,,6,
B,2381,3,0,,1.043,0.468,0.124,0.051,2.17,1.3025,3/30/23,,,8,
B,2343,3,0,,0.782,0.277,0.071,0.022,1.99,1.145,3/30/23,,,7,
B,2379,1,0,,1.024,0.515,0.094,0.045,1.47,1.2725,3/30/23,,,9,
B,2373,3,0,,0.37,0.108,0.064,0.019,1.3,NA,3/30/23,,,6,
B,2360,1,0,,0.412,0.18,0.026,0.008,0.83,NA,3/30/23,,,6,
L,2301,3,0,,0.234,0.139,0.042,0.022,1.02,NA,3/30/23,,,5,
B,2383,3,0,,0.751,0.269,0.075,0.032,1.44,1.16,3/30/23,,,6,
B,2020,3,0,,1.223,0.539,0.192,0.07,2.07,1.4475,3/30/23,,,9,
B,2371,2,0,,0.53,0.152,0.039,0.012,1.05,NA,3/30/23,,,6,
B,2007,2,0,,0.37,0.194,0.051,0.022,1.27,0.6,4/4/23,,,6,
B,2012,2,0,,0.342,0.126,0.036,0.013,1.3,0.6575,4/4/23,,,7,
B,1478,3,0,,0.596,0.223,0.112,0.036,2.98,1.18,4/4/23,,,7,
B,2031,1,0,,1.398,0.732,0.123,0.06,1.97,1.355,4/4/23,,,9,
B,2025,2,0,,0.79,0.396,0.059,0.026,1.49,1.0175,4/4/23,,,10,
B,2026,3,0,,0.42,0.216,0.069,0.032,1.81,0.7825,4/4/23,,,7,
L,2022,2,1,,0.829,0.499,0.091,0.045,2.2,1.39,4/4/23,,,5,
B,2015,3,0,,0.615,0.302,0.089,0.035,2.65,0.985,4/4/23,,,9,
B,2090,1,0,,0.699,0.319,0.089,0.032,2.08,0.95,4/4/23,,,6,
L,2030,2,3,,0.198,0.107,0.018,0.006,0.86,0.5725,4/4/23,changed from Y1 ->  Y3 cuz envelope,,2,
L,2022,1,0,,2.682,1.41,0.233,0.098,4.06,1.3825,4/4/23,,,8,
B,2088,2,0,,0.422,0.179,0.063,0.024,2.1,1.0075,4/4/23,,,7,
L,2093,1,0,,0.219,0.14,0.073,0.034,1.75,0.9025,4/4/23,,,8,
L,2023,3,0,,1.893,1.027,0.088,0.041,2.16,1.215,4/4/23,,,5,
B,2007,3,0,,1.023,0.54,0.199,0.091,5.73,1.3425,4/4/23,,,11,
B,2024,2,0,,1.599,0.783,0.134,0.061,1.47,1.65,4/4/23,**changed from branch 3 to 2 cuz envelope,,7,
B,2014,2,0,,0.698,0.301,0.113,0.037,2.92,1,4/4/23,,,7,
B,2012,3,0,,0.131,0.048,0.014,0.005,0.92,NA,4/4/23,,,5,
L,2089,1,1,,1.761,0.998,0.26,0.136,4.82,1.6475,4/4/23,,,10,
L,2023,2,1,,0.857,0.512,0.121,0.062,1.53,1.8875,4/4/23,,,3,
B,2027,2,0,,1.086,0.543,0.087,0.039,1.43,1.03,4/4/23,,,7,
L,2028,1,1,,3.514,1.894,0.178,0.08,3.8,1.58,4/4/23,,,10,
B,2026,1,0,,0.821,0.425,0.128,0.06,2.49,1.1875,4/4/23,,,11,
B,2028,2,0,,0.782,0.397,0.059,0.025,1.5,0.88,4/4/23,,,7,
B,2006,3,0,,0.443,0.216,0.026,0.009,0.66,NA,4/4/23,,,7,
L,2023,1,0,,2.298,1.221,0.325,0.152,6.26,1.5075,4/4/23,,,6,
