tree_id,date,year,branch_number,leaf_wet_mass_g,leaf_dry_mass_g,stem_wet_mass_g,stem_dry_mass_g,length_mm,diameter_mm,area_from_scan,leaf_number,notes,,,
2021,2023-04-14,0,1,1.2936,0.6068,0.1226,0.0474,20.39,1.42,40.998,8,,,,
2371,2023-04-14,0,3,0.2934,0.0991,0.0261,0.0089,11.11,0.4925,14.718,5,,,,
2375,2023-04-14,0,1,0.5722,0.1704,0.0919,0.028,16.38,1.1075,21.554,7,,,,
2009,2023-04-14,0,1,1.8341,0.5645,0.1116,0.0376,19.72,1.165,81.34,7,,,,
2347,2023-04-14,0,3,0.9644,0.299,0.0463,0.0149,12.34,0.7925,36.996,4,,,,
2010,2023-04-14,0,1,1.6625,0.7152,0.2091,0.0726,29.4,1.1275,57.652,9,,,,
2024,2023-04-14,0,2,2.3072,0.9145,0.2472,0.0943,38.94,1.5575,79.37,8,,,,
2381,2023-04-14,0,1,0.4578,0.2079,0.0376,0.0152,9.17,0.69,18.646,5,,,,
1478,2023-04-14,0,1,0.6278,0.1909,0.1138,0.0316,28.37,1.08,26.69,7,,,,
2331,2023-04-14,1,1,0.5447,0.3203,0.1386,0.068,32.71,1.42,16.214,6,,,,
2022,2023-04-14,1,3,2.4638,1.468,0.3695,0.1672,28.87,2.0625,59.907,6,,,,
2379,2023-04-14,0,2,0.5749,0.2826,0.0139,0.0065,5.61,0.885,20.725,6,,,,
2378,2023-04-14,0,2,0.9097,0.4139,0.0663,0.0279,10.48,0.875,31.59,5,,,,
2025,2023-04-14,0,2,0.3967,0.1967,0.0251,0.0114,11.46,0.7825,16.304,9,,,,
2369,2023-04-14,0,1,0.865,0.3132,0.0465,0.0161,16.24,0.715,39.044,6,,,,
2012,2023-04-14,0,2,0.3983,0.1216,0.1425,0.0366,46.23,1,18.017,11,,,,
2383,2023-04-14,0,1,1.1454,0.515,0.1021,0.0434,20.88,0.9975,42.505,8,,,,
2022,2023-04-14,2,3,1.2676,0.7595,0.47,0.235,50.09,2.3825,28.493,5,,,,
2372,2023-04-14,0,3,0.6951,0.2201,0.0514,0.0159,14.62,0.665,33.892,7,,,,
2027,2023-04-14,0,3,1.2743,0.5823,0.0839,0.0356,12.95,1.0625,52.295,8,,,,
2370,2023-04-14,0,1,0.2667,0.086,0.0263,0.0072,10.13,0.485,11.852,5,,,,
2005,2023-04-14,0,1,1.0911,0.4696,0.0515,0.0211,14.27,0.7325,38.601,7,,,,
2383,2023-04-14,0,2,0.5486,0.2535,0.0324,0.0147,10.58,0.795,24.551,6,,,,
2369,2023-04-14,0,3,0.7469,0.2841,0.0525,0.018,17.6,0.685,34.062,6,,,,
2087,2023-04-14,0,1,0.4124,0.1386,0.0839,0.0255,21.33,1.4275,18.251,8,,,,
2087,2023-04-14,0,3,0.3478,0.113,0.0834,0.0242,21.84,1.2775,16.352,8,,,,
2092,2023-04-14,0,2,1.2263,0.3725,0.1131,0.032,33.64,0.885,48.762,10,,,,
2005,2023-04-14,0,2,1.3504,0.5712,0.0888,0.0347,18.01,1.06,45.709,7,,,,
2023,2023-04-14,1,2,4.0609,2.4582,0.8263,0.4279,55.85,2.71,85.979,5,,,,
2377,2023-04-14,0,1,2.2301,1.0488,0.1512,0.059,38.34,1.705,67.106,7,,,,
2091,2023-04-14,0,3,0.4101,0.1264,0.1309,0.0325,44.69,1.425,17.661,9,,,,
2007,2023-04-14,0,1,0.6341,0.3162,0.0655,0.0315,20.25,0.6625,26.825,10,,,,
2088,2023-04-14,0,2,0.795,0.3217,0.0586,0.0213,15.14,0.92,32.842,10,,,,
2011,2023-04-14,0,1,0.5206,0.2419,0.069,0.0256,17.98,0.9125,20.869,6,,,,
2024,2023-04-14,0,1,2.0395,0.9139,0.1941,0.0783,27.34,1.755,64.893,7,,,,
2013,2023-04-14,0,3,2.0342,0.7481,0.3365,0.1184,50.22,1.4125,69.996,13,,,,
2004,2023-04-14,0,2,0.7245,0.2932,0.1281,0.0443,28.03,1.0875,28.822,13,,,,
2376,2023-04-14,0,1,0.9958,0.2756,0.0619,0.017,13.93,1.2275,30.818,6,,,,
2085,2023-04-14,0,3,0.2863,0.1064,0.0933,0.0283,23.95,1.245,11.47,6,,,,
2029,2023-04-14,1,2,0.733,0.449,0.0414,0.0241,14.52,1.2425,23.066,4,,,,
2011,2023-04-14,0,2,1.2815,0.5865,0.1951,0.0732,36.92,1.44,51.006,13,,,,
2086,2023-04-14,0,3,0.7683,0.2393,0.1787,0.0505,37.11,1.345,35.641,9,,,,
2026,2023-04-14,0,1,0.967,0.4366,0.1512,0.0583,18.79,1.52,31.971,8,,,,
2008,2023-04-14,0,3,1.0751,0.4888,0.0695,0.0286,21.06,0.83,44.36,7,,,,
2367,2023-04-14,0,2,2.9631,0.2817,2.4037,0.077,83.65,0.9375,33.169,8,,,,
2360,2023-04-14,0,1,1.4283,0.6465,0.113,0.0392,17.6,1.2875,60.399,6,,,,
2343,2023-04-14,0,1,1.3003,0.3878,0.1415,0.043,25.73,1.45,59.348,6,,,,
1478,2023-04-14,0,2,0.5225,0.1686,0.1233,0.0356,33.1,0.98,20.678,7,,,,
2013,2023-04-14,0,1,1.4875,0.5253,0.2226,0.0762,42.36,0.6075,54.299,12,,,,
1478,2023-04-14,0,3,0.6717,0.2188,0.13,0.0349,36.95,0.8475,28.623,7,,,,
2360,2023-04-14,0,2,1.289,0.6147,0.0988,0.0372,19.19,1.0625,56.379,7,,,,
2029,2023-04-14,1,1,0.7546,0.4648,0.1063,0.0517,17.95,1.405,22.415,5,,,,
2354,2023-04-14,1,1,0.4496,0.266,0.067,0.0359,24.83,1.1175,21.251,4,,,,
2331,2023-04-14,1,2,0.4361,0.2647,0.1433,0.0728,31.53,1.295,13.903,5,,,,
2085,2023-04-14,0,1,0.6888,0.2216,0.0881,0.0286,18.1,0.9625,29.761,8,,,,
2093,2023-04-14,0,1,0.4634,0.1467,0.1226,0.0292,39.21,0.9925,18.792,12,,,,
2027,2023-04-14,0,1,0.4886,0.2411,0.0305,0.0146,7.4,0.92,22.672,5,,,,
2088,2023-04-14,0,1,0.6048,0.2296,0.0399,0.0147,11.2,1.035,27.621,9,,,,
2006,2023-04-14,0,3,0.7096,0.3394,0.0379,0.0179,10.22,1.1075,29.564,8,,,,
2026,2023-04-14,0,2,1.4681,0.6975,0.186,0.0782,24.38,1.5875,56.578,11,,,,
2382,2023-04-14,0,3,1.3164,0.562,0.0852,0.032,14.04,1.0875,49.346,8,,,,
2021,2023-04-14,0,2,0.8324,0.3703,0.0628,0.0215,13.69,1.4375,25.403,7,,,,
2375,2023-04-14,0,2,0.6359,0.2089,0.1042,0.0342,16.96,1.31,24.712,7,,,,
2020,2023-04-14,0,1,0.66,0.2984,0.0387,0.0148,10.64,0.5575,22.058,6,,,,
2023,2023-04-14,0,2,2.5565,1.3045,0.2635,0.1194,57.92,1.5125,69.04,9,Year 0 stem very brown (not green),,,
2085,2023-04-14,0,2,0.4062,0.1302,0.0481,0.0155,14.26,0.745,17.304,6,,,,
2089,2023-04-14,0,1,0.499,0.1377,0.2341,0.0509,62.29,0.9975,21.527,9,,,,
2020,2023-04-14,0,3,0.5933,0.2937,0.0543,0.0233,13.67,0.8975,20.953,6,,,,
2030,2023-04-14,0,2,1.9841,1.0439,0.1217,0.0523,29.06,1.355,57.805,7,,,,
2004,2023-04-14,0,3,0.4844,0.1942,0.1906,0.0603,37.94,1.2575,19.171,12,,,,
2377,2023-04-14,0,3,1.6225,0.7933,0.1406,0.0537,40.79,1.3075,46.281,6,,,,
2026,2023-04-14,0,3,1.3941,0.6435,0.2114,0.0812,27.65,1.5725,53.964,10,,,,
2352,2023-04-14,0,3,0.7923,0.3372,0.0488,0.0199,28.02,0.91,38.086,5,,,,
2352,2023-04-14,1,3,0.5978,0.3741,0.0818,0.0454,34.86,1.0675,29.216,6,,,,
2352,2023-04-14,2,3,0.2724,0.1784,0.5993,0.3747,134.17,1.94,13.906,3,,,,
2025,2023-04-14,0,1,1.4008,0.6798,0.1135,0.0491,22.91,1.45,45.183,13,,,,
2345,2023-04-14,0,3,1.3733,0.5683,0.0501,0.0197,25.4,1.2675,43.125,8,,,,
2091,2023-04-14,0,2,0.585,0.2029,0.1954,0.0565,54.58,1.695,21.378,10,,,,
2016,2023-04-14,0,3,1.4766,0.5728,0.19,0.0649,42.5,1.0025,48.581,10,,,,
2006,2023-04-14,0,1,0.9239,0.4298,0.0732,0.0294,14.3,1.3375,32.62,9,,,,
2010,2023-04-14,0,3,0.2213,0.1066,0.0101,0.0048,4.57,0.7125,10.338,4,,,,
2090,2023-04-14,0,1,0.4683,0.1846,0.0307,0.0113,10.95,0.765,24.213,6,,,,
2352,2023-04-14,1,2,0.7492,0.4565,0.0833,0.0452,28.8,1.125,27.995,8,,,,
2380,2023-04-14,0,1,1.1029,0.5411,0.0965,0.0345,20.7,1.1175,32.615,9,,,,
2005,2023-04-14,0,3,1.2789,0.5218,0.1372,0.0503,26.38,0.8925,46.373,8,,,,
2030,2023-04-14,0,3,3.0431,1.6162,0.2523,0.112,46.34,1.655,82.902,8,,,,
2030,2023-04-14,1,3,0.6766,0.4177,0.2744,0.1399,27.21,2.0275,20.745,2,,,,
2090,2023-04-14,0,3,0.6391,0.2603,0.0686,0.0237,21.5,0.8625,32.731,8,,,,
2093,2023-04-14,0,2,0.4436,0.1657,0.2599,0.0656,75.07,1.3575,18.215,16,leaves already started to rot,,,
2093,2023-04-14,0,3,0.4577,0.1625,0.1745,0.0458,60.62,1.0875,19.647,12,leaves already started to rot,,,
2089,2023-04-14,0,2,0.3524,0.1073,0.1862,0.0408,65.09,0.985,15.488,8,,,,
2089,2023-04-14,0,3,0.1832,0.0556,0.0655,0.0156,34.21,0.835,8.817,8,,,,
2088,2023-04-14,0,3,0.7637,0.3043,0.0599,0.0214,15.83,1.0075,33.32,11,,,,
2378,2023-04-14,0,3,0.5182,0.2561,0.059,0.0277,15.57,1.155,20.841,5,,,,
2027,2023-04-14,0,2,0.8041,0.3815,0.0485,0.0218,10.24,1.18,32.926,5,,,,
2021,2023-04-14,0,3,0.9569,0.4551,0.1023,0.0405,21.02,1.4525,32.83,9,,,,
2354,2023-04-14,0,1,1.0188,0.3186,0.0964,0.0306,37.74,0.88,46.982,7,,,,
2376,2023-04-14,0,3,0.561,0.1595,0.0371,0.011,10.61,1.0575,19.371,8,,,,
2376,2023-04-14,1,3,1.3684,0.8664,0.6862,0.3749,120.85,2.39,42.605,6,,,,
2086,2023-04-14,0,1,0.644,0.1936,0.2565,0.0672,53.43,9.552,28.052,10,,,,
2022,2023-04-14,0,1,2.9205,1.4388,0.3182,0.126,54.86,1.395,79.811,9,,,,
2345,2023-04-14,0,2,1.6633,0.654,0.0634,0.0237,27.06,1.3125,55.461,10,,,,
2092,2023-04-14,0,1,1.4304,0.4184,0.2066,0.0574,60.88,1.025,57.668,11,,,,
2354,2023-04-14,0,3,NA,0.2751,0.0555,0.0194,20.12,0.96,33.317,6,,,,
2030,2023-04-14,1,2,0.835,0.5256,0.1277,0.069,23.46,1.6225,23.291,5,,,,
2346,2023-04-14,0,1,1.1634,0.4718,0.0674,0.0253,13.27,0.865,45.778,7,,,,
2020,2023-04-14,0,2,0.954,0.4204,0.0812,0.0295,20.31,1.04,30.494,10,,,,
2008,2023-04-14,0,1,0.3347,0.1448,0.0355,0.0136,17.91,0.7275,17.072,7,,,,
2375,2023-04-14,0,3,0.4637,0.1509,0.0731,0.023,14.81,1.075,18.264,6,,,,
2007,2023-04-14,0,3,0.7459,0.3611,0.0691,0.0308,19.72,0.9425,26.98,9,,,,
2006,2023-04-14,0,2,1.0887,0.5068,0.0703,0.0288,14.11,1.305,39.783,10,,,,
2352,2023-04-14,0,2,0.6613,0.2717,0.0457,0.0189,25.98,0.7725,23.798,4,,,,
2376,2023-04-14,1,1,2.3017,1.4141,0.7171,0.3814,71,3.15,73.381,8,,,,
2376,2023-04-14,0,2,0.5709,0.1628,0.0797,0.021,21.88,1.1775,22.171,7,,,,
2376,2023-04-14,1,2,1.3715,0.8538,0.4103,0.2077,46.34,2.7075,42.634,4,,,,
2382,2023-04-14,0,3,0.5496,0.2615,0.0294,0.0134,9.53,0.9875,23.244,5,,,,
2087,2023-04-14,0,2,0.3144,0.1061,0.0782,0.0229,18.63,1.2225,14.525,8,,,,
2029,2023-04-14,1,3,1.9415,1.2011,0.1955,0.0972,28.52,1.76,59.644,9,,,,
2354,2023-04-14,1,3,1.1149,0.7057,0.2172,0.1208,58,1.8375,55.45,8,,,,
2016,2023-04-14,0,2,0.851,0.315,0.0797,0.0271,24.13,0.865,33.855,10,,,,
2029,2023-04-14,0,3,6.4917,3.0528,0.1884,0.0794,20.56,1.745,168.949,8,,,,
2024,2023-04-14,0,3,2.0352,0.8428,0.1703,0.0696,28.59,1.5825,66.571,7,,,,
2354,2023-04-14,1,2,0.9476,0.5958,0.2588,0.1415,68.67,1.7675,45.22,6,,,,
2346,2023-04-14,0,2,1.0839,0.4161,0.0838,0.0288,17.24,0.935,42.989,7,,,,
2028,2023-04-14,0,3,0.9731,0.4472,0.1268,0.0477,25.92,1.0975,34.903,7,,,,
2345,2023-04-14,0,1,1.1608,0.4385,0.0301,0.0122,16.73,0.8075,39.188,7,,,,
2031,2023-04-14,0,3,0.644,0.3038,0.0436,0.0194,12.32,0.78,32.421,7,,,,
2004,2023-04-14,0,1,1.3355,0.5948,0.29,0.1054,46.55,1.4425,47.9,18,,,,
2331,2023-04-14,0,2,1.3376,0.6034,0.0827,0.0341,30.76,1.1,37.155,8,,,,
2354,2023-04-14,0,2,0.2848,0.0941,0.0585,0.016,28.86,0.74,14.581,5,,,,
2023,2023-04-14,0,1,4.5806,2.3764,0.4861,0.2108,58.94,1.86,110.172,7,,,,
2022,2023-04-14,1,2,2.0651,1.2351,0.3601,0.1634,18.99,2.595,48.579,5,,,,
2030,2023-04-14,0,1,0.7219,0.3608,0.0604,0.0264,20.5,1.0325,23.064,6,,,,
2029,2023-04-14,0,2,0.9944,0.4822,0.0232,0.0118,7.58,0.8325,30.844,4,,,,
2022,2023-04-14,0,2,2.9017,1.5041,0.4891,0.1995,53.22,1.685,73.556,8,,,,
2030,2023-04-14,1,1,0.6821,0.4229,0.0812,0.0432,16.33,1.5025,20.231,4,,,,
2022,2023-04-14,2,2,1.8458,1.1528,0.8644,0.4443,69.71,2.665,40.917,7,,,,
2090,2023-05-12,0,1,0.8477,0.4507,0.1664,0.0799,40.38,1.415,30.805,9,,,,***Note: 2326 is dead (2023-05-12) 
2345,2023-05-12,0,3,1.6091,0.798,0.3472,0.1225,56.72,2.0175,47.854,8,Sample left in cooler overnight,,,
2089,2023-05-12,0,2,1.742,0.8461,0.1015,0.0465,43.53,1.325,74.155,7,,,,
2381,2023-05-12,0,2,1.4707,0.729,0.1064,0.0465,13.69,1.32,54.296,7,,,,
2089,2023-05-12,1,2,0.9962,0.6137,0.163,0.094,40.89,1.465,32.588,4,,,,
2345,2023-05-12,1,3,0.5987,0.361,0.4312,0.1963,39.82,2.22,17.674,6,Sample left in cooler overnight,,,
2303,2023-05-12,0,2,2.0983,0.9544,0.5539,0.2164,102.05,1.745,95.242,7,Sample left in cooler overnight,,,
2314,2023-05-12,0,2,0.5336,0.2787,0.0312,0.0146,8.57,0.97,19.534,6,,,,
2346,2023-05-12,0,3,1.5185,0.7986,0.1013,0.0502,17.41,1.4,59.765,6,Sample left in cooler overnight,,,
2359,2023-05-12,0,1,0.3304,0.2247,0.0174,0.0121,5.69,0.9475,20.123,6,Sample left in cooler overnight,,,
2336,2023-05-12,0,2,0.3932,0.2159,0.0372,0.0199,13.62,0.995,17.441,5,Sample left in cooler overnight,,,
2383,2023-05-12,0,3,0.9862,0.5089,0.1741,0.0763,28.44,1.425,32.036,7,Sample left in cooler overnight,,,
2315,2023-05-12,0,3,1.0681,0.5927,0.061,0.03,14.07,1.1175,30.127,7,,,,
2320,2023-05-12,1,1,0.956,0.6111,0.6067,0.3387,63.36,2.3575,32.252,3,,,,
2006,2023-05-12,0,2,1.3818,0.6677,0.1723,0.0694,21.48,1.64,48.135,10,Sample left in cooler overnight,,,
2315,2023-05-12,0,2,0.8454,0.467,0.0365,0.0192,9.65,1.1225,25.256,5,,,,
2024,2023-05-12,0,1,0.8879,0.4154,0.115,0.0502,18.08,1.3275,30.563,6,Sample left in cooler overnight,,,
2374,2023-05-12,0,3,1.7801,0.8927,0.1811,0.0833,23.93,1.6925,58.224,8,,,,
2335,2023-05-12,0,1,0.1899,0.0964,0.013,0.0062,5.64,0.93,8.335,2,,,,
2348,2023-05-12,0,3,0.7778,0.3737,0.12,0.0496,32.4,0.9675,35.235,6,,,,
2353,2023-05-12,1,2,1.1774,0.7717,0.148,0.0909,52.67,1.38,52.011,8,,,,
2315,2023-05-12,1,3,0.6812,0.4531,0.2184,0.1318,70.41,1.4175,24.539,8,,,,
2004,2023-05-12,0,2,1.4722,0.7155,0.2445,0.0958,38.56,1.64,56.409,16,Two leaves from one axillary bud?,,,
2337,2023-05-12,0,1,0.7586,0.3533,0.0998,0.0407,21.69,1.1275,32.46,7,,,,
2316,2023-05-12,0,3,0.3272,0.1622,0.0285,0.0127,9.46,0.7,13.73,5,,,,
2370,2023-05-12,0,1,0.7659,0.3696,0.0498,0.0215,11.41,1.0025,27.037,6,,,,
2325,2023-05-12,0,3,0.5223,0.264,0.038,0.0174,14.83,0.8475,22.533,5,,,,
2321,2023-05-12,0,3,0.624,0.3203,0.0403,0.0202,13.9,1.0925,33.613,5,,,,
2005,2023-05-12,0,3,1.4437,0.7174,0.253,0.1102,26.99,1.395,42.498,7,,,,
2353,2023-05-12,0,2,0.5318,0.3214,0.0324,0.0186,20.83,0.9875,22.676,5,,,,
2348,2023-05-12,0,1,0.9236,0.4397,0.1415,0.0588,31.9,1.3675,36.33,7,,,,
2377,2023-05-12,0,2,1.0155,0.5249,0.1026,0.0498,45.4,1.22,38.351,7,No year 1 leaves,,,
2325,2023-05-12,0,2,1.148,0.5916,0.0916,0.0422,25.94,1.18,46.774,8,,,,
2349,2023-05-12,0,2,1.7665,0.7519,0.1786,0.0654,36.3,1.465,79.151,7,,,,
2010,2023-05-12,0,1,1.1301,0.5716,0.1952,0.0831,30.69,1.49,47.401,6,Started to double flush maybe a litle,,,
2322,2023-05-12,1,2,0.0108,0.0078,0.0153,0.097,4.4,1.1375,0.416,1,,,,
2322,2023-05-12,0,2,1.2807,0.739,0.0566,0.0292,19.53,1.0975,35.322,9,,,,
2016,2023-05-12,0,3,0.2311,0.1214,0.0605,0.0236,22.89,0.835,7.889,4,Double flush! extra budding leaves cut off (not scanned),,,
2093,2023-05-12,1,3,0.8233,0.5518,0.3329,0.1776,36.5,2.1025,22.352,5,,,,
2358,2023-05-12,0,3,1.4323,0.7283,0.5209,0.2406,84.12,1.8725,54.255,7,some leaves budding (cut off),,,
2384,2023-05-12,0,3,0.8402,0.4257,0.0669,0.0327,17.46,1.135,32.791,6,,,,
2323,2023-05-12,0,3,1.2097,0.7043,0.0992,0.0542,33.59,1.26,35.881,7,,,,
2027,2023-05-12,0,3,1.5459,0.7101,0.0792,0.0345,8.56,1.27,59.03,6,,,,
2329,2023-05-12,0,1,0.9855,0.5249,0.0736,0.0375,14.47,1.06,36.726,7,,,,
2013,2023-05-12,0,3,0.7533,0.3359,0.1513,0.0622,28.56,1.15,28.328,16,,,,
2375,2023-05-12,0,2,0.2514,0.107,0.0123,0.0055,3.85,1.215,8.175,2,,,,
2327,2023-05-12,0,3,1.8729,0.9298,1.2878,0.5768,162.5,2.6575,66.807,18,,,,
2351,2023-05-12,0,2,0.6263,0.3339,0.0297,0.0166,7.95,0.86,20.817,5,,,,
2382,2023-05-12,0,2,1.0717,0.5649,0.1024,0.051,20.23,1.31,38.822,7,,,,
2384,2023-05-12,0,2,0.7389,0.3701,0.0433,0.0209,11.23,1.025,29.557,5,,,,
2026,2023-05-12,0,3,1.4176,0.7231,0.183,0.0825,17.17,1.51,50.424,9,,,,
2369,2023-05-12,0,1,0.8376,0.4119,0.0547,0.0263,15.19,1.07,31.17,5,,,,
2328,2023-05-12,1,1,0.4668,0.3277,0.2177,0.1255,35.22,1.64,16.515,5,,,,
2374,2023-05-12,0,1,0.1904,0.1022,0.0118,0.0066,4.81,0.6275,8.011,5,,,,
2379,2023-05-12,0,2,0.5101,0.2797,0.0212,0.0118,4.48,0.9975,17.676,4,,,,
2307,2023-05-12,0,3,0.8129,0.3553,0.0422,0.0173,12.82,0.8525,39.237,7,,,,
2344,2023-05-12,0,3,1.3194,0.6192,0.1164,0.0479,18.25,1.17,48.097,5,,,,
2022,2023-05-12,1,3,0.1516,0.0962,0.1544,0.0737,13.6,1.7525,3.935,1,,,,
2345,2023-05-12,1,1,0.1259,0.0633,0.1686,0.1032,21.45,2.255,4.226,1,,,,
2345,2023-05-12,0,1,2.875,1.053,0.1023,0.0428,26.16,1.3225,66.02,10,,,,
2022,2023-05-12,2,3,0.2736,0.175,0.2804,0.1476,32.18,1.785,7.114,1,,,,
2305,2023-05-12,0,3,2.0813,0.9859,0.5017,0.208,78.83,1.8725,83.305,10,,,,
2355,2023-05-12,0,3,1.0086,0.5114,0.1764,0.084,41.24,1.44,39.945,9,,,,
2022,2023-05-12,0,3,5.3657,2.8435,0.5976,0.2401,39.85,1.93,139.137,10,,,,
2305,2023-05-12,0,1,0.8163,0.3631,0.1584,0.0654,46,1.325,38.584,10,,,,
