0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
100,d_19030301,0,0,0,0,0,0,0,0,0,0,0
100,d_19030401,0,0,0,0,0,0,0,0,0,0,0
100,d_19030501,0,0,0,0,0,0,0,0,0,0,0
100,d_19030601,0,0,0,0,0,0,0,0,0,0,0
100,d_19030701,0,0,0,0,0,0,0,0,0,0,0
100,d_19030801,0,0,0,0,0,0,0,0,0,0,0
100,d_19030901,0,0,0,0,0,0,0,0,0,0,0
100,d_19031001,0,0,0,0,0,0,0,0,0,0,0
48,d_19031101,0,0,0,0,0,0,52,0,0,0,0
0,d_19031201,100,100,56.6,17.5,0,0,0,0,0,0,0
0,d_19040101,100,100,100,100,100,0,0,0,0,0,0
0,d_19040201,100.1,100.1,97.7,15,0,0,0,0,0,0,0
0,d_19040301,100,99.1,0,0,0,0,0,0,0,0,0
0,d_19040401,100,4.9,0,0,0,0,0,0,0,0,0
0,d_19040501,100,83.4,0,0,0,0,0,0,0,0,0
0,d_19040601,100,64.2,0,0,0,0,0,0,0,0,0
0,d_19040701,100,0,0,0,0,0,0,0,0,0,0
100,d_19040801,0,0,0,0,0,0,0,0,0,0,0
100,d_19040901,0,0,0,0,0,0,0,0,0,0,0
0,d_19041001,0,0,0,0,0,0,100,4.1,0,0,0
98.2,d_19041101,0,0,0,0,0,0,1.8,0,0,0,0
100,d_19041201,0,0,0,0,0,0,0,0,0,0,0
99.5,d_19050101,0.5,0,0,0,0,0,0,0,0,0,0
86.6,d_19050201,0,0,0,0,0,0,13.4,0,0,0,0
0,d_19050301,0,0,0,0,0,0,100,50.2,0,0,0
2.3,d_19050401,0,0,0,0,0,0,97.7,8.6,0,0,0
0,d_19050501,0,0,0,0,0,0,100,58,0,0,0
0.6,d_19050601,0,0,0,0,0,0,99.4,18.3,0,0,0
0.2,d_19050701,0,0,0,0,0,0,99.8,42.5,0,0,0
0,d_19050801,0,0,0,0,0,0,100,95.9,0,0,0
0,d_19050901,0,0,0,0,0,0,100,100,0,0,0
0,d_19051001,0,0,0,0,0,0,100,100,8.1,0,0
0,d_19051101,0,0,0,0,0,0,100,100,0,0,0
5.8,d_19051201,94.2,44.5,0,0,0,0,0,0,0,0,0
100,d_19060101,0,0,0,0,0,0,0,0,0,0,0
47,d_19060201,53,0,0,0,0,0,0,0,0,0,0
33,d_19060301,0,0,0,0,0,0,67,0,0,0,0
79.6,d_19060401,0,0,0,0,0,0,20.4,0,0,0,0
8.6,d_19060501,0,0,0,0,0,0,91.4,0,0,0,0
8.6,d_19060601,0,0,0,0,0,0,91.4,0,0,0,0
0.4,d_19060701,0,0,0,0,0,0,99.6,2.1,0,0,0
0,d_19060801,0,0,0,0,0,0,99.9,1.7,0,0,0
0,d_19060901,0,0,0,0,0,0,100,100,0,0,0
0,d_19061001,0,0,0,0,0,0,100,100,0,0,0
0,d_19061101,0,0,0,0,0,0,100,100,68.9,0,0
0,d_19061201,0,0,0,0,0,0,100,42,0,0,0
0,d_19070101,0,0,0,0,0,0,100,100,100,90.3,2.8
0,d_19070201,0,0,0,0,0,0,100,94.9,27.6,0,0
0,d_19070301,0,0,0,0,0,0,100,100,70.7,12.7,0
0,d_19070401,0,0,0,0,0,0,100,96.6,48.6,0,0
0,d_19070501,0,0,0,0,0,0,100,95.1,41.4,0,0
0,d_19070601,0,0,0,0,0,0,100,95.9,45.2,0,0
0,d_19070701,0,0,0,0,0,0,100.1,99.2,58.4,7.1,0
0,d_19070801,0,0,0,0,0,0,99.9,99.9,69,13.2,0
0,d_19070901,0,0,0,0,0,0,99.9,88.4,0.8,0,0
31.1,d_19071001,0,0,0,0,0,0,68.9,0,0,0,0
0.2,d_19071101,0,0,0,0,0,0,99.8,70,0,0,0
100,d_19071201,0,0,0,0,0,0,0,0,0,0,0
59.1,d_19080101,0,0,0,0,0,0,40.9,0,0,0,0
0,d_19080201,0,0,0,0,0,0,100,33.5,0,0,0
100,d_19080301,0,0,0,0,0,0,0,0,0,0,0
100,d_19080401,0,0,0,0,0,0,0,0,0,0,0
100,d_19080501,0,0,0,0,0,0,0,0,0,0,0
100,d_19080601,0,0,0,0,0,0,0,0,0,0,0
100,d_19080701,0,0,0,0,0,0,0,0,0,0,0
100,d_19080801,0,0,0,0,0,0,0,0,0,0,0
100,d_19080901,0,0,0,0,0,0,0,0,0,0,0
100,d_19081001,0,0,0,0,0,0,0,0,0,0,0
0,d_19081101,100,90.2,3.7,0,0,0,0,0,0,0,0
70.2,d_19081201,29.8,2.4,0,0,0,0,0,0,0,0,0
0,d_19090101,0,0,0,0,0,0,100,100,78.5,1.4,0
0,d_19090201,0,0,0,0,0,0,100,100,100,74.5,0
0,d_19090301,0,0,0,0,0,0,100,100,100,93.8,0.2
0,d_19090401,0,0,0,0,0,0,100,100,100,55.4,0
0,d_19090501,0,0,0,0,0,0,99.9,99.9,99,49.9,0
0,d_19090601,0,0,0,0,0,0,100.1,100.1,89.1,39.3,0
0,d_19090701,0,0,0,0,0,0,100,100,96.8,53.7,0
0,d_19090801,0,0,0,0,0,0,100,100,97,48.7,0
0,d_19090901,0,0,0,0,0,0,100,100,100,66,0
0,d_19091001,0,0,0,0,0,0,100,82,0,0,0
74.4,d_19091101,0,0,0,0,0,0,25.6,0,0,0,0
0,d_19091201,0,0,0,0,0,0,100,100,8.4,0,0
0,d_19100101,0,0,0,0,0,0,100,100,0,0,0
100,d_19100201,0,0,0,0,0,0,0,0,0,0,0
100,d_19100301,0,0,0,0,0,0,0,0,0,0,0
100,d_19100401,0,0,0,0,0,0,0,0,0,0,0
100,d_19100501,0,0,0,0,0,0,0,0,0,0,0
100,d_19100601,0,0,0,0,0,0,0,0,0,0,0
100,d_19100701,0,0,0,0,0,0,0,0,0,0,0
100,d_19100801,0,0,0,0,0,0,0,0,0,0,0
22.5,d_19100901,77.5,0,0,0,0,0,0,0,0,0,0
0.6,d_19101001,99.4,0,0,0,0,0,0,0,0,0,0
100,d_19101101,0,0,0,0,0,0,0,0,0,0,0
0,d_19101201,100,99.2,77.5,34.8,0,0,0,0,0,0,0
0,d_19110101,0,0,0,0,0,0,100,100,0,0,0
0,d_19110201,0,0,0,0,0,0,100,99.8,0,0,0
0,d_19110301,0,0,0,0,0,0,100,100,98.5,65.9,0
0,d_19110401,0,0,0,0,0,0,100,100,93.8,56.3,0
0,d_19110501,0,0,0,0,0,0,100.1,100.1,91.4,55.3,0
0,d_19110601,0,0,0,0,0,0,100,100,82.3,45.3,0
0,d_19110701,0,0,0,0,0,0,100.1,100.1,89.5,55.2,0
0,d_19110801,0,0,0,0,0,0,100,100,97.9,61.6,0
0,d_19110901,0,0,0,0,0,0,100,100,100,86.1,24.7
0,d_19111001,0,0,0,0,0,0,100,93.8,33.8,0,0
0,d_19111101,0,0,0,0,0,0,99.9,82.3,40.5,15.9,0
0,d_19111201,100,100,0,0,0,0,0,0,0,0,0
0,d_19120101,100,100,100,7.3,0,0,0,0,0,0,0
0,d_19120201,100,100,100,100,100,0,0,0,0,0,0
59.1,d_19120301,40.9,0,0,0,0,0,0,0,0,0,0
88.1,d_19120401,11.9,0,0,0,0,0,0,0,0,0,0
100,d_19120501,0,0,0,0,0,0,0,0,0,0,0
100,d_19120601,0,0,0,0,0,0,0,0,0,0,0
100,d_19120701,0,0,0,0,0,0,0,0,0,0,0
100,d_19120801,0,0,0,0,0,0,0,0,0,0,0
100,d_19120901,0,0,0,0,0,0,0,0,0,0,0
0.9,d_19121001,0,0,0,0,0,0,99.2,2.2,0,0,0
0,d_19121101,0,0,0,0,0,0,100,100,88.9,0,0
4.8,d_19121201,95.2,45.1,0,0,0,0,0,0,0,0,0
0,d_19130101,100,45.1,0,0,0,0,0,0,0,0,0
56.2,d_19130201,43.7,22.9,0,0,0,0,0,0,0,0,0
32.6,d_19130301,67.4,47,12.1,0,0,0,0,0,0,0,0
28.7,d_19130401,71.2,51.1,17.7,0,0,0,0,0,0,0,0
25,d_19130501,75.1,55,23.3,0.1,0,0,0,0,0,0,0
31.1,d_19130601,68.9,50.2,16.7,0,0,0,0,0,0,0,0
36.7,d_19130701,63.3,44.5,2.5,0,0,0,0,0,0,0,0
51.9,d_19130801,48.1,25.2,0,0,0,0,0,0,0,0,0
96.2,d_19130901,0,0,0,0,0,0,3.8,0,0,0,0
72.6,d_19131001,19.3,3.2,0,0,0,0,8.1,0,0,0,0
45,d_19131101,55,0,0,0,0,0,0,0,0,0,0
100,d_19131201,0,0,0,0,0,0,0,0,0,0,0
0,d_19140101,0,0,0,0,0,0,100,100,100,100,23.1
0,d_19140201,0,0,0,0,0,0,100,100,100,100,98.3
0,d_19140301,0,0,0,0,0,0,100,100,100,86.8,0
0,d_19140401,0,0,0,0,0,0,100,100,99.9,5.1,0
0,d_19140501,0,0,0,0,0,0,100,100,99.2,4.7,0
0,d_19140601,0,0,0,0,0,0,100.1,100.1,100,6,0
0,d_19140701,0,0,0,0,0,0,100,100,100,64.1,0
0,d_19140801,0,0,0,0,0,0,100,100,97.9,0,0
0,d_19140901,0,0,0,0,0,0,100,100,88.7,0,0
97.2,d_19141001,0,0,0,0,0,0,2.8,0,0,0,0
0,d_19141101,100,100,84.8,5.7,0,0,0,0,0,0,0
100,d_19141201,0,0,0,0,0,0,0,0,0,0,0
0.8,d_19150101,0,0,0,0,0,0,99.2,42.8,0,0,0
0,d_19150201,0,0,0,0,0,0,100,100,70.7,25.5,0
0,d_19150301,0,0,0,0,0,0,100,89.1,1.1,0,0
0,d_19150401,0,0,0,0,0,0,100,89.3,9.3,0,0
0,d_19150501,0,0,0,0,0,0,99.9,97.9,50.6,0,0
0,d_19150601,0,0,0,0,0,0,99.9,98.7,50.6,0,0
0,d_19150701,0,0,0,0,0,0,100.1,99.7,48.3,0.4,0
0,d_19150801,0,0,0,0,0,0,100,100,70.3,11.4,0
0,d_19150901,0,0,0,0,0,0,100,100,18.4,0,0
0,d_19151001,0,0,0,0,0,0,100.1,86.9,0.8,0,0
85.7,d_19151101,14.3,0,0,0,0,0,0,0,0,0,0
36.2,d_19151201,0,0,0,0,0,0,63.8,0.3,0,0,0
0,d_19160101,0,0,0,0,0,0,100,100,82.7,2.4,0
8.7,d_19160201,0,0,0,0,0,0,91.2,39.2,0,0,0
42.4,d_19160301,0,0,0,0,0,0,57.6,0,0,0,0
82.6,d_19160401,0,0,0,0,0,0,17.4,0,0,0,0
91.9,d_19160501,0,0,0,0,0,0,8.1,0,0,0,0
90.8,d_19160601,0,0,0,0,0,0,9.2,0,0,0,0
58.9,d_19160701,0,0,0,0,0,0,41.1,0,0,0,0
10.4,d_19160801,0,0,0,0,0,0,89.6,2.5,0,0,0
9.2,d_19160901,0,0,0,0,0,0,90.8,3.4,0,0,0
100,d_19161001,0,0,0,0,0,0,0,0,0,0,0
100,d_19161101,0,0,0,0,0,0,0,0,0,0,0
0,d_19161201,0,0,0,0,0,0,100,92.1,41,3.1,0
0,d_19170101,0,0,0,0,0,0,100,95,31.4,0,0
19.7,d_19170201,0,0,0,0,0,0,80.3,41.9,1.2,0,0
71.9,d_19170301,0,0,0,0,0,0,28,3.2,0,0,0
84.2,d_19170401,0,0,0,0,0,0,15.8,0,0,0,0
86.8,d_19170501,0,0,0,0,0,0,13.2,0,0,0,0
94.6,d_19170601,0,0,0,0,0,0,5.4,0,0,0,0
100,d_19170701,0,0,0,0,0,0,0,0,0,0,0
100,d_19170801,0,0,0,0,0,0,0,0,0,0,0
7,d_19170901,93,0,0,0,0,0,0,0,0,0,0
0,d_19171001,100,99.4,70.2,0,0,0,0,0,0,0,0
0,d_19171101,100,100,98.9,75.2,5,0,0,0,0,0,0
0,d_19171201,100,100,97.5,77.2,20.9,0,0,0,0,0,0
0,d_19180101,100.1,100.1,99.5,88.6,43.7,0,0,0,0,0,0
98.7,d_19180201,0,0,0,0,0,0,1.3,0,0,0,0
0,d_19180301,0,0,0,0,0,0,100,66.6,0,0,0
1.8,d_19180401,0,0,0,0,0,0,98.2,14,0,0,0
12.2,d_19180501,0,0,0,0,0,0,87.8,5.9,0,0,0
5.5,d_19180601,0,0,0,0,0,0,94.5,7.9,0,0,0
0,d_19180701,0,0,0,0,0,0,100,33.4,0,0,0
0,d_19180801,0,0,0,0,0,0,100,52.2,0,0,0
0,d_19180901,0,0,0,0,0,0,100,100,16.9,0,0
0,d_19181001,0,0,0,0,0,0,100,100,100,83,0
0,d_19181101,0,0,0,0,0,0,100,100,52,6.7,0
99.9,d_19181201,0,0,0,0,0,0,0.1,0,0,0,0
100,d_19190101,0,0,0,0,0,0,0,0,0,0,0
100,d_19190201,0,0,0,0,0,0,0,0,0,0,0
99.7,d_19190301,0,0,0,0,0,0,0.3,0,0,0,0
100,d_19190401,0,0,0,0,0,0,0,0,0,0,0
99.3,d_19190501,0,0,0,0,0,0,0.7,0,0,0,0
100,d_19190601,0,0,0,0,0,0,0,0,0,0,0
100,d_19190701,0,0,0,0,0,0,0,0,0,0,0
73.1,d_19190801,26.9,0,0,0,0,0,0,0,0,0,0
98.4,d_19190901,1.6,0,0,0,0,0,0,0,0,0,0
97.5,d_19191001,0,0,0,0,0,0,2.5,0,0,0,0
77.2,d_19191101,22.8,0,0,0,0,0,0,0,0,0,0
98.7,d_19191201,1.3,0,0,0,0,0,0,0,0,0,0
1.5,d_19200101,98.5,18.7,0,0,0,0,0,0,0,0,0
0,d_19200201,100,93.4,0,0,0,0,0,0,0,0,0
95.7,d_19200301,4.3,0,0,0,0,0,0,0,0,0,0
33.5,d_19200401,66.5,0,0,0,0,0,0,0,0,0,0
13.1,d_19200501,86.9,0,0,0,0,0,0,0,0,0,0
5.6,d_19200601,94.4,0,0,0,0,0,0,0,0,0,0
14,d_19200701,86,0,0,0,0,0,0,0,0,0,0
100,d_19200801,0,0,0,0,0,0,0,0,0,0,0
100,d_19200901,0,0,0,0,0,0,0,0,0,0,0
100,d_19201001,0,0,0,0,0,0,0,0,0,0,0
100,d_19201101,0,0,0,0,0,0,0,0,0,0,0
0,d_19201201,100,65.4,0,0,0,0,0,0,0,0,0
100,d_19210101,0,0,0,0,0,0,0,0,0,0,0
78.5,d_19210201,21.5,0,0,0,0,0,0,0,0,0,0
0,d_19210301,100,5.6,0,0,0,0,0,0,0,0,0
0,d_19210401,100,18.3,0,0,0,0,0,0,0,0,0
8.9,d_19210501,91.1,0,0,0,0,0,0,0,0,0,0
42.6,d_19210601,57.4,0,0,0,0,0,0,0,0,0,0
41.9,d_19210701,58.1,0,0,0,0,0,0,0,0,0,0
93.7,d_19210801,6.3,0,0,0,0,0,0,0,0,0,0
100,d_19210901,0,0,0,0,0,0,0,0,0,0,0
82,d_19211001,18,0,0,0,0,0,0,0,0,0,0
32.3,d_19211101,67.7,3.6,0,0,0,0,0,0,0,0,0
0,d_19211201,0,0,0,0,0,0,100,100,0,0,0
0,d_19220101,0,0,0,0,0,0,100,100,11.2,0,0
0,d_19220201,0,0,0,0,0,0,100,68.2,0,0,0
0,d_19220301,0,0,0,0,0,0,100,42.5,0,0,0
14.4,d_19220401,0,0,0,0,0,0,85.6,10.5,0,0,0
7.6,d_19220501,0,0,0,0,0,0,92.4,24,0,0,0
12.1,d_19220601,0,0,0,0,0,0,87.8,17.1,0,0,0
6.8,d_19220701,0,0,0,0,0,0,93.2,25.5,0,0,0
0,d_19220801,0,0,0,0,0,0,100,60.4,0,0,0
79.9,d_19220901,0,0,0,0,0,0,20.1,0,0,0,0
100,d_19221001,0,0,0,0,0,0,0,0,0,0,0
100,d_19221101,0,0,0,0,0,0,0,0,0,0,0
91.7,d_19221201,0,0,0,0,0,0,8.3,0,0,0,0
100,d_19230101,0,0,0,0,0,0,0,0,0,0,0
90.6,d_19230201,9.4,0,0,0,0,0,0,0,0,0,0
0,d_19230301,100,56.2,0,0,0,0,0,0,0,0,0
61.3,d_19230401,38.7,2.2,0,0,0,0,0,0,0,0,0
44.5,d_19230501,55.5,7.6,0,0,0,0,0,0,0,0,0
50.6,d_19230601,49.4,4.6,0,0,0,0,0,0,0,0,0
52.9,d_19230701,47.1,4.3,0,0,0,0,0,0,0,0,0
57.8,d_19230801,42.2,2.5,0,0,0,0,0,0,0,0,0
0,d_19230901,100,29.3,0,0,0,0,0,0,0,0,0
32.6,d_19231001,67.3,0.5,0,0,0,0,0,0,0,0,0
40.2,d_19231101,59.7,4.8,0,0,0,0,0,0,0,0,0
92.7,d_19231201,7.3,0,0,0,0,0,0,0,0,0,0
0,d_19240101,100,100,95.7,77.5,11.4,0,0,0,0,0,0
0,d_19240201,100.1,100.1,100.1,97.3,82.8,0,0,0,0,0,0
0,d_19240301,100,100,93.8,63.6,0,0,0,0,0,0,0
0,d_19240401,100.1,100,88.6,53.8,0,0,0,0,0,0,0
0,d_19240501,99.9,99.9,94.5,74.4,6.9,0,0,0,0,0,0
0,d_19240601,100.1,100.1,95.4,76,8.8,0,0,0,0,0,0
0,d_19240701,100,100,99.3,87.9,23.9,0,0,0,0,0,0
0,d_19240801,100,100,94.8,40,0,0,0,0,0,0,0
0,d_19240901,100,99.8,0,0,0,0,0,0,0,0,0
18.2,d_19241001,81.8,0,0,0,0,0,0,0,0,0,0
100,d_19241101,0,0,0,0,0,0,0,0,0,0,0
0.2,d_19241201,99.8,1.7,0,0,0,0,0,0,0,0,0
0,d_19250101,100,100,8.6,0,0,0,0,0,0,0,0
0,d_19250201,100.1,100.1,74.8,5.7,0,0,0,0,0,0,0
0,d_19250301,100,100,0,0,0,0,0,0,0,0,0
0,d_19250401,100,60.5,0,0,0,0,0,0,0,0,0
26.1,d_19250501,73.9,25.5,0,0,0,0,0,0,0,0,0
31.5,d_19250601,68.5,7.8,0,0,0,0,0,0,0,0,0
28.4,d_19250701,71.6,8.7,0,0,0,0,0,0,0,0,0
47.9,d_19250801,52.1,0,0,0,0,0,0,0,0,0,0
100,d_19250901,0,0,0,0,0,0,0,0,0,0,0
97.8,d_19251001,0,0,0,0,0,0,2.2,0,0,0,0
1,d_19251101,0,0,0,0,0,0,99,0,0,0,0
86.4,d_19251201,0,0,0,0,0,0,13.6,0,0,0,0
100,d_19260101,0,0,0,0,0,0,0,0,0,0,0
100,d_19260201,0,0,0,0,0,0,0,0,0,0,0
1.5,d_19260301,98.5,30,0,0,0,0,0,0,0,0,0
100,d_19260401,0,0,0,0,0,0,0,0,0,0,0
100,d_19260501,0,0,0,0,0,0,0,0,0,0,0
100,d_19260601,0,0,0,0,0,0,0,0,0,0,0
100,d_19260701,0,0,0,0,0,0,0,0,0,0,0
100,d_19260801,0,0,0,0,0,0,0,0,0,0,0
100,d_19260901,0,0,0,0,0,0,0,0,0,0,0
100,d_19261001,0,0,0,0,0,0,0,0,0,0,0
0,d_19261101,0,0,0,0,0,0,100,100,10.2,0,0
0,d_19261201,0,0,0,0,0,0,100,100,100,57.5,0
100,d_19270101,0,0,0,0,0,0,0,0,0,0,0
0,d_19270201,0,0,0,0,0,0,100,96.1,0,0,0
0,d_19270301,0,0,0,0,0,0,100,4.5,0,0,0
0,d_19270401,0,0,0,0,0,0,100,0,0,0,0
0.4,d_19270501,0,0,0,0,0,0,99.6,0,0,0,0
0.1,d_19270601,0,0,0,0,0,0,99.9,0,0,0,0
0,d_19270701,0,0,0,0,0,0,100,0.1,0,0,0
100,d_19270801,0,0,0,0,0,0,0,0,0,0,0
100,d_19270901,0,0,0,0,0,0,0,0,0,0,0
0,d_19271001,0,0,0,0,0,0,100,98.4,0,0,0
100,d_19271101,0,0,0,0,0,0,0,0,0,0,0
43.2,d_19271201,0,0,0,0,0,0,56.9,2.8,0,0,0
84.5,d_19280101,15.5,0,0,0,0,0,0,0,0,0,0
100,d_19280201,0,0,0,0,0,0,0,0,0,0,0
66.5,d_19280301,33.5,0.2,0,0,0,0,0,0,0,0,0
40.5,d_19280401,59.5,1.5,0,0,0,0,0,0,0,0,0
55.6,d_19280501,44.4,0,0,0,0,0,0,0,0,0,0
60.7,d_19280601,39.3,0,0,0,0,0,0,0,0,0,0
0.3,d_19280701,99.7,79,0,0,0,0,0,0,0,0,0
4.5,d_19280801,95.5,21.1,0,0,0,0,0,0,0,0,0
0,d_19280901,100,16.4,0,0,0,0,0,0,0,0,0
100,d_19281001,0,0,0,0,0,0,0,0,0,0,0
100,d_19281101,0,0,0,0,0,0,0,0,0,0,0
100,d_19281201,0,0,0,0,0,0,0,0,0,0,0
100,d_19290101,0,0,0,0,0,0,0,0,0,0,0
24.3,d_19290201,75.7,10.4,0,0,0,0,0,0,0,0,0
0,d_19290301,100,27.1,0,0,0,0,0,0,0,0,0
5.5,d_19290401,94.5,22.3,0,0,0,0,0,0,0,0,0
0,d_19290501,100,58.4,0,0,0,0,0,0,0,0,0
0.3,d_19290601,99.8,37.8,0,0,0,0,0,0,0,0,0
8.1,d_19290701,91.9,16.1,0,0,0,0,0,0,0,0,0
4,d_19290801,96,69.5,0,0,0,0,0,0,0,0,0
0,d_19290901,100,73,0,0,0,0,0,0,0,0,0
2.2,d_19291001,97.8,69.8,0,0,0,0,0,0,0,0,0
0,d_19291101,100,98.8,57.9,1.6,0,0,0,0,0,0,0
0,d_19291201,100,100,100,99.6,86.6,0,0,0,0,0,0
1,d_19300101,98.9,76,6.7,0.4,0,0,0,0,0,0,0
0,d_19300201,100,100,25.1,10.3,0.1,0,0,0,0,0,0
0,d_19300301,99.9,70.3,5.3,0,0,0,0,0,0,0,0
