wavelength,nm
sample_308,1914.855591
sample_309,1919.865601
sample_310,1924.87561
sample_311,1929.88562
sample_312,1934.89563
sample_313,1939.90564
sample_314,1944.90564
sample_315,1949.915649
sample_316,1954.925659
sample_317,1959.935669
sample_318,1964.945679
sample_319,1969.955688
sample_320,1974.965698
sample_321,1979.965698
sample_322,1984.975708
sample_323,1989.985596
sample_324,1994.995605
sample_325,2000.005615
sample_326,2005.015625
sample_327,2010.025635
sample_328,2015.035645
sample_329,2020.035645
sample_330,2025.045654
sample_331,2030.055664
sample_332,2035.065674
sample_333,2040.075684
sample_334,2045.085693
sample_335,2050.095703
sample_336,2055.095703
sample_337,2060.105713
sample_338,2065.115723
sample_339,2070.125732
sample_340,2075.135742
sample_341,2080.145752
sample_342,2085.155762
sample_343,2090.165771
sample_344,2095.165771
sample_345,2100.175537
sample_346,2105.185547
sample_347,2110.195557
sample_348,2115.205566
sample_349,2120.215576
sample_350,2125.225586
sample_351,2130.225586
sample_352,2135.235596
sample_353,2140.245605
sample_354,2145.255615
sample_355,2150.265625
sample_356,2155.275635
sample_357,2160.285645
sample_358,2165.295654
sample_359,2170.295654
sample_360,2175.305664
sample_361,2180.315674
sample_362,2185.325684
sample_363,2190.335693
sample_364,2195.345703
sample_365,2200.355713
sample_366,2205.355713
sample_367,2210.365723
sample_368,2215.375732
sample_369,2220.385742
sample_370,2225.395752
sample_371,2230.405762
sample_372,2235.415771
sample_373,2240.425537
sample_374,2245.425537
sample_375,2250.435547
sample_376,2255.445557
sample_377,2260.455566
sample_378,2265.465576
sample_379,2270.475586
sample_380,2275.485596
sample_381,2280.485596
sample_382,2285.495605
sample_383,2290.505615
sample_384,2295.515625
sample_385,2300.525635
sample_386,2305.535645
sample_387,2310.545654
sample_388,2315.555664
sample_389,2320.555664
sample_390,2325.565674
sample_391,2330.575684
sample_392,2335.585693
sample_393,2340.595703
sample_394,2345.605713
sample_395,2350.615723
sample_396,2355.615723
sample_397,2360.625732
sample_398,2365.635742
sample_399,2370.645752
sample_400,2375.655762
sample_401,2380.665771
sample_402,2385.675537
sample_403,2390.685547
sample_404,2395.685547
sample_405,2400.695557
sample_406,2405.705566
sample_407,2410.715576
sample_408,2415.725586
sample_409,2420.735596
sample_410,2425.745605
sample_411,2430.745605
sample_412,2435.755615
sample_413,2440.765625
sample_414,2445.775635
sample_415,2450.785645
sample_416,2455.795654
sample_417,2460.805664
sample_418,2465.815674
sample_419,2470.815674
sample_420,2475.825684
sample_421,2480.835693
sample_422,2485.845703
sample_423,2490.855713
sample_424,2495.865723
sample_425,2500.875732
