tree,site,plot,species.x,week,md_mpa,md_lwc,pd_mpa,pd_lwc,longitude,latitude,name,description,species.y,e_drop,lat_utm,lon_utm,time
2093,PineNeedle,Low,live oak,37,2.20625,0.584232453797671,1.22122222222222,NA,-120.040887473074,34.7180606671816,L2093,NA,L,0.9850277777777798,-366487.2817908488,-3743.0177308128295,late
2301,LL,Hobbiton,live oak,9,1.806,NA,0.975,NA,-120.04640902641,34.6910339983901,L2301,NA,L,0.8310000000000001,-369487.0544793145,-4249.95329370559,early
2301,LL,Hobbiton,live oak,10,2.293,0.737431716642295,1.0105,0.726801256580669,-120.04640902641,34.6910339983901,L2301,NA,L,1.2825000000000002,-369487.0544793145,-4249.95329370559,early
2301,LL,Hobbiton,live oak,12,2.97,NA,0.875,NA,-120.04640902641,34.6910339983901,L2301,NA,L,2.095,-369487.0544793145,-4249.95329370559,early
2301,LL,Hobbiton,live oak,14,3.1425,0.704448029394021,0.992133333333334,0.751713632901752,-120.04640902641,34.6910339983901,L2301,NA,L,2.150366666666666,-369487.0544793145,-4249.95329370559,early
2301,LL,Hobbiton,live oak,15,1.62425,0.610684781759654,1.37466666666667,0.596604371848558,-120.04640902641,34.6910339983901,L2301,NA,L,0.24958333333332994,-369487.0544793145,-4249.95329370559,early
2301,LL,Hobbiton,live oak,17,3.4964,0.629518636448773,NA,NA,-120.04640902641,34.6910339983901,L2301,NA,L,NA,-369487.0544793145,-4249.95329370559,NA
2301,LL,Hobbiton,live oak,19,3.13666666666667,NA,1.87833333333333,0.824372069120575,-120.04640902641,34.6910339983901,L2301,NA,L,1.2583333333333397,-369487.0544793145,-4249.95329370559,late
2331,LL,Ridge,live oak,9,2.612,NA,0.496666666666667,NA,-120.046170409824,34.6909633885311,L2331,NA,L,2.115333333333333,-369494.902862818,-4228.105558315208,early
2331,LL,Ridge,live oak,10,2.22933333333333,0.69465014079764,0.9335,0.672057759801404,-120.046170409824,34.6909633885311,L2331,NA,L,1.2958333333333298,-369494.902862818,-4228.105558315208,early
2331,LL,Ridge,live oak,12,2.38333333333333,NA,1.76666666666667,NA,-120.046170409824,34.6909633885311,L2331,NA,L,0.6166666666666603,-369494.902862818,-4228.105558315208,early
2331,LL,Ridge,live oak,14,2.38333333333333,0.678516228748068,1.0791666666666684,0.657399836467702,-120.046170409824,34.6909633885311,L2331,NA,L,1.3041666666666618,-369494.902862818,-4228.105558315208,early
2331,LL,Ridge,live oak,17,2.99033333333333,0.608910891089109,NA,NA,-120.046170409824,34.6909633885311,L2331,NA,L,NA,-369494.902862818,-4228.105558315208,NA
2331,LL,Ridge,live oak,19,2.3625,0.65025641025641,1.26966666666667,0.703755215577191,-120.046170409824,34.6909633885311,L2331,NA,L,1.0928333333333298,-369494.902862818,-4228.105558315208,late
2331,LL,Ridge,live oak,21,2.64,NA,1.898,0.610305958132045,-120.046170409824,34.6909633885311,L2331,NA,L,0.7420000000000002,-369494.902862818,-4228.105558315208,late
2331,LL,Ridge,live oak,33,3.86975,0.539203406813627,NA,NA,-120.046170409824,34.6909633885311,L2331,NA,L,NA,-369494.902862818,-4228.105558315208,late
2331,LL,Ridge,live oak,37,4.2825,0.540139460039335,1.81166666666667,0.57259842519685,-120.046170409824,34.6909633885311,L2331,NA,L,2.4708333333333297,-369494.902862818,-4228.105558315208,late
2343,LL,Hobbiton,blue oak,12,2.12675,NA,1.25,NA,-120.046836107381,34.6915075565108,B2343,Sapflow probe 4,B,0.8767499999999999,-369434.4701462914,-4289.037692669951,early
2343,LL,Hobbiton,blue oak,14,2.388375,1.33358737895302,1.0783333333333336,2.135,-120.046836107381,34.6915075565108,B2343,Sapflow probe 4,B,1.3100416666666663,-369434.4701462914,-4289.037692669951,early
