Site,Plot,Species,Tag,Notes,SHIFT-Plot Name ,SHIFT-Unique ID ,SHIFT-ID,,,
LL,Ridge,blue oak,2324,,,,,,,
LL,Ridge,blue oak,2325,,,,,,,
LL,Ridge,blue oak,2326,,,,,,,
LL,Ridge,blue oak,2327,,,,,,,
LL,Ridge,live oak,2328,,,,,,,
LL,Ridge,blue oak,2329,,,,,,,
LL,Ridge,blue oak,2330,,,,,,,
LL,Ridge,live oak,2331,,SRL-035,,,,,
LL,Ridge,blue oak,2332,,,,,,,
LL,Ridge,blue oak,2333,,,,,,,
LL,Ridge,blue oak,2334,,,,,,,
LL,Ridge,blue oak,2335,,,,,,,
LL,Ridge,blue oak,2336,,,,,,,
LL,Hobbiton,blue oak,2337,,,,,,,
LL,Hobbiton,blue oak,2338,,,,,,,
LL,Hobbiton,blue oak,2339,,,,,,,
LL,Hobbiton,blue oak,2340,,,,,,,
LL,Hobbiton,blue oak,2341,,,,,,,
LL,Hobbiton,blue oak,2342,,,,,,,
LL,Hobbiton,blue oak,2343,,SRC-028,551,551,Lee has in notebook sample # 551,,
LL,Hobbiton,blue oak,2344,,SRL-036,,,,,
LL,Hobbiton,live oak,2345,,SRL-037,SRC-030,SRA-066,Yay solved,,
LL,Hobbiton,blue oak,2346,,SRL-038,,,,,
LL,Hobbiton,blue oak,2347,,SRL-039,,,,,
LL,Hobbiton,blue oak,2348,,SRL-040,,,,,
LL,Hobbiton,blue oak,2349,,SRL-041,,,,,
LL,Hobbiton,blue oak,2350,,,,,,,
LL,Hobbiton,blue oak,2351,,,,,,,
LL,MiddleEarth,live oak,2352,,SRC-026,469,469,,,
LL,MiddleEarth,live oak,2353,,SRL-042,,,,,
LL,MiddleEarth,live oak,2354,,SRC-025,,,Lee has in notebook sample # 556,,
LL,MiddleEarth,blue oak,2355,,,,,,,
LL,MiddleEarth,blue oak,2356,,,,,,,
LL,MiddleEarth,blue oak,2357,,,,,,,
LL,MiddleEarth,blue oak,2358,,,,,,,
LL,MiddleEarth,blue oak,2359,,,,,,,
LL,MiddleEarth,blue oak,2360,,SRL-043,,,,,
LL,MiddleEarth,blue oak,2361,,SRL-044,,,,,
LL,MiddleEarth,blue oak,2362,,,,,,,
LL,MiddleEarth,blue oak,2363,,,,,,,
LL,MiddleEarth,blue oak,2364,,SRL-045,,,,,
LL,MiddleEarth,blue oak,2365,,SRL-046,,,,,
LL,MiddleEarth,blue oak,2366,,SRL-047,,,,,
LL,MiddleEarth,blue oak,2367,,looks like this was not samples for shift ,,,,,
LL,MiddleEarth,blue oak,2369,,SRL-048,,,,,
LL,Hobbiton,blue oak,2370,,SRL-049,,,,,
LL,Hobbiton,blue oak,2371,,SRL-050,,,,,
LL,Hobbiton,blue oak,2372,,SRL-051,,,,,
LL,Hobbiton,blue oak,2373,,SRL-052,,,,,
LL,Ridge,blue oak,2374,,SRL-053,,,,,
LL,Hobbiton,blue oak,2375,,SRL-054,SRA-077,,,,
LL,MiddleEarth,live oak,2376,,SCR-027,472,472,Lee has in notebook sample # 555,,
LL,Rohan,live oak,2377,,SRC-024,481,481,,,
LL,Rohan,blue oak,2378,,SRC-021,,,Lee has in notebook sample # 557,,
LL,Rohan,blue oak,2379,,SRC-022,,,Lee has in notebook sample # 460,,
LL,Rohan,live oak,2380,,SRC-023,,,Lee has in notebook sample # 560,,
LL,Weathertop,blue oak,2381,,SRC-015,,,Lee has in notebook sample # 559,,
LL,Weathertop,blue oak,2382,,SRC-016,,,Lee has in notebook sample # 599,,
LL,Weathertop,blue oak,2383,,SRC-020,454,454,Lee has in notebook sample # 598,,
LL,Weathertop,blue oak,2384,,SRC-018,448,448,Lee has in notebook sample #591,,
Chamise,Chamise,ARCA,Chamise-ARCA,,SRL-055,,,,,
Chamise,Chamise,LEU,Chamise-LEU,,SRL-056,,,,,
Cucu Mesa,High,ARCA,Cucu-ARCA,,SRL-057,,,,,
Cucu Mesa,High,LEU,Cucu-LEU,,SRL-058,,,,,
LL,Rohan,ARCA,LL-ARCA,,SRL-059,,,,,
LL,Rohan,LEU,LL-LEU,,SRL-060,,,,,
Mislabel,Mislabel,Mislabel,2084,"only shows up once for MD, week 19, tree tag doesn't exist. But 2384 not missing any data. Looks like probably 2004",,,,,,
